[07:40:55.014] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[07:40:55.038] |I| [config::init_config]: backend-renderer: Vulkan
[07:40:55.041] |I| [config::init_config]: log-level: 0
[07:40:55.073] |I| [SDL_main]: Vita3K v0.1.9 3338-44d8c5da
[07:40:55.074] |I| [SDL_main]: Number of logical CPU cores: 4
[07:40:55.074] |I| [SDL_main]: Available ram memory: 16312 MiB
[07:40:55.182] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[07:40:55.182] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.179
[07:40:55.183] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[07:40:55.211] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: FifoRelaxed
[07:40:56.933] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[07:41:26.948] |I| [load_app_impl]: cpu-backend: Dynarmic
[07:41:26.948] |I| [load_app_impl]: CPU Optimisation state: true
[07:41:26.949] |I| [load_app_impl]: ngs state: true
[07:41:26.949] |I| [load_app_impl]: Resolution multiplier: 1
[07:41:26.949] |I| [load_app_impl]: modules mode: Automatic
[07:41:26.950] |I| [load_app_impl]: Title: 7'scarlet
[07:41:26.950] |I| [load_app_impl]: Serial: PCSH10090
[07:41:26.950] |I| [load_app_impl]: Version: 1.00
[07:41:26.950] |I| [load_app_impl]: Category: gd
[07:41:26.966] |I| [load_module]: Loading module "app0:eboot.bin"
[07:41:27.056] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[07:41:27.056] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000F6C2B / 0x81000000] (size: 0x000F1C2B) of module app0:eboot.bin
[07:41:27.057] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x00775990 / 0x810F2000] (size: 0x0067E990) of module app0:eboot.bin
[07:41:27.057] |I| [load_self]: Linking SELF app0:eboot.bin...
[07:41:27.057] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xc3f38
[07:41:27.057] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x112128
[07:41:27.057] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xe0230
[07:41:27.057] |W| [load_var_imports]: 	NID NOT FOUND 0xddf9bb09 (UNRECOGNISED) at 0xc94f0, setting to stub value 0xdeadbeef
[07:41:27.059] |W| [load_var_imports]: 	NID NOT FOUND 0x6bc74629 (UNRECOGNISED) at 0xc94c0, setting to stub value 0xdeadbeef
[07:41:27.061] |W| [load_var_imports]: 	NID NOT FOUND 0x7321e731 (UNRECOGNISED) at 0xc94dc, setting to stub value 0xdeadbeef
[07:41:27.062] |W| [load_var_imports]: 	NID NOT FOUND 0xf79ae8e1 (UNRECOGNISED) at 0xc9494, setting to stub value 0xdeadbeef
[07:41:27.064] |I| [load_module]: Module eboot (at "app0:eboot.bin") loaded
[07:41:27.064] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[07:41:27.091] |I| [load_module]: Loading module "app0:sce_module/libc.suprx"
[07:41:27.137] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[07:41:27.138] |I| [load_self]: Loaded module segment 0 @ [0x0077A000 - 0x007CB8A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[07:41:27.139] |I| [load_self]: Loaded module segment 1 @ [0x007CC000 - 0x007CE8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[07:41:27.141] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[07:41:27.142] |D| [load_var_exports]: Found previously not found variable. nid:0xddf9bb09, new_entry_point:0x7cc5b0
[07:41:27.143] |D| [load_var_exports]: Found previously not found variable. nid:0x6bc74629, new_entry_point:0x7cb130
[07:41:27.143] |D| [load_var_exports]: Found previously not found variable. nid:0x7321e731, new_entry_point:0x7cb140
[07:41:27.144] |D| [load_var_exports]: Found previously not found variable. nid:0xf79ae8e1, new_entry_point:0x7cb120
[07:41:27.145] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x7c1314
[07:41:27.146] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7b64dc
[07:41:27.148] |I| [load_module]: Module SceLibc (at "app0:sce_module/libc.suprx") loaded
[07:41:27.149] |I| [load_module]: Loading module "app0:sce_module/libfios2.suprx"
[07:41:27.201] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
