[08:57:15.533] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[08:57:15.545] |I| [config::init_config]: backend-renderer: Vulkan
[08:57:15.545] |I| [config::init_config]: log-level: 0
[08:57:15.587] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[08:57:15.588] |I| [SDL_main]: Number of logical CPU cores: 4
[08:57:15.588] |I| [SDL_main]: Available ram memory: 16312 MiB
[08:57:16.013] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[08:57:16.014] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[08:57:16.048] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[08:57:17.711] |W| [compat::load_compat_app_db]: App with Title ID PCSG00576 has an issue but no status label. Please check GitHub issue 1528 and request a status label be added.
[08:57:18.114] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 05-26-2023 00:56:18
[08:57:19.717] |W| [compat::load_compat_app_db]: App with Title ID PCSG00470 has an issue but no status label. Please check GitHub issue 1529 and request a status label be added.
[08:57:19.717] |W| [compat::load_compat_app_db]: App with Title ID PCSG00576 has an issue but no status label. Please check GitHub issue 1528 and request a status label be added.
[08:58:41.049] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/CR/GAME.cpk
[08:58:55.563] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/CR/MOVIE.cpk
[08:59:03.532] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/CR/SOUND.cpk
[08:59:22.753] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/GAME.cpk
[08:59:28.121] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/LA/GAME.cpk
[08:59:34.540] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/LA/MOVIE.cpk
[08:59:39.715] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/LA/sound.cpk
[08:59:46.992] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/MOVIE.cpk
[08:59:47.099] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/sound.cpk
[08:59:49.179] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/data/SYSTEM.cpk
[08:59:49.331] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/eboot.bin
[08:59:49.473] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/sce_module/libc.suprx
[08:59:49.480] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00403/sce_module/libface.suprx
