[22:49:43.808] |I| [config::init_config]: backend-renderer: OpenGL
[22:49:43.809] |I| [config::init_config]: log-level: 0
[22:49:43.915] |I| [SDL_main]: Vita3K v0.1.5 2680-6dd6576d
[22:49:43.915] |I| [SDL_main]: Number of logical CPU cores: 8
[22:49:43.915] |I| [SDL_main]: Available ram memory: 16215 mo
[22:49:44.316] |I| [renderer::gl::create]: Swap interval = -1
[22:49:44.318] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[22:49:44.318] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[22:49:44.319] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[22:49:44.320] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[22:49:49.040] |I| [load_app_impl]: cpu-backend: Dynarmic
[22:49:49.040] |I| [load_app_impl]: CPU Optimisation state: true
[22:49:49.040] |I| [load_app_impl]: ngs state: true
[22:49:49.040] |I| [load_app_impl]: Resolution multiplier: 1
[22:49:49.040] |I| [load_app_impl]: modules mode: Automatic
[22:49:49.040] |I| [load_app_impl]: Title: Alone With You
[22:49:49.041] |I| [load_app_impl]: Serial: PCSE00887
[22:49:49.041] |I| [load_app_impl]: Version: 1.00
[22:49:49.041] |I| [load_app_impl]: Category: gd
[22:49:49.063] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:49:49.063] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[22:49:49.063] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[22:49:49.064] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[22:49:49.064] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[22:49:49.065] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[22:49:49.065] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[22:49:49.066] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[22:49:49.067] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[22:49:49.083] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:49:49.084] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[22:49:49.086] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[22:49:49.087] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[22:49:49.087] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[22:49:49.088] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[22:49:49.088] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[22:49:49.099] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:49:49.100] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[22:49:49.102] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[22:49:49.102] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[22:49:49.103] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[22:49:49.103] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[22:49:49.107] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[22:49:49.118] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[22:49:49.118] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[22:49:49.119] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
