[14:23:30.230] |I| [config::init_config]: backend-renderer: OpenGL
[14:23:30.234] |I| [config::init_config]: log-level: 0
[14:23:30.423] |I| [SDL_main]: Vita3K v0.1.2 1827-0f2aabb9
[14:23:31.937] |I| [renderer::gl::create]: Swap interval = 0
[14:23:31.975] |I| [renderer::gl::create]: GPU = GeForce GT 740M/PCIe/SSE2
[14:23:31.976] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 425.31
[14:23:31.976] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[14:23:31.998] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[14:23:32.000] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[14:24:01.627] |I| [gui::delete_app]: Application successfully deleted 'PCSE01478 [Battle Rockets]'.
[14:24:03.986] |I| [load_app_impl]: hardware-flip: enabled
[14:24:03.987] |I| [load_app_impl]: ngs experimental state: false
[14:24:03.988] |I| [load_app_impl]: Title: Angry Birds™ Trilogy
[14:24:03.989] |I| [load_app_impl]: Serial: PCSE00322
[14:24:03.990] |I| [load_app_impl]: Version: 01.00
[14:24:03.990] |I| [load_app_impl]: Category: gd
[14:24:04.010] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:24:04.011] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x00051A2C / 0x81000000] (size: 0x0004DA2C) of module app0:sce_module/libc.suprx
[14:24:04.011] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F8 / 0x8104E000] (size: 0x000026F8) of module app0:sce_module/libc.suprx
[14:24:04.012] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[14:24:04.013] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D798
[14:24:04.014] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x477D4
[14:24:04.014] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x41758, setting to stub value 0xDEADBEEF
[14:24:04.014] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4321C, setting to stub value 0xDEADBEEF
[14:24:04.015] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[14:24:04.026] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:24:04.027] |I| [load_self]: Loaded module segment 0 @ [0x00057000 - 0x0007F928 / 0x81000000] (size: 0x00028928) of module app0:sce_module/libfios2.suprx
[14:24:04.030] |I| [load_self]: Loaded module segment 1 @ [0x00080000 - 0x000851FD / 0x81029000] (size: 0x000051FD) of module app0:sce_module/libfios2.suprx
[14:24:04.034] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[14:24:04.036] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x776A8
[14:24:04.037] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x7F810
[14:24:04.038] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[14:24:04.047] |C| [load_self]: Unknown segment type 0x6FFFFF01
[14:24:04.047] |I| [load_self]: Loaded module segment 0 @ [0x00086000 - 0x0009A744 / 0x81000000] (size: 0x00014744) of module app0:sce_module/libult.suprx
[14:24:04.051] |I| [load_self]: Loaded module segment 1 @ [0x0009B000 - 0x0009B814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[14:24:04.054] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[14:24:04.055] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x96658
[14:24:04.057] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x990A0
[14:24:04.059] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[14:24:04.081] |I| [load_self]: Loaded module segment 0 @ [0x0009C000 - 0x000ECF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[14:24:04.085] |I| [load_self]: Loaded module segment 1 @ [0x000ED000 - 0x000ED2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[14:24:04.088] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[14:24:04.089] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xD87DC
[14:24:04.091] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD7F10
