[19:13:16.865] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[19:13:16.886] |I| [config::init_config]: backend-renderer: OpenGL
[19:13:16.886] |I| [config::init_config]: log-level: 0
[19:13:16.926] |I| [SDL_main]: Vita3K v0.1.8 3203-2101d1ea
[19:13:16.927] |I| [SDL_main]: Number of logical CPU cores: 4
[19:13:16.927] |I| [SDL_main]: Available ram memory: 16312 MiB
[19:13:17.648] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[19:13:17.648] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[19:13:17.649] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[19:13:17.649] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[19:13:17.649] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[19:13:18.897] |W| [compat::load_compat_app_db]: App with Title ID PCSG00026 has an issue but no status label. Please check GitHub issue 1611 and request a status label be added.
[19:13:18.897] |W| [compat::load_compat_app_db]: App with Title ID PCSE00012 has an issue but no status label. Please check GitHub issue 1610 and request a status label be added.
[19:13:18.897] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[19:13:19.627] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 06-09-2023 11:01:07
[19:13:22.108] |W| [compat::load_compat_app_db]: App with Title ID PCSH10090 has an issue but no status label. Please check GitHub issue 1612 and request a status label be added.
[19:13:22.109] |W| [compat::load_compat_app_db]: App with Title ID PCSG00026 has an issue but no status label. Please check GitHub issue 1611 and request a status label be added.
[19:13:22.109] |W| [compat::load_compat_app_db]: App with Title ID PCSE00012 has an issue but no status label. Please check GitHub issue 1610 and request a status label be added.
[19:13:22.110] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[19:13:28.512] |I| [gui::set_vsync_state]: V-Sync state: true
[19:13:28.564] |I| [load_app_impl]: cpu-backend: Dynarmic
[19:13:28.564] |I| [load_app_impl]: CPU Optimisation state: true
[19:13:28.565] |I| [load_app_impl]: ngs state: true
[19:13:28.565] |I| [load_app_impl]: Resolution multiplier: 1
[19:13:28.566] |I| [load_app_impl]: modules mode: Automatic
[19:13:28.566] |I| [load_app_impl]: Title: Bad Apple Wars
[19:13:28.567] |I| [load_app_impl]: Serial: PCSE01042
[19:13:28.567] |I| [load_app_impl]: Version: 1.00
[19:13:28.567] |I| [load_app_impl]: Category: gd
[19:13:28.776] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[19:13:28.777] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x0005691C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[19:13:28.777] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[19:13:28.778] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[19:13:28.779] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c38c
[19:13:28.780] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x41550
[19:13:28.780] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[19:13:28.827] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[19:13:28.828] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[19:13:28.828] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[19:13:28.829] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[19:13:28.829] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[19:13:28.830] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[19:13:28.831] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[19:13:28.882] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[19:13:28.883] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[19:13:28.883] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[19:13:28.884] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[19:13:28.884] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[19:13:28.885] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[19:13:28.886] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[19:13:28.910] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[19:13:28.912] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[19:13:28.912] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[19:13:28.912] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[19:13:28.913] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[19:13:28.913] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[19:13:28.919] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[19:13:28.920] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[19:13:28.920] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[19:13:28.921] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x102710
[19:13:28.921] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x102300
[19:13:28.922] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[19:13:29.008] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[19:13:29.008] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x0022CAEC / 0x81000000] (size: 0x00127AEC) of module app0:eboot.bin
[19:13:29.008] |I| [load_self]: Loaded module segment 1 @ [0x0022D000 - 0x003AB670 / 0x81128000] (size: 0x0017E670) of module app0:eboot.bin
[19:13:29.009] |I| [load_self]: Linking SELF app0:eboot.bin...
[19:13:29.009] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x1ebff0
[19:13:29.009] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x230eb4
[19:13:29.010] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x218478
[19:13:29.010] |I| [load_app_impl]: Main executable BAW (eboot.bin) loaded
[19:13:29.070] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
