[09:51:10.372] |I| [SDL_main]:  Vita3K v0.1 635-a741c3a
[09:51:10.662] |I| [init]:  Swap interval = -1
[09:51:12.922] |I| [install_vpk]:  PCSG00555 already installed, launching application...
[09:51:12.923] |I| [load_app_impl]:  Title: CHAOS;CHILD
[09:51:12.924] |I| [load_app_impl]:  Serial: PCSG00555
[09:51:12.924] |I| [load_app_impl]:  Category: gd
[09:51:12.980] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libc.suprx
[09:51:12.981] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x46744
[09:51:12.982] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3C4F8
[09:51:12.982] |E| [load_var_imports]:  	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x420A4: 0x140
[09:51:12.982] |I| [load_app_impl]:  Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[09:51:13.004] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libfios2.suprx
[09:51:13.005] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x7F244
[09:51:13.005] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x76878
[09:51:13.006] |I| [load_app_impl]:  Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[09:51:13.029] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libult.suprx
[09:51:13.029] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x982D0
[09:51:13.030] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x95858
[09:51:13.030] |E| [load_var_imports]:  	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x960A4: 0x1040
[09:51:13.031] |I| [load_app_impl]:  Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[09:51:13.232] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[09:51:13.232] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106774
[09:51:13.232] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x531FC0
[09:51:13.233] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x10F4C4
[09:51:13.233] |I| [load_app_impl]:  Main executable Game (eboot.bin) loaded
[09:51:13.238] |D| [run_app]:  Running module_start of library: SceLibc
[09:51:13.246] |T| [open_file]:  sceKernelGetStdin: Opening file tty0: (tty0:)
[09:51:13.246] |T| [open_file]:  sceKernelGetStdout: Opening file tty0: (tty0:)
[09:51:13.247] |T| [open_file]:  sceKernelGetStderr: Opening file tty0: (tty0:)
[09:51:13.253] |I| [run_app]:  Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[09:51:13.254] |D| [run_app]:  Running module_start of library: SceLibFios2
[09:51:13.259] |W| [stubbed_impl]:  Stubbed sceKernelGetProcessId import called. (pid: 0)
[09:51:13.260] |W| [unimplemented_impl]:  Unimplemented sceFiosOverlayGetList02 import called.
[09:51:13.260] |I| [run_app]:  Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[09:51:13.261] |D| [run_app]:  Running module_start of library: SceUlt
[09:51:13.265] |E| [call_import]:  Import function for NID 0x50F2F2AA not found (thread name: SceUlt, thread ID: 36)
[09:51:13.265] |I| [run_app]:  Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[09:51:13.267] |T| [open_file]:  sceKernelLoadStartModule: Opening file app0:mai_moe/mai.suprx (ux0:/app/PCSG00555/mai_moe/mai.suprx)
[09:51:13.284] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_END
[09:51:13.285] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[09:51:13.285] |T| [read_file]:  sceKernelLoadStartModule: Reading file: fd: 0x3, size: 87866
[09:51:13.309] |I| [load_self]:  Loading symbols for SELF: app0:mai_moe/mai.suprx
[09:51:13.309] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x26A07E4
[09:51:13.309] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x26A0840
[09:51:13.310] |T| [close_file]:  sceKernelLoadStartModule: Closing file: fd: 0x3
[09:51:13.334] |W| [stubbed_impl]:  Stubbed sceKernelDelayThread import called. (bad accuracy)
[09:51:13.334] |T| [stat_file]:  sceIoGetstat: Statting file app0:mai_moe/load_type.mai (ux0:/app/PCSG00555/mai_moe/load_type.mai)
[09:51:13.336] |I| [export_sceIoOpen]:  Opening file: app0:mai_moe/load_type.mai
[09:51:13.336] |T| [open_file]:  sceIoOpen: Opening file app0:mai_moe/load_type.mai (ux0:/app/PCSG00555/mai_moe/load_type.mai)
[09:51:13.358] |T| [stat_file]:  sceIoGetstat: Statting file app0:mai_moe/load_type.mai (ux0:/app/PCSG00555/mai_moe/load_type.mai)
