[11:03:33.527] |I| [config::init_config]: input-installed-id: PCSG00555
[11:03:33.528] |I| [config::init_config]: backend-renderer: OpenGL
[11:03:33.528] |I| [config::init_config]: hardware-flip: enabled
[11:03:33.529] |I| [config::init_config]: log-level: 0
[11:03:33.529] |I| [SDL_main]: Vita3K v0.1 1315-5b070aac
[11:03:33.891] |I| [renderer::gl::create]: Swap interval = -1
[11:03:33.892] |I| [renderer::gl::create]: GPU = AMD Radeon HD 6700 Series
[11:03:33.893] |I| [renderer::gl::create]: GL_VERSION = 4.5.13399 Core Profile Context 15.200.1062.1004
[11:03:33.893] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.40
[11:03:33.893] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[11:03:33.894] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[11:03:33.991] |I| [gui::init_icons]: Default icon found for title PETTANKO0, Pettanko Test.
[11:03:33.995] |I| [gui::init_icons]: Default icon found for title VITA2DTST, vita2dsample.
[11:03:33.996] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[11:03:33.998] |I| [gui::init_icons]: Default icon found for title VSDK01337, SoLoud example.
[11:03:33.999] |I| [gui::init_icons]: Default icon found for title WF0000000, Test.
[11:03:34.000] |I| [gui::init_icons]: Default icon found for title WF0000011, Test.
[11:03:34.001] |I| [gui::init_icons]: Default icon found for title WF0000099, Tank test.
[11:03:34.002] |I| [load_app_impl]: Title: CHAOS;CHILD
[11:03:34.002] |I| [load_app_impl]: Serial: PCSG00555
[11:03:34.003] |I| [load_app_impl]: Version: 01.00
[11:03:34.003] |I| [load_app_impl]: Category: gd
[11:03:34.018] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x00050C54] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[11:03:34.018] |I| [load_self]: Loaded module segment 1 @ [0x00051000 - 0x00053688] (size: 0x00002688) of module app0:sce_module/libc.suprx
[11:03:34.019] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[11:03:34.019] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x46744
[11:03:34.019] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3C4F8
[11:03:34.020] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x40520, setting to stub value 0xDEADBEEF
[11:03:34.020] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x420A4, setting to stub value 0xDEADBEEF
[11:03:34.020] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[11:03:34.029] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x0008133C] (size: 0x0002B33C) of module app0:sce_module/libfios2.suprx
[11:03:34.029] |I| [load_self]: Loaded module segment 1 @ [0x00082000 - 0x0008723D] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[11:03:34.030] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[11:03:34.031] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x81244
[11:03:34.031] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78878
[11:03:34.031] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[11:03:34.036] |I| [load_self]: Loaded module segment 0 @ [0x00088000 - 0x0009B9A4] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[11:03:34.036] |I| [load_self]: Loaded module segment 1 @ [0x0009C000 - 0x0009C814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[11:03:34.037] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[11:03:34.037] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9A2D0
[11:03:34.037] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x97858
[11:03:34.038] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x980A4, setting to stub value 0xDEADBEEF
[11:03:34.038] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[11:03:34.211] |I| [load_self]: Loaded module segment 0 @ [0x0009E000 - 0x00124880] (size: 0x00086880) of module app0:eboot.bin
[11:03:34.211] |I| [load_self]: Loaded module segment 1 @ [0x00125000 - 0x0225E318] (size: 0x02139318) of module app0:eboot.bin
[11:03:34.212] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[11:03:34.212] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x109774
[11:03:34.212] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x534FC0
[11:03:34.212] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x1124C4
[11:03:34.212] |I| [load_app_impl]: Main executable Game (eboot.bin) loaded
[11:03:34.218] |D| [run_app]: Running module_start of library: SceLibc at address 0x1871
[11:03:34.226] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[11:03:34.227] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[11:03:34.227] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[11:03:34.235] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[11:03:34.236] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x56001
[11:03:34.241] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[11:03:34.241] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[11:03:34.242] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[11:03:34.242] |D| [run_app]: Running module_start of library: SceUlt at address 0x8B769
