[19:18:11.449] |I| [config::init_config]: log-level: 0
[19:18:11.451] |I| [config::init_config]: log-imports: false
[19:18:11.452] |I| [config::init_config]: log-exports: false
[19:18:11.453] |I| [config::init_config]: log-active-shaders: false
[19:18:11.453] |I| [config::init_config]: log-uniforms: false
[19:18:11.455] |I| [SDL_main]: Vita3K v0.1 1236-28b6ac3
[19:18:11.860] |I| [app::init]: Swap interval = -1
[19:18:11.864] |I| [app::init]: GL_VERSION = 4.5.0 NVIDIA 430.86
[19:18:11.864] |I| [app::init]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[19:18:11.866] |I| [app::init]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[19:18:11.890] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[19:18:16.215] |I| [gui::load_game_background]: Game background found in template for title FLDT00001.
[19:18:16.845] |I| [gui::load_game_background]: Game background found in template for title MYLEGNOOB.
[19:18:17.382] |I| [gui::load_game_background]: Game background found in template for title NEKO00001.
[19:18:22.299] |I| [load_app_impl]: Title: Danganronpa: Trigger Happy Havoc
[19:18:22.300] |I| [load_app_impl]: Serial: PCSB00346
[19:18:22.301] |I| [load_app_impl]: Version: 01.00
[19:18:22.301] |I| [load_app_impl]: Category: gd
[19:18:22.315] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[19:18:22.316] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x44164
[19:18:22.317] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3A0FC
[19:18:22.318] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x3E0BC, setting to stub value 0xDEADBEEF
[19:18:22.318] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x3FB70, setting to stub value 0xDEADBEEF
[19:18:22.319] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[19:18:22.327] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[19:18:22.328] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x7F034
[19:18:22.329] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x76548
[19:18:22.330] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[19:18:22.335] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[19:18:22.337] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x983C8
[19:18:22.339] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x95944
[19:18:22.342] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x961A0, setting to stub value 0xDEADBEEF
[19:18:22.344] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[19:18:22.411] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[19:18:22.412] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1C1E24
[19:18:22.413] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x237A50
[19:18:22.415] |I| [load_app_impl]: Main executable DR1_us (eboot.bin) loaded
[19:18:22.421] |D| [run_app]: Running module_start of library: SceLibc
[19:18:22.429] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[19:18:22.431] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[19:18:22.434] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[19:18:22.441] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[19:18:22.443] |D| [run_app]: Running module_start of library: SceLibFios2
[19:18:22.450] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[19:18:22.451] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[19:18:22.453] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[19:18:22.457] |D| [run_app]: Running module_start of library: SceUlt
[19:18:22.463] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[19:18:22.464] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[19:18:22.467] |T| [open_file]: sceKernelLoadStartModule: Opening file app0:mai_moe/mai.suprx (ux0:/app/PCSB00346/mai_moe/mai.suprx), fd: 0x3
[19:18:22.469] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_END
[19:18:22.472] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[19:18:22.473] |T| [read_file]: sceKernelLoadStartModule: Reading 87866 bytes of fd 0x3
[19:18:22.475] |I| [load_self]: Loading symbols for SELF: app0:mai_moe/mai.suprx
[19:18:22.477] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x36A7E4
[19:18:22.478] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x36A840
[19:18:22.480] |T| [close_file]: sceKernelLoadStartModule: Closing file fd: 0x3
[19:18:22.492] |T| [stat_file]: sceIoGetstat: Statting file: app0:mai_moe/load_type.mai (ux0:/app/PCSB00346/mai_moe/load_type.mai)
[19:18:22.494] |I| [export_sceIoOpen]: Opening file: app0:mai_moe/load_type.mai
[19:18:22.498] |T| [open_file]: sceIoOpen: Opening file app0:mai_moe/load_type.mai (ux0:/app/PCSB00346/mai_moe/load_type.mai), fd: 0x4
[19:18:22.503] |T| [stat_file]: sceIoGetstat: Statting file: app0:mai_moe/load_type.mai (ux0:/app/PCSB00346/mai_moe/load_type.mai)
[19:18:22.504] |T| [seek_file]: sceIoLseek: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[19:18:22.505] |T| [read_file]: sceIoRead: Reading 1 bytes of fd 0x4
[19:18:22.507] |T| [close_file]: sceIoClose: Closing file fd: 0x4
[19:18:22.514] |I| [export_sceKernelLoadStartModule]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[19:18:22.519] |T| [open_file]: sceKernelLoadStartModule: Opening file app0:sce_module/libfios2_m.suprx (ux0:/app/PCSB00346/sce_module/libfios2_m.suprx), fd: 0x5
[19:18:22.522] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_END
[19:18:22.522] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[19:18:22.524] |T| [read_file]: sceKernelLoadStartModule: Reading 261648 bytes of fd 0x5
[19:18:22.524] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2_m.suprx
[19:18:22.526] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x418034
[19:18:22.528] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x40F548
[19:18:22.528] |T| [close_file]: sceKernelLoadStartModule: Closing file fd: 0x5
[19:18:22.537] |I| [export_sceKernelLoadStartModule]: Module mceLibFios2 (at "app0:sce_module/libfios2_m.suprx") module_start returned 0x0
[19:18:22.540] |W| [io_error_impl]: open_dir (sceIoDopen) returned 0x80010002
[19:18:22.542] |W| [io_error_impl]: read_dir (sceIoDread) returned 0x80010051
