[02:20:08.853] |I| [config::init_config]: backend-renderer: OpenGL
[02:20:08.854] |I| [config::init_config]: log-level: 0
[02:20:08.902] |I| [SDL_main]: Vita3K v0.1.3 2265-bf29a917
[02:20:08.981] |I| [renderer::gl::create]: Swap interval = -1
[02:20:08.984] |I| [renderer::gl::create]: GPU = GeForce GTX 1080/PCIe/SSE2
[02:20:08.984] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 460.89
[02:20:08.984] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[02:20:08.985] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[02:20:39.982] |I| [load_app_impl]: cpu-backend: Dynarmic
[02:20:39.982] |I| [load_app_impl]: CPU Optimisation state: true
[02:20:39.982] |I| [load_app_impl]: at9 audio decoder state: true
[02:20:39.982] |I| [load_app_impl]: ngs experimental state: true
[02:20:39.982] |I| [load_app_impl]: video player state: true
[02:20:39.983] |I| [load_app_impl]: Title: Demon Gaze
[02:20:39.983] |I| [load_app_impl]: Serial: PCSE00358
[02:20:39.983] |I| [load_app_impl]: Version: 1.00
[02:20:39.983] |I| [load_app_impl]: Category: gd
[02:20:39.996] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:20:39.996] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000543BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[02:20:39.997] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x000576F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[02:20:39.997] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[02:20:39.997] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4A164
[02:20:39.998] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x400FC
[02:20:39.998] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x440BC, setting to stub value 0xDEADBEEF
[02:20:40.000] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x45B70, setting to stub value 0xDEADBEEF
[02:20:40.001] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[02:20:40.009] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:20:40.009] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x0008512C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[02:20:40.011] |I| [load_self]: Loaded module segment 1 @ [0x00086000 - 0x0008B23D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[02:20:40.011] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[02:20:40.012] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x85034
[02:20:40.012] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7C548
[02:20:40.012] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[02:20:40.017] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:20:40.018] |I| [load_self]: Loaded module segment 0 @ [0x0008C000 - 0x0009FA9C / 0x81000000] (size: 0x00013A9C) of module app0:sce_module/libult.suprx
[02:20:40.018] |I| [load_self]: Loaded module segment 1 @ [0x000A0000 - 0x000A0814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[02:20:40.019] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[02:20:40.019] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9E3C8
[02:20:40.019] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9B944
[02:20:40.020] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[02:20:40.029] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x000F1F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[02:20:40.030] |I| [load_self]: Loaded module segment 1 @ [0x000F2000 - 0x000F22F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[02:20:40.031] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[02:20:40.031] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDD7DC
[02:20:40.031] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDCF10
[02:20:40.032] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[02:20:40.036] |I| [load_self]: Loaded module segment 0 @ [0x000F3000 - 0x00102F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[02:20:40.036] |I| [load_self]: Loaded module segment 1 @ [0x00103000 - 0x00103008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[02:20:40.037] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[02:20:40.037] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x101710
[02:20:40.037] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x101300
[02:20:40.038] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[02:20:40.085] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:20:40.086] |I| [load_self]: Loaded module segment 0 @ [0x00104000 - 0x002670B4 / 0x81000000] (size: 0x001630B4) of module app0:eboot.bin
[02:20:40.086] |I| [load_self]: Loaded module segment 1 @ [0x00268000 - 0x0079510C / 0x81164000] (size: 0x0052D10C) of module app0:eboot.bin
[02:20:40.087] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[02:20:40.087] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x215EFC
[02:20:40.088] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x26ED18
[02:20:40.088] |I| [load_app_impl]: Main executable DemonGaze (eboot.bin) loaded
[02:20:40.097] |D| [run_app]: Running module_start of library: SceLibc at address 0x7809
[02:20:40.156] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[02:20:40.156] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[02:20:40.157] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[02:20:40.164] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[02:20:40.167] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5A001
[02:20:40.173] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[02:20:40.173] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
