[15:11:21.362] |I| [config::init_config]: backend-renderer: OpenGL
[15:11:21.364] |I| [config::init_config]: log-level: 0
[15:11:21.451] |I| [SDL_main]: Vita3K v0.1.5 2663-e8151664
[15:11:21.451] |I| [SDL_main]: Number of logical CPU cores: 16
[15:11:21.451] |I| [SDL_main]: Available ram memory: 14198 mo
[15:11:21.879] |I| [renderer::gl::create]: Swap interval = 0
[15:11:21.880] |I| [renderer::gl::create]: GPU = AMD Radeon(TM) Graphics
[15:11:21.881] |I| [renderer::gl::create]: GL_VERSION = 4.6.14761 Core Profile Context 21.10.2 30.0.13025.5005
[15:11:21.881] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[15:11:21.881] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[15:11:21.881] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[15:11:22.639] |W| [gui::set_notice_info]: Content not found for id: EP1023-PCSB00241_00-ORGARHYTHM000000, in path: app\PCSB00241
[15:12:01.624] |I| [gui::delete_app]: Application successfully deleted 'PCSG00057 [orgarhythm]'.
[15:12:15.479] |I| [gui::delete_app]: Application successfully deleted 'PCSG00457 [CHAOS RINGS Ⅲ Prequel Trilogy]'.
[15:13:10.207] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:13:10.207] |I| [load_app_impl]: CPU Optimisation state: true
[15:13:10.207] |I| [load_app_impl]: ngs state: true
[15:13:10.207] |I| [load_app_impl]: Resolution multiplier: 2
[15:13:10.210] |I| [load_app_impl]: 1 Controllers Connected
[15:13:10.210] |I| [load_app_impl]: Controller 0: Controller (Gamepad F310)
[15:13:10.210] |I| [load_app_impl]: modules mode: Automatic
[15:13:10.210] |I| [load_app_impl]: Title: Disgaea 3: Absence of Detention
[15:13:10.210] |I| [load_app_impl]: Serial: PCSE00022
[15:13:10.210] |I| [load_app_impl]: Version: 1.00
[15:13:10.210] |I| [load_app_impl]: Category: gd
[15:13:10.221] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:13:10.222] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00042F34 / 0x81000000] (size: 0x0003BF34) of module app0:sce_module/libc.suprx
[15:13:10.222] |I| [load_self]: Loaded module segment 1 @ [0x00043000 - 0x0004533C / 0x8103C000] (size: 0x0000233C) of module app0:sce_module/libc.suprx
[15:13:10.223] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[15:13:10.223] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x34A70
[15:13:10.223] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x38220, setting to stub value 0xDEADBEEF
[15:13:10.224] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:13:10.233] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:13:10.233] |I| [load_self]: Loaded module segment 0 @ [0x00047000 - 0x00068D98 / 0x81000000] (size: 0x00021D98) of module app0:sce_module/libfios2.suprx
[15:13:10.233] |I| [load_self]: Loaded module segment 1 @ [0x00069000 - 0x0006E22C / 0x81022000] (size: 0x0000522C) of module app0:sce_module/libfios2.suprx
[15:13:10.234] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[15:13:10.234] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x6278C
[15:13:10.235] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[15:13:10.240] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:13:10.241] |I| [load_self]: Loaded module segment 0 @ [0x0006F000 - 0x000836AC / 0x81000000] (size: 0x000146AC) of module app0:sce_module/libult.suprx
[15:13:10.241] |I| [load_self]: Loaded module segment 1 @ [0x00084000 - 0x00084810 / 0x81015000] (size: 0x00000810) of module app0:sce_module/libult.suprx
[15:13:10.242] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[15:13:10.242] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x80390
[15:13:10.243] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[15:13:10.249] |I| [load_self]: Loaded module segment 0 @ [0x00085000 - 0x000D5F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[15:13:10.250] |I| [load_self]: Loaded module segment 1 @ [0x000D6000 - 0x000D62F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[15:13:10.250] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[15:13:10.251] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xC17DC
[15:13:10.253] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xC0F10
[15:13:10.253] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0xD5EE0, setting to stub value 0xDEADBEEF
[15:13:10.255] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[15:13:10.257] |I| [load_self]: Loaded module segment 0 @ [0x000D8000 - 0x000E7F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[15:13:10.257] |I| [load_self]: Loaded module segment 1 @ [0x000E8000 - 0x000E8008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[15:13:10.258] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[15:13:10.258] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE6710
[15:13:10.259] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE6300
[15:13:10.259] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[15:13:10.328] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:13:10.328] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x812A12CC / 0x81000000] (size: 0x002A12CC) of module app0:eboot.bin
[15:13:10.329] |I| [load_self]: Loaded module segment 1 @ [0x812A2000 - 0x83330324 / 0x812A2000] (size: 0x0208E324) of module app0:eboot.bin
[15:13:10.330] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[15:13:10.331] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x812725BC
[15:13:10.331] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x812F83CC
[15:13:10.331] |I| [load_app_impl]: Main executable NisPsp2_release (eboot.bin) loaded
[15:13:10.356] |I| [renderer::gl::compile_shader]: frag shader compiled: df36b3650a68beeb3f019746d00d3ff94a781d21e06bc16dc4ee295e8cfb9ee0
[15:13:10.360] |I| [renderer::gl::compile_shader]: vert shader compiled: 08e9c2fc573ba3d8c0ddfb87a8871e717eab050e6365fde15e03c05a82f6f90b
[15:13:10.404] |I| [renderer::gl::pre_compile_program]: Program Compiled 1/7
[15:13:10.418] |I| [renderer::gl::compile_shader]: frag shader compiled: ec32bc06b579d9deb33aedb6906905809456d92260965248c88041250e436439
[15:13:10.422] |I| [renderer::gl::compile_shader]: vert shader compiled: 1e38336af7ae7235997ca51270876cb8ce0ba1256711db7ec356af5d54ea93eb
[15:13:10.430] |I| [renderer::gl::pre_compile_program]: Program Compiled 2/7
[15:13:10.436] |I| [renderer::gl::compile_shader]: frag shader compiled: 7e4de9a9191fa531a4edee512d6022b76d1cfb9e8e5f3d4092aa47dfd5ac30f3
[15:13:10.436] |I| [renderer::gl::compile_shader]: vert shader compiled: 1e38336af7ae7235997ca51270876cb8ce0ba1256711db7ec356af5d54ea93eb
[15:13:10.443] |I| [renderer::gl::pre_compile_program]: Program Compiled 3/7
[15:13:10.450] |I| [renderer::gl::compile_shader]: frag shader compiled: dc6d993670b33068c2d05ad06ae210f006bccdbe832cc834c07de5bea2a8c0a7
[15:13:10.455] |I| [renderer::gl::compile_shader]: vert shader compiled: 987a7371bc29efc0ad3b3bf4b16b5acbc00f4708e3ba7620298b005c5a096426
[15:13:10.462] |I| [renderer::gl::pre_compile_program]: Program Compiled 4/7
[15:13:10.470] |I| [renderer::gl::compile_shader]: frag shader compiled: 52f2cfbf88eac6a17daf2c593f17fdae0dbf16e0adac64181bc3631dbf278214
[15:13:10.471] |I| [renderer::gl::compile_shader]: vert shader compiled: 987a7371bc29efc0ad3b3bf4b16b5acbc00f4708e3ba7620298b005c5a096426
[15:13:10.479] |I| [renderer::gl::pre_compile_program]: Program Compiled 5/7
[15:13:10.485] |I| [renderer::gl::compile_shader]: frag shader compiled: d666c9f124ff2f8c5e8b07f4829c582acc25ee272ebcd769853f692f1e0e67d5
[15:13:10.487] |I| [renderer::gl::compile_shader]: vert shader compiled: 1e38336af7ae7235997ca51270876cb8ce0ba1256711db7ec356af5d54ea93eb
[15:13:10.493] |I| [renderer::gl::pre_compile_program]: Program Compiled 6/7
[15:13:10.499] |I| [renderer::gl::compile_shader]: frag shader compiled: 9228e4000cb3cd5b03ec302e623a12ca72bfacefd8cfb9a20e2c46c0631efc4b
[15:13:10.499] |I| [renderer::gl::compile_shader]: vert shader compiled: 987a7371bc29efc0ad3b3bf4b16b5acbc00f4708e3ba7620298b005c5a096426
[15:13:10.507] |I| [renderer::gl::pre_compile_program]: Program Compiled 7/7
[15:13:10.521] |D| [run_app]: Running module_start of library: SceLibc at address 0x75E5
[15:13:10.542] |I| [export_sceIoOpen]: Opening file: tty0:
[15:13:10.542] |T| [open_file]: sceIoOpen: Opening terminal tty0:
[15:13:10.543] |I| [export_sceIoOpen]: Opening file: tty0:
[15:13:10.543] |T| [open_file]: sceIoOpen: Opening terminal tty0:
[15:13:10.543] |I| [export_sceIoOpen]: Opening file: tty1:
[15:13:10.544] |T| [open_file]: sceIoOpen: Opening terminal tty1:
[15:13:10.549] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[15:13:10.552] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x47001
[15:13:10.566] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[15:13:10.569] |D| [run_app]: Running module_start of library: SceUlt at address 0x72D69
[15:13:10.582] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[15:13:10.600] |I| [load_module]: Loading module ID: 0x13
[15:13:10.601] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:13:10.601] |I| [load_self]: Loaded module segment 0 @ [0x0102F000 - 0x0103208C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[15:13:10.602] |I| [load_self]: Loaded module segment 1 @ [0x0012B000 - 0x0012BBF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[15:13:10.603] |I| [load_self]: Loading symbols for SELF: sys/external/libsystemgesture.suprx
[15:13:10.603] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x1032074
[15:13:10.603] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1031BD4
[15:13:10.603] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[15:13:10.604] |D| [load_module]: Running module_start of module: SceSystemGesture
[15:13:10.605] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") module_start returned 0x0
[15:13:10.605] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[15:13:10.640] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetParam import called.
[15:13:10.640] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetOverlayImage import called.
[15:13:10.641] |W| [unimplemented_impl]: Unimplemented sceScreenShotEnable import called.
[15:13:10.641] |W| [unimplemented_impl]: Unimplemented sceSysmoduleUnloadModule import called.
[15:13:10.660] |W| [unimplemented_impl]: Unimplemented sceTouchEnableTouchForce import called.
[15:13:10.661] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x6078A08B sceSystemGestureInitializePrimitiveTouchRecognizer at 0x81271090
[15:13:10.663] |W| [unimplemented_impl]: Unimplemented sceTouchGetPixelDensity2 import called.
[15:13:10.663] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0xC3367370 sceSystemGestureCreateTouchRecognizer at 0x812710C0
[15:13:10.665] |E| [call_import]: Import function for NID 0xE340C102 not found (thread name: PCSE00022, thread ID: 8)
[15:13:10.667] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[15:13:10.667] |W| [unimplemented_impl]: Unimplemented sceCommonDialogSetConfigParam import called.
[15:13:10.668] |W| [unimplemented_impl]: Unimplemented sceNpActivityInit import called.
[15:13:10.668] |W| [unimplemented_impl]: Unimplemented sceLocationInit import called.
[15:13:10.750] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[15:13:10.755] |W| [stubbed_impl]: Stubbed sceGxmGetRenderTargetMemSize import called. (2MB host mem)
[15:13:10.776] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[15:13:11.063] |W| [unimplemented_impl]: Unimplemented sceNpScoreInit import called.
[15:13:11.063] |W| [unimplemented_impl]: Unimplemented sceNpWordFilterInit import called.
[15:13:11.081] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0xDF4C665A sceSystemGestureUpdatePrimitiveTouchRecognizer at 0x812710D0
[15:13:11.084] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x851FB144 sceSystemGestureUpdateTouchRecognizer at 0x812710B0
[15:13:11.086] |E| [call_import]: Import function for NID 0xE340C103 not found (thread name: PCSE00022, thread ID: 8)
[15:13:11.093] |I| [load_module]: Loading module ID: 0x2D
[15:13:11.096] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:13:11.096] |I| [load_self]: Loaded module segment 0 @ [0x0CDB0000 - 0x0CDBFD20 / 0x81000000] (size: 0x0000FD20) of module sys/external/libscemp4.suprx
[15:13:11.097] |I| [load_self]: Loaded module segment 1 @ [0x0CDC0000 - 0x0CDC0028 / 0x81010000] (size: 0x00000028) of module sys/external/libscemp4.suprx
[15:13:11.100] |I| [load_self]: Loading symbols for SELF: sys/external/libscemp4.suprx
[15:13:11.100] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xCDBF9D0
[15:13:11.101] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xCDBE8C4
[15:13:11.102] |I| [load_module]: Module SceMp4 (at "sys/external/libscemp4.suprx") loaded
[15:13:11.121] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x5474AF0 sceMp4OpenFile at 0x812719D0
[15:13:11.123] |I| [export_sceIoOpen]: Opening file: app0:Data/dis3.mp4
[15:13:11.129] |T| [open_file]: sceIoOpen: Opening file app0:Data/dis3.mp4 (ux0:/app/PCSE00022/Data/dis3.mp4), fd: 0x3
[15:13:11.147] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[15:13:11.147] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_END
[15:13:11.148] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[15:13:11.149] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[15:13:11.149] |T| [read_file]: sceIoRead: Reading 65536 bytes of fd 0x3
[15:13:11.150] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x10000, whence: SCE_SEEK_SET
[15:13:11.150] |T| [read_file]: sceIoRead: Reading 65536 bytes of fd 0x3
[15:13:11.163] |T| [log_import_call]: [LLE] TID: 360 FUNC: 0x30E49E4D sceMp4StartFileStreaming at 0x812719F0
[15:13:11.163] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[15:13:11.164] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_END
[15:13:11.164] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[15:13:11.165] |W| [stubbed_impl]: Stubbed sceNpCheckCallback import called. (Stub)
[15:13:11.165] |W| [stubbed_impl]: Stubbed sceNetCheckDialogGetStatus import called. (SCE_COMMON_DIALOG_STATUS_FINISHED)
[15:13:11.166] |W| [unimplemented_impl]: Unimplemented sceNetCheckDialogGetResult import called.
[15:13:11.166] |W| [unimplemented_impl]: Unimplemented sceNetCheckDialogTerm import called.
[15:13:11.171] |E| [renderer::gl::after_callback]: OpenGL: glScissor set error 1281.
