[13:59:22.876] |I| [config::init_config]: backend-renderer: OpenGL
[13:59:22.877] |I| [config::init_config]: log-level: 0
[13:59:23.011] |I| [SDL_main]: Vita3K v0.1.5 2638-5221d68c
[13:59:23.012] |I| [SDL_main]: Number of logical CPU cores: 4
[13:59:23.012] |I| [SDL_main]: Available ram memory: 16348 mo
[13:59:23.232] |I| [renderer::gl::create]: Swap interval = -1
[13:59:23.240] |I| [renderer::gl::create]: GPU = GeForce GTX 1050 Ti/PCIe/SSE2
[13:59:23.240] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 456.71
[13:59:23.240] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[13:59:23.242] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[13:59:50.299] |I| [load_app_impl]: cpu-backend: Dynarmic
[13:59:50.300] |I| [load_app_impl]: CPU Optimisation state: true
[13:59:50.300] |I| [load_app_impl]: ngs state: true
[13:59:50.300] |I| [load_app_impl]: Resolution multiplier: 1
[13:59:50.300] |I| [load_app_impl]: modules mode: Auto & Manual
[13:59:50.301] |I| [load_app_impl]: Title: ダンジョントラベラーズ２ 王立図書館とマモノの封印
[13:59:50.477] |I| [load_app_impl]: Serial: PCSG00407
[13:59:50.478] |I| [load_app_impl]: Version: 1.00
[13:59:50.478] |I| [load_app_impl]: Category: gd
[13:59:50.538] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:59:50.538] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00056BD4 / 0x81000000] (size: 0x0004FBD4) of module app0:sce_module/libc.suprx
[13:59:50.538] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x00059688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[13:59:50.539] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[13:59:50.539] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C6C4
[13:59:50.540] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x42488
[13:59:50.540] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x464A8, setting to stub value 0xDEADBEEF
[13:59:50.541] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4802C, setting to stub value 0xDEADBEEF
[13:59:50.543] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[13:59:50.618] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:59:50.619] |I| [load_self]: Loaded module segment 0 @ [0x0005C000 - 0x00086AA8 / 0x81000000] (size: 0x0002AAA8) of module app0:sce_module/libfios2.suprx
[13:59:50.620] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C23D / 0x8102B000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[13:59:50.621] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[13:59:50.621] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x869B0
[13:59:50.622] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7E138
[13:59:50.622] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[13:59:50.632] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:59:50.633] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09C4 / 0x81000000] (size: 0x000139C4) of module app0:sce_module/libult.suprx
[13:59:50.634] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[13:59:50.634] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[13:59:50.635] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9F2F0
[13:59:50.635] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9C874
[13:59:50.636] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[13:59:50.648] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[13:59:50.649] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[13:59:50.650] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[13:59:50.651] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDE7DC
[13:59:50.651] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDDF10
[13:59:50.651] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[13:59:50.656] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[13:59:50.657] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[13:59:50.658] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[13:59:50.659] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x102710
[13:59:50.659] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x102300
[13:59:50.659] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[13:59:50.801] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:59:50.801] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x00363740 / 0x81000000] (size: 0x0025E740) of module app0:eboot.bin
[13:59:50.802] |I| [load_self]: Loaded module segment 1 @ [0x00364000 - 0x004C81D0 / 0x8125F000] (size: 0x001641D0) of module app0:eboot.bin
[13:59:50.803] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[13:59:50.804] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2E3A0C
[13:59:50.804] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x367CA4
[13:59:50.805] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x34F538
[13:59:50.806] |I| [load_app_impl]: Main executable VitaMain (eboot.bin) loaded
[13:59:51.096] |I| [renderer::gl::compile_shader]: frag shader compiled: 3cfa6d48d8cd9f5a8acd6d121a5ced1e95e74667ccebbd1081df638a05df7318
[13:59:51.111] |I| [renderer::gl::compile_shader]: vert shader compiled: 6aab393ff02e2d10cc66621a8add3abdddfd5aa2869b87680fd08403a818017d
[13:59:51.114] |I| [renderer::gl::pre_compile_program]: Program Compiled 1/4
[13:59:51.189] |I| [renderer::gl::compile_shader]: frag shader compiled: 67e2e26a2a3c674c05a7d0e56d4efc5c3adf03d7987f9b6bd2ebc7274364804e
[13:59:51.203] |I| [renderer::gl::compile_shader]: vert shader compiled: 476318c3e8ebf0c3ffe43e9a84262079eb45a1213eb2ef2e150c28525a1c406f
[13:59:51.204] |E| [renderer::gl::compile_program]: Fragment info
-------------
0(32) : warning C7050: "outs[0]" might be used before being initialized


[13:59:51.206] |I| [renderer::gl::pre_compile_program]: Program Compiled 2/4
[13:59:51.225] |I| [renderer::gl::compile_shader]: frag shader compiled: 1a51dceda6c75b2c1f3d65b586059887faa5afdc1152d5f5901f4e5e4053904a
[13:59:51.244] |I| [renderer::gl::compile_shader]: vert shader compiled: 6f3cf3494ad7cc41a9ec2adf3fae57440e962394ddcefe00893c126cb3626d28
[13:59:51.245] |E| [renderer::gl::compile_program]: Fragment info
-------------
0(28) : warning C7050: "pa[0].zw" might be used before being initialized


[13:59:51.246] |I| [renderer::gl::pre_compile_program]: Program Compiled 3/4
[13:59:51.256] |I| [renderer::gl::compile_shader]: frag shader compiled: 4f815809d9ba45be13e338cb360c05b37d7ef087edeb60c78b7bf8508252bc94
[13:59:51.271] |I| [renderer::gl::compile_shader]: vert shader compiled: ecd8d1a77ee255a09abb5b2743932f0ab6d17b81f15d771ff9254c0e47d65161
[13:59:51.274] |E| [renderer::gl::compile_program]: Fragment info
-------------
0(32) : warning C7050: "pa[0].zw" might be used before being initialized
0(35) : warning C7050: "r[0]" might be used before being initialized


[13:59:51.275] |I| [renderer::gl::pre_compile_program]: Program Compiled 4/4
[13:59:51.296] |D| [run_app]: Running module_start of library: SceLibc at address 0x7805
[13:59:51.425] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[13:59:51.426] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[13:59:51.426] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[13:59:51.436] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[13:59:51.443] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5C001
[13:59:51.458] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[13:59:51.458] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[13:59:51.459] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[13:59:51.465] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[13:59:51.480] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[13:59:51.481] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[13:59:51.518] |I| [load_module]: Loading module ID: 0x30
[13:59:51.562] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:59:51.563] |I| [load_self]: Loaded module segment 0 @ [0x0E110000 - 0x0E11355C / 0x81000000] (size: 0x0000355C) of module sys/external/libatrac.suprx
[13:59:51.564] |I| [load_self]: Loaded module segment 1 @ [0x0050B000 - 0x0050C038 / 0x81004000] (size: 0x00001038) of module sys/external/libatrac.suprx
[13:59:51.564] |I| [load_self]: Loading symbols for SELF: sys/external/libatrac.suprx
[13:59:51.565] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE113558
[13:59:51.565] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE112DB4
[13:59:51.565] |I| [load_module]: Module SceAtrac (at "sys/external/libatrac.suprx") loaded
[13:59:51.566] |D| [load_module]: Running module_start of module: SceAtrac
[13:59:51.567] |I| [load_module]: Module SceAtrac (at "sys/external/libatrac.suprx") module_start returned 0x0
[13:59:51.567] |I| [load_module]: Loading module ID: 0x4C
[13:59:51.572] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:59:51.572] |I| [load_self]: Loaded module segment 0 @ [0x0E114000 - 0x0E1289FC / 0x81000000] (size: 0x000149FC) of module sys/external/libsceavplayer.suprx
[13:59:51.573] |I| [load_self]: Loaded module segment 1 @ [0x0050D000 - 0x0050D06C / 0x81015000] (size: 0x0000006C) of module sys/external/libsceavplayer.suprx
[13:59:51.574] |I| [load_self]: Loading symbols for SELF: sys/external/libsceavplayer.suprx
[13:59:51.575] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE125D40
[13:59:51.577] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE124548
[13:59:51.577] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") loaded
[13:59:51.578] |D| [load_module]: Running module_start of module: SceAvPlayer
[13:59:51.578] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") module_start returned 0x0
[13:59:51.583] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:59:51.584] |I| [load_self]: Loaded module segment 0 @ [0x0E129000 - 0x0E138D20 / 0x81000000] (size: 0x0000FD20) of module sys/external/libscemp4.suprx
[13:59:51.585] |I| [load_self]: Loaded module segment 1 @ [0x0E139000 - 0x0E139028 / 0x81010000] (size: 0x00000028) of module sys/external/libscemp4.suprx
[13:59:51.586] |I| [load_self]: Loading symbols for SELF: sys/external/libscemp4.suprx
[13:59:51.586] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE1389D0
[13:59:51.586] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1378C4
[13:59:51.587] |I| [load_module]: Module SceMp4 (at "sys/external/libscemp4.suprx") loaded
[13:59:51.624] |E| [logging::ret_error_impl]: sceKernelTryLockLwMutex returned SCE_KERNEL_ERROR_LW_MUTEX_FAILED_TO_OWN (0x80028185)
[13:59:51.752] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[13:59:51.790] |W| [unimplemented_impl]: Unimplemented sceGxmColorSurfaceSetDitherMode import called.
[13:59:51.790] |W| [unimplemented_impl]: Unimplemented sceGxmColorSurfaceSetGammaMode import called.
[13:59:51.902] |W| [unimplemented_impl]: Unimplemented sceAudioOutSetAlcMode import called.
[13:59:51.906] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x1A34B331 sceAtracQueryDecoderGroupMemSize at 0x2E2D00
[13:59:51.908] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x1BFB98C sceAtracCreateDecoderGroup at 0x2E2CE0
[13:59:51.947] |W| [unimplemented_impl]: Unimplemented sceTouchDisableTouchForce import called.
[13:59:51.948] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[13:59:51.957] |W| [unimplemented_impl]: Unimplemented sceMotionStopSampling import called.
[13:59:51.958] |W| [unimplemented_impl]: Unimplemented sceMotionMagnetometerOff import called.
[13:59:52.128] |I| [export_sceIoOpen]: Opening file: app0:/NowLoading.tex
[13:59:52.157] |T| [open_file]: sceIoOpen: Opening file app0:/NowLoading.tex (ux0:/app/PCSG00407/NowLoading.tex), fd: 0x3
[13:59:52.158] |T| [stat_file]: sceIoGetstatByFd: Statting fd: 0x3
[13:59:52.163] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[13:59:52.164] |T| [read_file]: sceIoPread: Reading 16384 bytes of fd 0x3
[13:59:52.164] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[13:59:52.165] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x4000, whence: SCE_SEEK_SET
[13:59:52.166] |T| [read_file]: sceIoPread: Reading 3408 bytes of fd 0x3
[13:59:52.166] |T| [seek_file]: sceIoPread: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[13:59:52.168] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[13:59:52.174] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/Dungeon/OpaqueObject.txt (ux0:/app/PCSG00407/Dungeon/OpaqueObject.txt)
[13:59:52.176] |T| [stat_file]: _sceIoGetstat: Statting file: app0:/Dungeon/OpaqueObject.txt (ux0:/app/PCSG00407/Dungeon/OpaqueObject.txt)
[13:59:52.178] |I| [export_sceIoOpen]: Opening file: app0:/Dungeon/OpaqueObject.txt
[13:59:52.201] |T| [open_file]: sceIoOpen: Opening file app0:/Dungeon/OpaqueObject.txt (ux0:/app/PCSG00407/Dungeon/OpaqueObject.txt), fd: 0x4
[13:59:52.202] |T| [stat_file]: sceIoGetstatByFd: Statting fd: 0x4
[13:59:52.203] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[13:59:52.203] |T| [read_file]: sceIoPread: Reading 973 bytes of fd 0x4
[13:59:52.204] |T| [seek_file]: sceIoPread: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[13:59:52.205] |T| [close_file]: sceIoClose: Closing file fd: 0x4
[13:59:54.324] |I| [export_sceIoOpen]: Opening file: app0:/Font24.fnt
[13:59:54.375] |T| [open_file]: sceIoOpen: Opening file app0:/Font24.fnt (ux0:/app/PCSG00407/Font24.fnt), fd: 0x5
[13:59:54.375] |T| [stat_file]: sceIoGetstatByFd: Statting fd: 0x5
[13:59:54.376] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[13:59:54.376] |T| [read_file]: sceIoPread: Reading 16384 bytes of fd 0x5
[13:59:54.377] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[13:59:54.377] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x4000, whence: SCE_SEEK_SET
[13:59:54.378] |T| [read_file]: sceIoPread: Reading 16384 bytes of fd 0x5
[13:59:54.378] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[13:59:54.378] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x8000, whence: SCE_SEEK_SET
[13:59:54.380] |T| [read_file]: sceIoPread: Reading 16384 bytes of fd 0x5
[13:59:54.380] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[13:59:54.380] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0xC000, whence: SCE_SEEK_SET
[13:59:54.381] |T| [read_file]: sceIoPread: Reading 16384 bytes of fd 0x5
[13:59:54.381] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[13:59:54.382] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x10000, whence: SCE_SEEK_SET
[13:59:54.382] |T| [read_file]: sceIoPread: Reading 16384 bytes of fd 0x5
[13:59:54.382] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[13:59:54.383] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x14000, whence: SCE_SEEK_SET
[13:59:54.383] |T| [read_file]: sceIoPread: Reading 16384 bytes of fd 0x5
[13:59:54.384] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[13:59:54.384] |T| [seek_file]: sceIoPread: Seeking fd: 0x5, offset: 0x18000, whence: SCE_SEEK_SET
