[07:26:05.355] |I| [config::init_config]: backend-renderer: OpenGL
[07:26:05.356] |I| [config::init_config]: log-level: 0
[07:26:05.427] |I| [SDL_main]: Vita3K v0.1.2 1987-13905a0d
[07:26:05.755] |I| [renderer::gl::create]: Swap interval = -1
[07:26:05.756] |I| [renderer::gl::create]: GPU = GeForce RTX 2070 SUPER/PCIe/SSE2
[07:26:05.757] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 461.40
[07:26:05.757] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[07:26:05.758] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[07:26:05.758] |W| [gui::init_font]: Could not find firmware font file at "G:\emu\CS\windows-latest\GAMES/sa0/data/font/pvf\ltn0.pvf", install firmware fonts package to fix this.
[07:26:05.792] |I| [gui::init_font]: Using default Vita3K font.
[07:26:07.710] |I| [load_app_impl]: ngs experimental state: false
[07:26:07.710] |I| [load_app_impl]: video player state: true
[07:26:07.711] |I| [load_app_impl]: Title: エビコレ+ アマガミ
[07:26:07.711] |I| [load_app_impl]: Serial: PCSG00291
[07:26:07.711] |I| [load_app_impl]: Version: 1.00
[07:26:07.711] |I| [load_app_impl]: Category: gd
[07:26:07.721] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:26:07.721] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000513BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[07:26:07.721] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[07:26:07.722] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[07:26:07.722] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x47164
[07:26:07.722] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D0FC
[07:26:07.723] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x410BC, setting to stub value 0xDEADBEEF
[07:26:07.723] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x42B70, setting to stub value 0xDEADBEEF
[07:26:07.723] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[07:26:07.729] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:26:07.730] |I| [load_self]: Loaded module segment 0 @ [0x00057000 - 0x0008212C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[07:26:07.730] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x0008823D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[07:26:07.731] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[07:26:07.732] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x82034
[07:26:07.732] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x79548
[07:26:07.732] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[07:26:07.735] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:26:07.735] |I| [load_self]: Loaded module segment 0 @ [0x00089000 - 0x0009CA9C / 0x81000000] (size: 0x00013A9C) of module app0:sce_module/libult.suprx
[07:26:07.736] |I| [load_self]: Loaded module segment 1 @ [0x0009D000 - 0x0009D814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[07:26:07.736] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[07:26:07.737] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9B3C8
[07:26:07.737] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98944
[07:26:07.737] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[07:26:07.745] |I| [load_self]: Loaded module segment 0 @ [0x0009E000 - 0x000EEF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[07:26:07.745] |I| [load_self]: Loaded module segment 1 @ [0x000EF000 - 0x000EF2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[07:26:07.746] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[07:26:07.746] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDA7DC
[07:26:07.747] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD9F10
[07:26:07.747] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[07:26:07.749] |I| [load_self]: Loaded module segment 0 @ [0x000F0000 - 0x000FFF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[07:26:07.750] |I| [load_self]: Loaded module segment 1 @ [0x00100000 - 0x00100008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[07:26:07.751] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[07:26:07.751] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xFE710
[07:26:07.752] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xFE300
[07:26:07.752] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[07:26:07.784] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:26:07.785] |I| [load_self]: Loaded module segment 0 @ [0x00101000 - 0x001CA024 / 0x81000000] (size: 0x000C9024) of module app0:eboot.bin
[07:26:07.786] |I| [load_self]: Loaded module segment 1 @ [0x001CB000 - 0x003C9328 / 0x810CA000] (size: 0x001FE328) of module app0:eboot.bin
[07:26:07.786] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[07:26:07.787] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x19CF68
[07:26:07.787] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1DF7A4
[07:26:07.787] |I| [load_app_impl]: Main executable PSVita_ProjectTest01 (eboot.bin) loaded
[07:26:07.789] |D| [run_app]: Running module_start of library: SceLibc at address 0x4809
[07:26:07.800] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[07:26:07.801] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[07:26:07.802] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[07:26:07.804] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[07:26:07.805] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x57001
[07:26:07.806] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[07:26:07.807] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[07:26:07.807] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[07:26:07.808] |D| [run_app]: Running module_start of library: SceUlt at address 0x8C769
[07:26:07.810] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[07:26:07.810] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[07:26:07.813] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[07:26:07.813] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR05629_00/TROPHY.TRP (ux0:/app/PCSG00291/sce_sys/trophy/NPWR05629_00/TROPHY.TRP), fd: 0x3
[07:26:07.814] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR05629_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR05629_00/TROPUSR.DAT), fd: 0x4
[07:26:07.814] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x3
[07:26:07.814] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x3, offset: 0x10, whence: SCE_SEEK_SET
[07:26:07.815] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x3
[07:26:07.815] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x3
[07:26:07.815] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x3, offset: 0x40, whence: SCE_SEEK_SET
