[03:48:16.707] |I| [config::init_config]: backend-renderer: OpenGL
[03:48:16.707] |I| [config::init_config]: log-level: 0
[03:48:16.754] |I| [SDL_main]: Vita3K v0.1.3 2265-bf29a917
[03:48:16.836] |I| [renderer::gl::create]: Swap interval = -1
[03:48:16.839] |I| [renderer::gl::create]: GPU = GeForce GTX 1080/PCIe/SSE2
[03:48:16.839] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 460.89
[03:48:16.839] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[03:48:16.840] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[03:48:53.752] |I| [load_app_impl]: cpu-backend: Dynarmic
[03:48:53.754] |I| [load_app_impl]: CPU Optimisation state: true
[03:48:53.754] |I| [load_app_impl]: at9 audio decoder state: true
[03:48:53.754] |I| [load_app_impl]: ngs experimental state: true
[03:48:53.754] |I| [load_app_impl]: video player state: true
[03:48:53.754] |I| [load_app_impl]: Title: Foosball 2012
[03:48:53.754] |I| [load_app_impl]: Serial: PCSE00039
[03:48:53.754] |I| [load_app_impl]: Version: 1.00
[03:48:53.754] |I| [load_app_impl]: Category: gd
[03:48:53.765] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:48:53.766] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000437DC / 0x81000000] (size: 0x0003C7DC) of module app0:sce_module/libc.suprx
[03:48:53.767] |I| [load_self]: Loaded module segment 1 @ [0x00044000 - 0x00046374 / 0x8103D000] (size: 0x00002374) of module app0:sce_module/libc.suprx
[03:48:53.767] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[03:48:53.767] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x35220
[03:48:53.767] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x389F0, setting to stub value 0xDEADBEEF
[03:48:53.769] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[03:48:53.776] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:48:53.777] |I| [load_self]: Loaded module segment 0 @ [0x00048000 - 0x0006A1B0 / 0x81000000] (size: 0x000221B0) of module app0:sce_module/libfios2.suprx
[03:48:53.778] |I| [load_self]: Loaded module segment 1 @ [0x0006B000 - 0x000701B8 / 0x81023000] (size: 0x000051B8) of module app0:sce_module/libfios2.suprx
[03:48:53.778] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[03:48:53.778] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x63CB0
[03:48:53.779] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[03:48:53.784] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:48:53.785] |I| [load_self]: Loaded module segment 0 @ [0x00071000 - 0x0008506C / 0x81000000] (size: 0x0001406C) of module app0:sce_module/libult.suprx
[03:48:53.785] |I| [load_self]: Loaded module segment 1 @ [0x00086000 - 0x00086814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[03:48:53.786] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[03:48:53.786] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81B68
[03:48:53.786] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[03:48:53.796] |I| [load_self]: Loaded module segment 0 @ [0x00087000 - 0x000D7F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[03:48:53.797] |I| [load_self]: Loaded module segment 1 @ [0x000D8000 - 0x000D82F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[03:48:53.798] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[03:48:53.798] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xC37DC
[03:48:53.799] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xC2F10
[03:48:53.799] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0xD7EE0, setting to stub value 0xDEADBEEF
[03:48:53.800] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[03:48:53.804] |I| [load_self]: Loaded module segment 0 @ [0x000DA000 - 0x000E9F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[03:48:53.804] |I| [load_self]: Loaded module segment 1 @ [0x000EA000 - 0x000EA008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[03:48:53.805] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[03:48:53.805] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE8710
[03:48:53.805] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE8300
[03:48:53.806] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[03:48:53.818] |C| [load_self]: Unknown segment type 0x6FFFFF01
[03:48:53.819] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x8107FD28 / 0x81000000] (size: 0x0007FD28) of module app0:eboot.bin
[03:48:53.820] |I| [load_self]: Loaded module segment 1 @ [0x81080000 - 0x811984EC / 0x81080000] (size: 0x001184EC) of module app0:eboot.bin
[03:48:53.821] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[03:48:53.821] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x8106F494
[03:48:53.821] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x810801A4
[03:48:53.821] |I| [load_app_impl]: Main executable Blivajz3DPS3 (eboot.bin) loaded
[03:48:53.829] |D| [run_app]: Running module_start of library: SceLibc at address 0x75E5
[03:48:53.842] |I| [export_sceIoOpen]: Opening file: tty0:
[03:48:53.843] |T| [open_file]: sceIoOpen: Opening terminal tty0:
[03:48:53.844] |I| [export_sceIoOpen]: Opening file: tty0:
[03:48:53.844] |T| [open_file]: sceIoOpen: Opening terminal tty0:
[03:48:53.845] |I| [export_sceIoOpen]: Opening file: tty1:
[03:48:53.845] |T| [open_file]: sceIoOpen: Opening terminal tty1:
[03:48:53.850] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[03:48:53.853] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x48001
[03:48:53.860] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[03:48:53.861] |W| [unimplemented_impl]: Unimplemented _sceFiosKernelOverlayGetList import called.
[03:48:53.861] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[03:48:53.864] |D| [run_app]: Running module_start of library: SceUlt at address 0x74B71
[03:48:53.870] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[03:48:53.913] |W| [unimplemented_impl]: Unimplemented sceMotionStopSampling import called.
[03:48:53.914] |W| [unimplemented_impl]: Unimplemented sceMotionSetDeadband import called.
[03:48:53.914] |W| [unimplemented_impl]: Unimplemented sceMotionSetTiltCorrection import called.
[03:48:53.923] |W| [stubbed_impl]: Stubbed sceGxmMapMemory import called. (always return success)
[03:48:53.926] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[03:48:53.965] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[03:48:54.018] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0xEE681E1D sceFiosFHOpenWithModeSync at 0x35214
[03:48:54.019] |I| [export_sceIoOpen]: Opening file: app0:/media/shaders/clear_v.gxp
[03:48:54.020] |T| [open_file]: sceIoOpen: Opening file app0:/media/shaders/clear_v.gxp (ux0:/app/PCSE00039/media/shaders/clear_v.gxp), fd: 0x3
[03:48:54.022] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0xA75F3C4A sceFiosFHSeek at 0x351C4
[03:48:54.022] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_END
[03:48:54.023] |E| [call_import]: Import function for NID 0xE340C005 not found (thread name: PCSE00039, thread ID: 8)
[03:48:54.024] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_CUR
[03:48:54.025] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[03:48:54.026] |T| [seek_file]: _sceIoLseek: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[03:48:54.026] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0xB309E327 sceFiosIsValidHandle at 0x351E4
[03:48:54.027] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x76945919 sceFiosFHReadSync at 0x351A4
[03:48:54.027] |T| [read_file]: sceIoRead: Reading 264 bytes of fd 0x3
[03:48:54.028] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x45182328 sceFiosFHCloseSync at 0x35184
[03:48:54.029] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[03:48:54.032] |I| [export_sceIoOpen]: Opening file: app0:/media/shaders/clear_f.gxp
