[18:25:12.638] |I| [config::init_config]: backend-renderer: OpenGL
[18:25:12.640] |I| [config::init_config]: log-level: 0
[18:25:13.011] |I| [SDL_main]: Vita3K v0.1.3 2246-1f439ee8
[18:25:13.333] |I| [renderer::gl::create]: Swap interval = -1
[18:25:13.335] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3090/PCIe/SSE2
[18:25:13.335] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 466.27
[18:25:13.335] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[18:25:13.335] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[18:25:13.336] |W| [gui::init_font]: Could not find firmware font file at "C:/Users/caine/AppData/Roaming/Vita3K/Vita3K/sa0/data/font/pvf\ltn0.pvf", install firmware fonts package to fix this.
[18:25:13.369] |I| [gui::init_font]: Using default Vita3K font.
[18:25:15.426] |I| [gui::load_app_icon]: Default icon found for title NPXS10008, [Trophy Collection] in path NPXS10008.
[18:25:15.427] |I| [gui::load_app_icon]: Default icon found for title NPXS10015, [Settings] in path NPXS10015.
[18:25:15.428] |I| [gui::load_app_icon]: Default icon found for title NPXS10026, [Content Manager] in path NPXS10026.
[18:25:15.442] |W| [gui::init_theme_start_background]: Default start background not found, install firmware for fix this.
[18:25:18.049] |I| [load_app_impl]: cpu-backend: Dynarmic
[18:25:18.050] |I| [load_app_impl]: CPU Optimisation state: true
[18:25:18.050] |I| [load_app_impl]: at9 audio decoder state: true
[18:25:18.050] |I| [load_app_impl]: ngs experimental state: true
[18:25:18.050] |I| [load_app_impl]: video player state: true
[18:25:18.050] |I| [load_app_impl]: Title: GRAVITY RUSHΓäó
[18:25:18.050] |I| [load_app_impl]: Serial: PCSA00011
[18:25:18.051] |I| [load_app_impl]: Version: 1.00
[18:25:18.051] |I| [load_app_impl]: Category: gd
[18:25:18.057] |C| [load_self]: Unknown segment type 0x6FFFFF01
[18:25:18.057] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00042F34 / 0x81000000] (size: 0x0003BF34) of module app0:sce_module/libc.suprx
[18:25:18.057] |I| [load_self]: Loaded module segment 1 @ [0x00043000 - 0x0004533C / 0x8103C000] (size: 0x0000233C) of module app0:sce_module/libc.suprx
[18:25:18.058] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[18:25:18.058] |D| [load_var_exports]:  NID 0x6C2224BA (NID_MODULE_INFO) at 0x34A70
[18:25:18.059] |W| [load_var_imports]:  NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x38220, setting to stub value 0xDEADBEEF
[18:25:18.060] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[18:25:18.064] |C| [load_self]: Unknown segment type 0x6FFFFF01
[18:25:18.065] |I| [load_self]: Loaded module segment 0 @ [0x00047000 - 0x00068E94 / 0x81000000] (size: 0x00021E94) of module app0:sce_module/libfios2.suprx
[18:25:18.066] |I| [load_self]: Loaded module segment 1 @ [0x00069000 - 0x0006E22C / 0x81022000] (size: 0x0000522C) of module app0:sce_module/libfios2.suprx
[18:25:18.067] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[18:25:18.067] |D| [load_var_exports]:  NID 0x6C2224BA (NID_MODULE_INFO) at 0x62888
[18:25:18.068] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[18:25:18.071] |C| [load_self]: Unknown segment type 0x6FFFFF01
[18:25:18.071] |I| [load_self]: Loaded module segment 0 @ [0x0006F000 - 0x000836AC / 0x81000000] (size: 0x000146AC) of module app0:sce_module/libult.suprx
[18:25:18.072] |I| [load_self]: Loaded module segment 1 @ [0x00084000 - 0x00084810 / 0x81015000] (size: 0x00000810) of module app0:sce_module/libult.suprx
