[08:36:08.721] |I| [config::init_config]: input-vpk-path: games\PCSG00699_GalGunDoublePeace_JP.zip
[08:36:08.722] |I| [config::init_config]: backend-renderer: OpenGL
[08:36:08.722] |I| [config::init_config]: hardware-flip: enabled
[08:36:08.722] |I| [config::init_config]: log-level: 0
[08:36:08.723] |I| [SDL_main]: Vita3K v0.1 1315-5b070aac
[08:36:09.137] |I| [renderer::gl::create]: Swap interval = -1
[08:36:09.139] |I| [renderer::gl::create]: GPU = AMD Radeon HD 6700 Series
[08:36:09.139] |I| [renderer::gl::create]: GL_VERSION = 4.5.13399 Core Profile Context 15.200.1062.1004
[08:36:09.140] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.40
[08:36:09.140] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[08:36:09.140] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[08:36:09.235] |I| [gui::init_icons]: Default icon found for title PETTANKO0, Pettanko Test.
[08:36:09.238] |I| [gui::init_icons]: Default icon found for title VITA2DTST, vita2dsample.
[08:36:09.240] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[08:36:09.241] |I| [gui::init_icons]: Default icon found for title VSDK01337, SoLoud example.
[08:36:09.242] |I| [gui::init_icons]: Default icon found for title WF0000000, Test.
[08:36:09.243] |I| [gui::init_icons]: Default icon found for title WF0000011, Test.
[08:36:09.244] |I| [gui::init_icons]: Default icon found for title WF0000099, Tank test.
[08:36:12.124] |I| [install_vpk]: PCSG00699 already installed, launching application...
[08:36:12.125] |I| [load_app_impl]: Title: ぎゃる☆がん だぶるぴーす
[08:36:12.126] |I| [load_app_impl]: Serial: PCSG00699
[08:36:12.126] |I| [load_app_impl]: Version: 01.00
[08:36:12.126] |I| [load_app_impl]: Category: gd
[08:36:12.180] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x00050C54] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[08:36:12.181] |I| [load_self]: Loaded module segment 1 @ [0x00051000 - 0x00053688] (size: 0x00002688) of module app0:sce_module/libc.suprx
[08:36:12.182] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[08:36:12.182] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x46744
[08:36:12.182] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3C4F8
[08:36:12.183] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x40520, setting to stub value 0xDEADBEEF
[08:36:12.183] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x420A4, setting to stub value 0xDEADBEEF
[08:36:12.183] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[08:36:12.202] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x0008133C] (size: 0x0002B33C) of module app0:sce_module/libfios2.suprx
[08:36:12.203] |I| [load_self]: Loaded module segment 1 @ [0x00082000 - 0x0008723D] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[08:36:12.204] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[08:36:12.204] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x81244
[08:36:12.205] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78878
[08:36:12.205] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[08:36:12.220] |I| [load_self]: Loaded module segment 0 @ [0x00088000 - 0x0009B9A4] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[08:36:12.221] |I| [load_self]: Loaded module segment 1 @ [0x0009C000 - 0x0009C814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[08:36:12.222] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[08:36:12.222] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9A2D0
[08:36:12.222] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x97858
[08:36:12.223] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x980A4, setting to stub value 0xDEADBEEF
[08:36:12.223] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[08:36:13.348] |I| [load_self]: Loaded module segment 0 @ [0x82A00BF0 - 0x83ECE550] (size: 0x014CD960) of module app0:eboot.bin
[08:36:13.349] |I| [load_self]: Loaded module segment 1 @ [0x83F002C0 - 0x84014A74] (size: 0x001147B4) of module app0:eboot.bin
[08:36:13.350] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[08:36:13.350] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x83C0AB80
[08:36:13.350] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x83F3D344
[08:36:13.350] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x83D7DC04
[08:36:13.352] |I| [load_app_impl]: Main executable GG2GAME_NGP_SHIPPING (eboot.bin) loaded
[08:36:13.358] |D| [run_app]: Running module_start of library: SceLibc at address 0x1871
