[11:25:09.951] |I| [config::init_config]: backend-renderer: OpenGL
[11:25:09.953] |I| [config::init_config]: log-level: 0
[11:25:10.223] |I| [SDL_main]: Vita3K v0.1 1804-9230dc8e
[11:25:10.608] |I| [renderer::gl::create]: Swap interval = -1
[11:25:10.612] |I| [renderer::gl::create]: GPU = GeForce GTX 1050 Ti/PCIe/SSE2
[11:25:10.613] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 460.89
[11:25:10.613] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[11:25:10.614] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[11:25:10.675] |W| [gui::init_live_area_font]: Could not find firmware font file at "C:/Users/Yeff Scry/AppData/Roaming/Vita3K/Vita3K/sa0/data/font/pvf/jpn0.pvf", using defaut vita3k font.
[11:32:21.500] |I| [load_app_impl]: ngs experimental state: false
[11:32:21.501] |I| [load_app_impl]: Title: 劇場版 魔法少女まどか☆マギカ　The Battle Pentagram
[11:32:21.503] |I| [load_app_impl]: Serial: PCSG00214
[11:32:21.503] |I| [load_app_impl]: Version: 01.00
[11:32:21.503] |I| [load_app_impl]: Category: gd
[11:32:21.524] |C| [load_self]: Unknown segment type 0x6FFFFF01
[11:32:21.524] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x0004E4B0 / 0x81000000] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[11:32:21.524] |I| [load_self]: Loaded module segment 1 @ [0x0004F000 - 0x000516F4 / 0x8104B000] (size: 0x000026F4) of module app0:sce_module/libc.suprx
[11:32:21.524] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[11:32:21.525] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3AF30
[11:32:21.940] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x3EDF0, setting to stub value 0xDEADBEEF
[11:32:21.967] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x404A4, setting to stub value 0xDEADBEEF
[11:32:21.968] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[11:32:21.980] |C| [load_self]: Unknown segment type 0x6FFFFF01
[11:32:21.981] |I| [load_self]: Loaded module segment 0 @ [0x00054000 - 0x0007822C / 0x81000000] (size: 0x0002422C) of module app0:sce_module/libfios2.suprx
[11:32:21.981] |I| [load_self]: Loaded module segment 1 @ [0x00079000 - 0x0007E1A4 / 0x81025000] (size: 0x000051A4) of module app0:sce_module/libfios2.suprx
[11:32:21.982] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[11:32:21.982] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x70B70
[11:32:21.983] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[11:32:21.993] |C| [load_self]: Unknown segment type 0x6FFFFF01
[11:32:21.994] |I| [load_self]: Loaded module segment 0 @ [0x0007F000 - 0x00093144 / 0x81000000] (size: 0x00014144) of module app0:sce_module/libult.suprx
[11:32:21.994] |I| [load_self]: Loaded module segment 1 @ [0x00094000 - 0x00094814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[11:32:21.995] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[11:32:21.996] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x8F1CC
[11:32:21.997] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[11:32:22.013] |I| [load_self]: Loaded module segment 0 @ [0x00095000 - 0x000E5F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[11:32:22.014] |I| [load_self]: Loaded module segment 1 @ [0x000E6000 - 0x000E62F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[11:32:22.015] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[11:32:22.016] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xD17DC
[11:32:22.016] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD0F10
[11:32:22.017] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[11:32:22.029] |I| [load_self]: Loaded module segment 0 @ [0x000E7000 - 0x000F6F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[11:32:22.029] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F7008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[11:32:22.030] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[11:32:22.031] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xF5710
[11:32:22.031] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xF5300
[11:32:22.031] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[11:32:22.253] |C| [load_self]: Unknown segment type 0x6FFFFF01
[11:32:22.253] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x8172EFF8 / 0x81000000] (size: 0x0072EFF8) of module app0:eboot.bin
[11:32:22.255] |I| [load_self]: Loaded module segment 1 @ [0x8172F000 - 0x8176DA58 / 0x8172F000] (size: 0x0003EA58) of module app0:eboot.bin
[11:32:22.255] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[11:32:22.256] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81696440
[11:32:22.256] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x81733420
[11:32:22.257] |I| [load_app_impl]: Main executable mmv_psp2_final (eboot.bin) loaded
[11:32:22.362] |D| [run_app]: Running module_start of library: SceLibc at address 0x47F1
[11:32:22.369] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[11:32:22.369] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[11:32:22.370] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[11:32:22.373] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[11:32:22.374] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x54001
[11:32:22.376] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[11:32:22.377] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[11:32:22.377] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[11:32:22.378] |D| [run_app]: Running module_start of library: SceUlt at address 0x8284D
[11:32:22.381] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[11:32:22.381] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[11:32:22.440] |W| [stubbed_impl]: Stubbed sceKernelLockLwMutexCB import called. (no CB)
[11:32:22.449] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[11:32:22.450] |W| [unimplemented_impl]: Unimplemented sceScreenShotDisable import called.
