[22:58:57.609] |I| [config::init_config]: backend-renderer: OpenGL
[22:58:57.610] |I| [config::init_config]: log-level: 0
[22:58:57.733] |I| [SDL_main]: Vita3K v0.1.5 2692-067135d2
[22:58:57.733] |I| [SDL_main]: Number of logical CPU cores: 16
[22:58:57.733] |I| [SDL_main]: Available ram memory: 14198 mo
[22:58:58.151] |I| [renderer::gl::create]: Swap interval = 0
[22:58:58.152] |I| [renderer::gl::create]: GPU = AMD Radeon(TM) Graphics
[22:58:58.153] |I| [renderer::gl::create]: GL_VERSION = 4.6.14761 Core Profile Context 21.10.2 30.0.13025.5005
[22:58:58.153] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[22:58:58.153] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[22:58:58.153] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[22:59:01.005] |I| [load_app_impl]: cpu-backend: Dynarmic
[22:59:01.006] |I| [load_app_impl]: CPU Optimisation state: true
[22:59:01.006] |I| [load_app_impl]: ngs state: true
[22:59:01.006] |I| [load_app_impl]: Resolution multiplier: 2
[22:59:01.009] |I| [load_app_impl]: 1 Controllers Connected
[22:59:01.009] |I| [load_app_impl]: Controller 0: Controller (Gamepad F310)
[22:59:01.009] |I| [load_app_impl]: modules mode: Automatic
[22:59:01.009] |I| [load_app_impl]: Title: 極限凸起 萌情水晶
[22:59:01.009] |I| [load_app_impl]: Serial: PCSH00301
[22:59:01.009] |I| [load_app_impl]: Version: 1.00
[22:59:01.010] |I| [load_app_impl]: Category: gd
[22:59:01.022] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:59:01.023] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[22:59:01.023] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[22:59:01.023] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[22:59:01.023] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[22:59:01.023] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[22:59:01.024] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[22:59:01.025] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[22:59:01.026] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[22:59:01.033] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:59:01.034] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[22:59:01.034] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[22:59:01.035] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[22:59:01.036] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[22:59:01.036] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[22:59:01.036] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[22:59:01.041] |C| [load_self]: Unknown segment type 0x6FFFFF01
[22:59:01.041] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[22:59:01.042] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[22:59:01.043] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[22:59:01.043] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[22:59:01.044] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[22:59:01.044] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[22:59:01.054] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[22:59:01.057] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[22:59:01.058] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[22:59:01.059] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[22:59:01.059] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[22:59:01.059] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[22:59:01.064] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[22:59:01.064] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[22:59:01.065] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[22:59:01.066] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[22:59:01.066] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
