[05:22:59.098] |I| [config::init_config]: backend-renderer: OpenGL
[05:22:59.099] |I| [config::init_config]: log-level: 0
[05:22:59.221] |I| [SDL_main]: Vita3K v0.1.5 2642-4e1e255a
[05:22:59.221] |I| [SDL_main]: Number of logical CPU cores: 8
[05:22:59.222] |I| [SDL_main]: Available ram memory: 16215 mo
[05:22:59.648] |I| [renderer::gl::create]: Swap interval = -1
[05:22:59.652] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[05:22:59.652] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[05:22:59.653] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[05:22:59.655] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[05:23:11.486] |I| [load_app_impl]: cpu-backend: Dynarmic
[05:23:11.487] |I| [load_app_impl]: CPU Optimisation state: true
[05:23:11.487] |I| [load_app_impl]: ngs state: true
[05:23:11.487] |I| [load_app_impl]: Resolution multiplier: 1
[05:23:11.487] |I| [load_app_impl]: modules mode: Automatic
[05:23:11.488] |I| [load_app_impl]: Title: 月影の鎖　～錯乱パラノイア～
[05:23:11.488] |I| [load_app_impl]: Serial: PCSG00794
[05:23:11.489] |I| [load_app_impl]: Version: 1.00
[05:23:11.489] |I| [load_app_impl]: Category: gd
[05:23:11.509] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:23:11.509] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[05:23:11.510] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[05:23:11.511] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[05:23:11.512] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[05:23:11.512] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
