[06:02:34.006] |I| [config::init_config]: backend-renderer: OpenGL
[06:02:34.008] |I| [config::init_config]: log-level: 0
[06:02:34.153] |I| [SDL_main]: Vita3K v0.1.5 2642-4e1e255a
[06:02:34.154] |I| [SDL_main]: Number of logical CPU cores: 8
[06:02:34.154] |I| [SDL_main]: Available ram memory: 16215 mo
[06:02:34.676] |I| [renderer::gl::create]: Swap interval = -1
[06:02:34.679] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[06:02:34.680] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 512.15
[06:02:34.680] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[06:02:34.681] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[06:02:41.290] |I| [gui::init_user_apps::<lambda_c336b975cf0cf3eb176b8da90b020513>::operator ()]: 2 new application(s) added
[06:02:47.259] |I| [load_app_impl]: cpu-backend: Dynarmic
[06:02:47.259] |I| [load_app_impl]: CPU Optimisation state: true
[06:02:47.260] |I| [load_app_impl]: ngs state: true
[06:02:47.260] |I| [load_app_impl]: Resolution multiplier: 1
[06:02:47.261] |I| [load_app_impl]: modules mode: Automatic
[06:02:47.261] |I| [load_app_impl]: Title: 銀星囲碁  ネクストジェネレーション
[06:02:47.262] |I| [load_app_impl]: Serial: PCSG00419
[06:02:47.262] |I| [load_app_impl]: Version: 1.00
[06:02:47.262] |I| [load_app_impl]: Category: gd
[06:02:47.284] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:02:47.285] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00056BD4 / 0x81000000] (size: 0x0004FBD4) of module app0:sce_module/libc.suprx
[06:02:47.285] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x00059688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[06:02:47.286] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[06:02:47.287] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C6C4
[06:02:47.287] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x42488
[06:02:47.288] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x464A8, setting to stub value 0xDEADBEEF
[06:02:47.290] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4802C, setting to stub value 0xDEADBEEF
[06:02:47.292] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[06:02:47.306] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:02:47.306] |I| [load_self]: Loaded module segment 0 @ [0x0005C000 - 0x00086AA8 / 0x81000000] (size: 0x0002AAA8) of module app0:sce_module/libfios2.suprx
[06:02:47.312] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C23D / 0x8102B000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[06:02:47.318] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[06:02:47.319] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x869B0
[06:02:47.321] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7E138
[06:02:47.322] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[06:02:47.330] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:02:47.331] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09C4 / 0x81000000] (size: 0x000139C4) of module app0:sce_module/libult.suprx
[06:02:47.334] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[06:02:47.337] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[06:02:47.338] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9F2F0
[06:02:47.339] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9C874
[06:02:47.344] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[06:02:47.363] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[06:02:47.364] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[06:02:47.369] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[06:02:47.371] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDE7DC
[06:02:47.373] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDDF10
[06:02:47.374] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[06:02:47.381] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[06:02:47.382] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[06:02:47.389] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[06:02:47.392] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x102710
[06:02:47.392] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x102300
[06:02:47.394] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[06:02:47.907] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:02:47.907] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x004F1AF8 / 0x81000000] (size: 0x003ECAF8) of module app0:eboot.bin
[06:02:47.912] |I| [load_self]: Loaded module segment 1 @ [0x004F2000 - 0x00CE4114 / 0x813ED000] (size: 0x007F2114) of module app0:eboot.bin
[06:02:47.913] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[06:02:47.914] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x33CD70
[06:02:47.914] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0xC8AC98
[06:02:47.915] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4EE66C
[06:02:47.916] |I| [load_app_impl]: Main executable GSIgo (eboot.bin) loaded
[06:02:47.939] |D| [run_app]: Running module_start of library: SceLibc at address 0x7805
[06:02:48.051] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[06:02:48.051] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[06:02:48.052] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[06:02:48.066] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[06:02:48.073] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5C001
[06:02:48.090] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[06:02:48.091] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[06:02:48.092] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[06:02:48.101] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[06:02:48.118] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[06:02:48.119] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[06:02:48.158] |W| [unimplemented_impl]: Unimplemented sceTouchDisableTouchForce import called.
[06:02:48.158] |I| [load_module]: Loading module ID: 0x13
[06:02:48.163] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:02:48.163] |I| [load_self]: Loaded module segment 0 @ [0x0BC2B000 - 0x0BC2E08C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[06:02:48.165] |I| [load_self]: Loaded module segment 1 @ [0x00D27000 - 0x00D27BF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[06:02:48.169] |I| [load_self]: Loading symbols for SELF: sys/external/libsystemgesture.suprx
[06:02:48.169] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xBC2E074
[06:02:48.170] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xBC2DBD4
[06:02:48.171] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[06:02:48.171] |D| [load_module]: Running module_start of module: SceSystemGesture
[06:02:48.175] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") module_start returned 0x0
[06:02:48.178] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0x6078A08B sceSystemGestureInitializePrimitiveTouchRecognizer at 0x33C174
[06:02:48.180] |W| [unimplemented_impl]: Unimplemented sceTouchGetPixelDensity2 import called.
[06:02:48.181] |T| [log_import_call]: [LLE] TID: 8   FUNC: 0xC3367370 sceSystemGestureCreateTouchRecognizer at 0x33C1C4
[06:02:48.183] |E| [call_import]: Import function for NID 0xE340CBC2 not found (thread name: PCSG00419, thread ID: 8)
[06:02:48.186] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[06:02:48.227] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[06:02:48.313] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[06:02:48.346] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR06901_00/TROPHY.TRP (ux0:/app/PCSG00419/sce_sys/trophy/NPWR06901_00/TROPHY.TRP), fd: 0x3
[06:02:48.348] |E| [open_file]: Missing file at C:/Users/ Othmane/AppData/Roaming/Vita3K/Vita3K/ux0/user/00/trophy/data/NPWR06901_00/TROPUSR.DAT (target path: ux0:/user/00/trophy/data/NPWR06901_00/TROPUSR.DAT)
[06:02:48.349] |W| [io_error_impl]: open_file (create_trophy_context) returned 0x80010002
[06:02:48.350] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x3
[06:02:48.350] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x3, offset: 0x10, whence: SCE_SEEK_SET
[06:02:48.351] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x3
[06:02:48.351] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x3
[06:02:48.352] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x3, offset: 0x40, whence: SCE_SEEK_SET
[06:02:48.352] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.354] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.361] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.364] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.366] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.367] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.369] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.370] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.370] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.371] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.371] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.372] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.372] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.379] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x3, offset: 0x60, whence: SCE_SEEK_SET
[06:02:48.379] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x3
[06:02:48.383] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x3
[06:02:48.384] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x3, offset: 0x80, whence: SCE_SEEK_SET
[06:02:48.385] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
[06:02:48.385] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x3
