[15:29:56.838] |I| [init_config]: backend-renderer: OpenGL
[15:29:56.839] |I| [init_config]: log-level: 0
[15:29:56.841] |I| [main]: Vita3K v0.1 75-6ae63c7
[15:29:57.810] |I| [create]: Swap interval = 1
[15:29:57.812] |I| [create]: GPU = Intel(R) Iris(TM) Plus Graphics 655
[15:29:57.812] |I| [create]: GL_VERSION = 4.1 INTEL-14.6.18
[15:29:57.812] |I| [create]: GL_SHADING_LANGUAGE_VERSION = 4.10
[15:29:57.812] |I| [create]: Your GPU doesn't support extensions that make programmable blending possible. Some games may have broken graphics.
[15:29:57.812] |W| [create]: Consider updating your graphics drivers or upgrading your GPU.
[15:30:01.575] |I| [load_app_impl]: Title: Halloween Forever
[15:30:01.575] |I| [load_app_impl]: Serial: PCSE01258
[15:30:01.575] |I| [load_app_impl]: Version: 01.00
[15:30:01.575] |I| [load_app_impl]: Category: gd
[15:30:01.585] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:30:01.585] |I| [load_self]: Loaded module segment 0 @ [0x00002000 - 0x0005391C] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[15:30:01.586] |I| [load_self]: Loaded module segment 1 @ [0x00054000 - 0x000568A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:30:01.586] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[15:30:01.586] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4938C
[15:30:01.586] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3E550
[15:30:01.586] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x426B0, setting to stub value 0xDEADBEEF
[15:30:01.586] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x44244, setting to stub value 0xDEADBEEF
[15:30:01.586] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:30:01.592] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:30:01.592] |I| [load_self]: Loaded module segment 0 @ [0x00059000 - 0x00085CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[15:30:01.592] |I| [load_self]: Loaded module segment 1 @ [0x00086000 - 0x0008B255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[15:30:01.592] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[15:30:01.593] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x85BC8
[15:30:01.593] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7CF08
[15:30:01.593] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[15:30:01.596] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:30:01.596] |I| [load_self]: Loaded module segment 0 @ [0x0008C000 - 0x0009F9BC] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[15:30:01.596] |I| [load_self]: Loaded module segment 1 @ [0x000A0000 - 0x000A0814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[15:30:01.596] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[15:30:01.596] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9E2E8
[15:30:01.596] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9B870
[15:30:01.596] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[15:30:01.646] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:30:01.646] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x003C39CC] (size: 0x003229CC) of module app0:eboot.bin
[15:30:01.646] |I| [load_self]: Loaded module segment 1 @ [0x003C4000 - 0x00834488] (size: 0x00470488) of module app0:eboot.bin
[15:30:01.646] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[15:30:01.646] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2DE428
[15:30:01.646] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x44DF8C
