[08:32:50.164] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[08:32:50.176] |I| [config::init_config]: backend-renderer: Vulkan
[08:32:50.186] |I| [config::init_config]: log-level: 0
[08:32:50.222] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[08:32:50.223] |I| [SDL_main]: Number of logical CPU cores: 4
[08:32:50.223] |I| [SDL_main]: Available ram memory: 16312 MiB
[08:32:50.642] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[08:32:50.643] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[08:32:50.677] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[08:32:52.470] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[08:37:53.850] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/000.AT9
[08:37:53.865] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/001.AT9
[08:37:53.878] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/002.AT9
[08:37:53.893] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/003.AT9
[08:37:53.908] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/004.AT9
[08:37:53.920] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/005.AT9
[08:37:53.932] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/006.AT9
[08:37:53.946] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/007.AT9
[08:37:53.961] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/008.AT9
[08:37:53.972] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/009.AT9
[08:37:53.986] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/010.AT9
[08:37:53.996] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/011.AT9
[08:37:54.040] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/012.AT9
[08:37:54.104] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/013.AT9
[08:37:54.135] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/0/014.AT9
[08:37:54.273] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/100.AT9
[08:37:54.484] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/101.AT9
[08:37:54.587] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/102.AT9
[08:37:54.650] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/103.AT9
[08:37:54.785] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/104.AT9
[08:37:54.842] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/105.AT9
[08:37:54.898] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/106.AT9
[08:37:54.969] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/107.AT9
[08:37:55.008] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/108.AT9
[08:37:55.066] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/109.AT9
[08:37:55.110] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/110.AT9
[08:37:55.186] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/111.AT9
[08:37:55.233] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/112.AT9
[08:37:55.290] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/113.AT9
[08:37:55.319] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/114.AT9
[08:37:55.347] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/115.AT9
[08:37:55.379] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/116.AT9
[08:37:55.400] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/117.AT9
[08:37:55.495] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/118.AT9
[08:37:55.568] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/119.AT9
[08:37:55.604] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/120.AT9
[08:37:55.655] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/121.AT9
[08:37:55.693] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/122.AT9
[08:37:55.730] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/123.AT9
[08:37:55.785] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/124.AT9
[08:37:55.822] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/125.AT9
[08:37:55.888] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/126.AT9
[08:37:55.940] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/127.AT9
[08:37:55.974] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/128.AT9
[08:37:56.036] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/129.AT9
[08:37:56.088] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/130.AT9
[08:37:56.142] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/131.AT9
[08:37:56.213] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/132.AT9
[08:37:56.307] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/133.AT9
[08:37:56.395] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/134.AT9
[08:37:56.506] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/135.AT9
[08:37:56.581] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/136.AT9
[08:37:56.608] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/137.AT9
[08:37:56.649] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/138.AT9
[08:37:56.763] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/1/139.AT9
[08:37:56.859] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/200.AT9
[08:37:56.903] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/201.AT9
[08:37:56.946] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/202.AT9
[08:37:56.986] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/203.AT9
[08:37:57.055] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/204.AT9
[08:37:57.071] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/205.AT9
[08:37:57.146] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/206.AT9
[08:37:57.221] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/207.AT9
[08:37:57.267] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/208.AT9
[08:37:57.353] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/209.AT9
[08:37:57.367] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/210.AT9
[08:37:57.392] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/211.AT9
[08:37:57.443] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/212.AT9
[08:37:57.515] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG00470/Data/BGM/2/213.AT9
