[11:25:00.264] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[11:25:00.288] |I| [config::init_config]: backend-renderer: OpenGL
[11:25:00.289] |I| [config::init_config]: log-level: 0
[11:25:00.387] |I| [SDL_main]: Vita3K v0.1.8 3306-c541d8eb
[11:25:00.388] |I| [SDL_main]: Number of logical CPU cores: 4
[11:25:00.388] |I| [SDL_main]: Available ram memory: 8191 MiB
[11:25:01.194] |I| [renderer::gl::create]: GPU = NVIDIA L40-2Q/PCI/SSE2
[11:25:01.194] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 536.25
[11:25:01.195] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[11:25:01.195] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[11:25:01.672] |W| [compat::load_compat_app_db]: App with Title ID PCSG00289 has an issue but no status label. Please check GitHub issue 2218 and request a status label be added.
[11:25:01.673] |W| [compat::load_compat_app_db]: App with Title ID PCSB00468 has an issue but no status label. Please check GitHub issue 2178 and request a status label be added.
[11:25:01.673] |W| [compat::load_compat_app_db]: App with Title ID PCSE00307 has an issue but no status label. Please check GitHub issue 2129 and request a status label be added.
[11:25:01.673] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[11:25:02.118] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[11:25:09.296] |I| [gui::set_vsync_state]: V-Sync state: true
[11:25:09.322] |I| [load_app_impl]: cpu-backend: Dynarmic
[11:25:09.323] |I| [load_app_impl]: CPU Optimisation state: true
[11:25:09.323] |I| [load_app_impl]: ngs state: true
[11:25:09.323] |I| [load_app_impl]: Resolution multiplier: 1
[11:25:09.324] |I| [load_app_impl]: modules mode: Automatic
[11:25:09.324] |I| [load_app_impl]: Title: Hyperdimension Neptunia PP
[11:25:09.325] |I| [load_app_impl]: Serial: PCSB00515
[11:25:09.325] |I| [load_app_impl]: Version: 1.00
[11:25:09.326] |I| [load_app_impl]: Category: gd
[11:25:09.336] |I| [load_module]: Loading module "app0:eboot.bin"
[11:25:09.447] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x81257E40 / 0x81000000] (size: 0x00257E40) of module app0:eboot.bin
[11:25:09.450] |I| [load_self]: Loaded module segment 1 @ [0x81258000 - 0x8159BC98 / 0x81258000] (size: 0x00343C98) of module app0:eboot.bin
[11:25:09.451] |I| [load_self]: Linking SELF app0:eboot.bin...
