[21:34:43.651] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[21:34:43.672] |I| [config::init_config]: backend-renderer: OpenGL
[21:34:43.673] |I| [config::init_config]: log-level: 0
[21:34:43.731] |I| [SDL_main]: Vita3K v0.1.8 3209-22ea4f03
[21:34:43.733] |I| [SDL_main]: Number of logical CPU cores: 4
[21:34:43.735] |I| [SDL_main]: Available ram memory: 16312 MiB
[21:34:45.412] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[21:34:45.412] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[21:34:45.413] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[21:34:45.413] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[21:34:45.414] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[21:34:47.348] |W| [compat::load_compat_app_db]: App with Title ID PCSG01238 has an issue but no status label. Please check GitHub issue 1633 and request a status label be added.
[21:34:47.360] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[21:34:48.068] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[21:34:52.820] |I| [gui::set_vsync_state]: V-Sync state: true
[21:34:52.856] |I| [load_app_impl]: cpu-backend: Dynarmic
[21:34:52.858] |I| [load_app_impl]: CPU Optimisation state: true
[21:34:52.859] |I| [load_app_impl]: ngs state: true
[21:34:52.860] |I| [load_app_impl]: Resolution multiplier: 1
[21:34:52.861] |I| [load_app_impl]: modules mode: Automatic
[21:34:52.861] |I| [load_app_impl]: Title: 忍び、恋うつつ ― 雪月花恋絵巻 ―
[21:34:52.862] |I| [load_app_impl]: Serial: PCSG00602
[21:34:52.862] |I| [load_app_impl]: Version: 1.00
[21:34:52.863] |I| [load_app_impl]: Category: gd
[21:34:52.898] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[21:34:52.907] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00054C54 / 0x81000000] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[21:34:52.910] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x00057688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[21:34:52.911] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[21:34:52.912] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a744
[21:34:52.912] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x404f8
[21:34:52.913] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[21:34:52.932] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[21:34:52.939] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x0008333C / 0x81000000] (size: 0x0002B33C) of module app0:sce_module/libfios2.suprx
[21:34:52.940] |I| [load_self]: Loaded module segment 1 @ [0x00084000 - 0x0008923D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[21:34:52.940] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[21:34:52.941] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x83244
[21:34:52.943] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7a878
[21:34:52.944] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[21:34:52.953] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[21:34:52.958] |I| [load_self]: Loaded module segment 0 @ [0x0008A000 - 0x0009D9A4 / 0x81000000] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[21:34:52.959] |I| [load_self]: Loaded module segment 1 @ [0x0009E000 - 0x0009E814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[21:34:52.961] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[21:34:52.963] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9c2d0
[21:34:52.969] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x99858
[21:34:52.972] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[21:34:52.995] |I| [load_self]: Loaded module segment 0 @ [0x0009F000 - 0x000EFF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
