[04:45:54.413] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[04:45:54.422] |I| [config::init_config]: backend-renderer: Vulkan
[04:45:54.422] |I| [config::init_config]: log-level: 0
[04:45:54.541] |I| [SDL_main]: Vita3K v0.1.8 3194-ca92b35e
[04:45:54.541] |I| [SDL_main]: Number of logical CPU cores: 32
[04:45:54.541] |I| [SDL_main]: Available ram memory: 65455 MiB
[04:45:54.698] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3070
[04:45:54.698] |I| [renderer::vulkan::VKState::create]: Driver version: 531.41.0.0
[04:45:54.699] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[04:45:55.115] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[04:45:55.761] |W| [compat::load_compat_app_db]: App with Title ID PCSF00558 has an issue but no status label. Please check GitHub issue 1566 and request a status label be added.
[04:45:55.762] |W| [compat::load_compat_app_db]: App with Title ID PCSG00152 has an issue but no status label. Please check GitHub issue 1564 and request a status label be added.
[04:45:55.762] |W| [compat::load_compat_app_db]: App with Title ID PCSG00805 has an issue but no status label. Please check GitHub issue 1563 and request a status label be added.
[04:45:55.762] |W| [compat::load_compat_app_db]: App with Title ID PCSG01110 has an issue but no status label. Please check GitHub issue 1562 and request a status label be added.
[04:45:56.049] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[04:45:58.731] |I| [load_app_impl]: cpu-backend: Dynarmic
[04:45:58.731] |I| [load_app_impl]: CPU Optimisation state: true
[04:45:58.732] |I| [load_app_impl]: ngs state: true
[04:45:58.732] |I| [load_app_impl]: Resolution multiplier: 4
[04:45:58.732] |I| [load_app_impl]: modules mode: Automatic
[04:45:58.732] |I| [load_app_impl]: Title: 艦これ改
[04:45:58.732] |I| [load_app_impl]: Serial: PCSG00684
[04:45:58.732] |I| [load_app_impl]: Version: 1.00
[04:45:58.732] |I| [load_app_impl]: Category: gd
[04:45:58.743] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[04:45:58.743] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[04:45:58.744] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[04:45:58.746] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[04:45:58.747] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[04:45:58.747] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[04:45:58.748] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[04:45:58.754] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[04:45:58.755] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[04:45:58.756] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[04:45:58.757] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[04:45:58.759] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[04:45:58.759] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[04:45:58.760] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[04:45:58.764] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[04:45:58.764] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[04:45:58.766] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[04:45:58.767] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[04:45:58.767] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[04:45:58.768] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[04:45:58.768] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[04:45:58.776] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[04:45:58.777] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[04:45:58.778] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[04:45:58.779] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[04:45:58.779] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[04:45:58.780] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[04:45:58.783] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[04:45:58.783] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[04:45:58.785] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[04:45:58.785] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x102710
[04:45:58.786] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x102300
[04:45:58.787] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[04:46:00.229] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[04:46:00.229] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x03DAD55C / 0x81000000] (size: 0x03CA855C) of module app0:eboot.bin
[04:46:00.231] |I| [load_self]: Loaded module segment 1 @ [0x03DAE000 - 0x045D0E40 / 0x84CA9000] (size: 0x00822E40) of module app0:eboot.bin
[04:46:00.232] |I| [load_self]: Linking SELF app0:eboot.bin...
[04:46:00.232] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x39ed740
[04:46:00.233] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x3dae08c
[04:46:00.234] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x3c7de2c
[04:46:00.235] |W| [load_var_imports]: 	NID NOT FOUND 0x1a5c609 (UNRECOGNISED) at 0x3a3cfc0, setting to stub value 0xdeadbeef
