[19:20:29.076] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[19:20:29.101] |I| [config::init_config]: backend-renderer: Vulkan
[19:20:29.101] |I| [config::init_config]: log-level: 0
[19:20:29.142] |I| [SDL_main]: Vita3K v0.1.8 3228-12224d7c
[19:20:29.143] |I| [SDL_main]: Number of logical CPU cores: 4
[19:20:29.143] |I| [SDL_main]: Available ram memory: 16312 MiB
[19:20:29.283] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[19:20:29.283] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.179
[19:20:29.284] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[19:20:29.298] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: FifoRelaxed
[19:20:31.051] |W| [compat::load_compat_app_db]: App with Title ID PCSE00640 has an issue but no status label. Please check GitHub issue 1678 and request a status label be added.
[19:20:31.051] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[19:20:31.051] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[19:20:31.426] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[19:20:38.978] |I| [load_app_impl]: cpu-backend: Dynarmic
[19:20:38.979] |I| [load_app_impl]: CPU Optimisation state: true
[19:20:38.979] |I| [load_app_impl]: ngs state: true
[19:20:38.979] |I| [load_app_impl]: Resolution multiplier: 1
[19:20:38.979] |I| [load_app_impl]: modules mode: Automatic
[19:20:38.979] |I| [load_app_impl]: Title: 殺し屋とストロベリー
[19:20:38.979] |I| [load_app_impl]: Serial: PCSG01132
[19:20:38.979] |I| [load_app_impl]: Version: 1.00
[19:20:38.979] |I| [load_app_impl]: Category: gd
[19:20:39.002] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[19:20:39.002] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x0005691C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[19:20:39.002] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[19:20:39.003] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[19:20:39.004] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c38c
[19:20:39.004] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x41550
[19:20:39.004] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[19:20:39.018] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[19:20:39.018] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[19:20:39.019] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[19:20:39.020] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[19:20:39.020] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[19:20:39.021] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[19:20:39.021] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[19:20:39.029] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[19:20:39.029] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[19:20:39.029] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[19:20:39.031] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[19:20:39.032] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[19:20:39.033] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[19:20:39.033] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[19:20:39.049] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[19:20:39.050] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[19:20:39.051] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[19:20:39.052] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[19:20:39.052] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[19:20:39.052] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[19:20:39.058] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[19:20:39.059] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[19:20:39.059] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[19:20:39.060] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x102710
[19:20:39.060] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x102300
[19:20:39.062] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[19:20:40.097] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[19:20:40.097] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x0137968C / 0x81000000] (size: 0x0127468C) of module app0:eboot.bin
[19:20:40.098] |I| [load_self]: Loaded module segment 1 @ [0x0137A000 - 0x01489AAC / 0x82275000] (size: 0x0010FAAC) of module app0:eboot.bin
[19:20:40.099] |I| [load_self]: Linking SELF app0:eboot.bin...
[19:20:40.099] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x1140e84
[19:20:40.100] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x1390270
[19:20:40.100] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x12e524c
[19:20:40.100] |W| [load_var_imports]: 	NID NOT FOUND 0x6ef1e48 (UNRECOGNISED) at 0x11aaea4, setting to stub value 0xdeadbeef
[19:20:40.102] |W| [load_var_imports]: 	NID NOT FOUND 0x338b0bd1 (UNRECOGNISED) at 0x11aae18, setting to stub value 0xdeadbeef
[19:20:40.104] |W| [load_var_imports]: 	NID NOT FOUND 0x3a451b91 (UNRECOGNISED) at 0x11aae04, setting to stub value 0xdeadbeef
[19:20:40.105] |W| [load_var_imports]: 	NID NOT FOUND 0x550dfe23 (UNRECOGNISED) at 0x11aae2c, setting to stub value 0xdeadbeef
[19:20:40.107] |W| [load_var_imports]: 	NID NOT FOUND 0x56354517 (UNRECOGNISED) at 0x11aadcc, setting to stub value 0xdeadbeef
[19:20:40.109] |W| [load_var_imports]: 	NID NOT FOUND 0x5ef67445 (UNRECOGNISED) at 0x11aae90, setting to stub value 0xdeadbeef
[19:20:40.110] |W| [load_var_imports]: 	NID NOT FOUND 0x6aca1d57 (UNRECOGNISED) at 0x11aae54, setting to stub value 0xdeadbeef
[19:20:40.113] |W| [load_var_imports]: 	NID NOT FOUND 0x71a78083 (UNRECOGNISED) at 0x11aadf0, setting to stub value 0xdeadbeef
[19:20:40.114] |W| [load_var_imports]: 	NID NOT FOUND 0x79f9db75 (UNRECOGNISED) at 0x11aae40, setting to stub value 0xdeadbeef
[19:20:40.116] |W| [load_var_imports]: 	NID NOT FOUND 0xaa0340c3 (UNRECOGNISED) at 0x11aae68, setting to stub value 0xdeadbeef
[19:20:40.117] |W| [load_var_imports]: 	NID NOT FOUND 0xf9a1de92 (UNRECOGNISED) at 0x11aae7c, setting to stub value 0xdeadbeef
[19:20:40.121] |I| [load_app_impl]: Main executable UnityPlayer_201746_Release (eboot.bin) loaded
[19:20:40.123] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Found pipeline cache, reading...
[19:20:40.129] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Pipeline cache read and loaded
[19:20:40.135] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 1/8
[19:20:40.138] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 2/8
[19:20:40.145] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 3/8
[19:20:40.146] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 4/8
[19:20:40.161] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 5/8
[19:20:40.176] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 6/8
[19:20:40.194] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 7/8
[19:20:40.209] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 8/8
[19:20:40.251] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[19:20:40.286] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[19:20:40.287] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
