[13:09:23.038] |I| [config::init_config]: backend-renderer: OpenGL
[13:09:23.040] |I| [config::init_config]: log-level: 0
[13:09:23.230] |I| [SDL_main]: Vita3K v0.1.2 1827-0f2aabb9
[13:09:24.630] |I| [renderer::gl::create]: Swap interval = 0
[13:09:24.695] |I| [renderer::gl::create]: GPU = GeForce GT 740M/PCIe/SSE2
[13:09:24.696] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 425.31
[13:09:24.696] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[13:09:24.735] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[13:09:24.739] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[13:09:32.852] |I| [load_app_impl]: hardware-flip: enabled
[13:09:32.853] |I| [load_app_impl]: ngs experimental state: false
[13:09:32.853] |I| [load_app_impl]: Title: クロガネ回姫雀
[13:09:32.854] |I| [load_app_impl]: Serial: PCSG00609
[13:09:32.855] |I| [load_app_impl]: Version: 01.00
[13:09:32.856] |I| [load_app_impl]: Category: gd
[13:09:32.874] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:32.875] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000558A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[13:09:32.875] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[13:09:32.876] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[13:09:32.877] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B314
[13:09:32.877] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x404DC
[13:09:32.878] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4463C, setting to stub value 0xDEADBEEF
[13:09:32.878] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x461D0, setting to stub value 0xDEADBEEF
[13:09:32.878] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[13:09:32.888] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:32.889] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00087CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[13:09:32.892] |I| [load_self]: Loaded module segment 1 @ [0x00088000 - 0x0008D255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[13:09:32.895] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[13:09:32.897] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x87BC8
[13:09:32.899] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7EF08
[13:09:32.900] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[13:09:32.910] |C| [load_self]: Unknown segment type 0x6FFFFF01
[13:09:32.910] |I| [load_self]: Loaded module segment 0 @ [0x0008E000 - 0x000A19A4 / 0x81000000] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[13:09:32.916] |I| [load_self]: Loaded module segment 1 @ [0x000A2000 - 0x000A2814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[13:09:32.921] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
