[21:44:04.146] |I| [config::init_config]: backend-renderer: OpenGL
[21:44:04.147] |I| [config::init_config]: hardware-flip: enabled
[21:44:04.147] |I| [config::init_config]: lle-modules: libpgf
[21:44:04.148] |I| [config::init_config]: log-level: 0
[21:44:04.150] |I| [SDL_main]: Vita3K v0.1 1316-d5378b81
[21:44:04.613] |I| [renderer::gl::create]: Swap interval = -1
[21:44:04.615] |I| [renderer::gl::create]: GPU = GeForce GTX 1050 Ti/PCIe/SSE2
[21:44:04.615] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 436.48
[21:44:04.616] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[21:44:04.616] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[21:44:04.734] |I| [gui::init_icons]: Default icon found for title ABCD00002, Test Application Season 2.
[21:44:04.736] |I| [gui::init_icons]: Default icon found for title ACTI00000, Vita Activator.
[21:44:04.744] |I| [gui::init_icons]: Default icon found for title BARR00111, BARR00111.
[21:44:04.745] |I| [gui::init_icons]: Default icon found for title BIRD00000, flappybird.
[21:44:04.748] |I| [gui::init_icons]: Default icon found for title BUBBLE000, bubbleride.
[21:44:04.749] |I| [gui::init_icons]: Default icon found for title bubbles, bubbles.
[21:44:04.759] |I| [gui::init_icons]: Default icon found for title dumper_e, イースVIII -Lacrimosa of DANA-.
[21:44:04.768] |I| [gui::init_icons]: Default icon found for title git, git.
[21:44:04.776] |I| [gui::init_icons]: Default icon found for title mai_moe, mai_moe.
[21:44:04.777] |I| [gui::init_icons]: Default icon found for title mai_vv, mai_vv.
[21:44:04.887] |I| [gui::init_icons]: Default icon found for title PSPEMUXXX, PSPEMUXXX.
[21:44:04.891] |I| [gui::init_icons]: Default icon found for title resources, resources.
[21:44:04.896] |I| [gui::init_icons]: Default icon found for title sce_module, sce_module.
[21:44:04.897] |I| [gui::init_icons]: Default icon found for title sce_sys, sce_sys.
[21:44:04.899] |I| [gui::init_icons]: Default icon found for title SHDW00001, advremap.
[21:44:04.900] |I| [gui::init_icons]: Default icon found for title SKOG00001, Snes9xVITA.
[21:44:04.908] |I| [gui::init_icons]: Default icon found for title system, system.
[21:44:04.915] |I| [gui::init_icons]: Default icon found for title VDEC00001, French American Games Decrypter.
[21:44:04.923] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[21:44:04.931] |I| [gui::init_icons]: Default icon found for title XYZZ00001, button-swapper.
[21:44:06.781] |I| [load_app_impl]: Title: Last Wings
[21:44:06.782] |I| [load_app_impl]: Serial: PCSE00856
[21:44:06.782] |I| [load_app_impl]: Version: 01.00
[21:44:06.782] |I| [load_app_impl]: Category: gd
[21:44:06.793] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:44:06.793] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x000528A4] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[21:44:06.793] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[21:44:06.794] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
