[15:11:30.229] |I| [config::init_config]: backend-renderer: OpenGL
[15:11:30.229] |I| [config::init_config]: log-level: 0
[15:11:30.311] |I| [SDL_main]: Vita3K v0.1 1776-146fd1c2
[15:11:30.530] |I| [renderer::gl::create]: Swap interval = -1
[15:11:30.531] |I| [renderer::gl::create]: GPU = AMD Radeon RX 5700 XT
[15:11:30.531] |I| [renderer::gl::create]: GL_VERSION = 4.5.14757 Core Profile Context 20.11.2 27.20.14501.18003
[15:11:30.531] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[15:11:30.532] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[15:11:30.532] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[15:11:33.655] |I| [load_app_impl]: ngs experimental state: false
[15:11:33.655] |I| [load_app_impl]: Title: League of Evil
[15:11:33.655] |I| [load_app_impl]: Serial: PCSE01085
[15:11:33.655] |I| [load_app_impl]: Version: 01.00
[15:11:33.656] |I| [load_app_impl]: Category: gd
[15:11:33.668] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:11:33.668] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x0005591C / 0x81000000] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[15:11:33.669] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:11:33.669] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[15:11:33.670] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B38C
[15:11:33.670] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x40550
[15:11:33.670] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x446B0, setting to stub value 0xDEADBEEF
[15:11:33.670] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x46244, setting to stub value 0xDEADBEEF
[15:11:33.670] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:11:33.678] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:11:33.678] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00087CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[15:11:33.679] |I| [load_self]: Loaded module segment 1 @ [0x00088000 - 0x0008D255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[15:11:33.679] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[15:11:33.679] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x87BC8
[15:11:33.680] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7EF08
[15:11:33.680] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[15:11:33.684] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:11:33.684] |I| [load_self]: Loaded module segment 0 @ [0x0008E000 - 0x000A19BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
