[10:19:02.178] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[10:19:02.188] |I| [config::init_config]: backend-renderer: Vulkan
[10:19:02.188] |I| [config::init_config]: log-level: 0
[10:19:02.230] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[10:19:02.230] |I| [SDL_main]: Number of logical CPU cores: 4
[10:19:02.231] |I| [SDL_main]: Available ram memory: 16312 MiB
[10:19:02.641] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[10:19:02.641] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[10:19:02.671] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[10:19:04.255] |W| [compat::load_compat_app_db]: Title ID i Enyouta is invalid. Please check GitHub issue 1527 and verify it!
[10:19:04.683] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[10:19:07.475] |I| [load_app_impl]: cpu-backend: Dynarmic
[10:19:07.476] |I| [load_app_impl]: CPU Optimisation state: true
[10:19:07.476] |I| [load_app_impl]: ngs state: true
[10:19:07.476] |I| [load_app_impl]: Resolution multiplier: 1
[10:19:07.477] |I| [load_app_impl]: modules mode: Automatic
[10:19:07.477] |I| [load_app_impl]: Title: MARGINAL#4 IDOL OF SUPERNOVA
[10:19:07.477] |I| [load_app_impl]: Serial: PCSG00448
[10:19:07.477] |I| [load_app_impl]: Version: 1.00
[10:19:07.477] |I| [load_app_impl]: Category: gd
[10:19:07.500] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[10:19:07.500] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x00054BD4 / 0x81000000] (size: 0x0004FBD4) of module app0:sce_module/libc.suprx
[10:19:07.501] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x00057688 / 0x81050000] (size: 0x00002688) of module app0:sce_module/libc.suprx
[10:19:07.501] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[10:19:07.501] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4a6c4
[10:19:07.502] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x40488
[10:19:07.502] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[10:19:07.513] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[10:19:07.514] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00082AA8 / 0x81000000] (size: 0x0002AAA8) of module app0:sce_module/libfios2.suprx
[10:19:07.514] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x0008823D / 0x8102B000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[10:19:07.514] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[10:19:07.515] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x829b0
[10:19:07.515] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7a138
[10:19:07.516] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[10:19:07.522] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[10:19:07.523] |I| [load_self]: Loaded module segment 0 @ [0x00089000 - 0x0009C9C4 / 0x81000000] (size: 0x000139C4) of module app0:sce_module/libult.suprx
[10:19:07.523] |I| [load_self]: Loaded module segment 1 @ [0x0009D000 - 0x0009D814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[10:19:07.524] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[10:19:07.524] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9b2f0
[10:19:07.524] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x98874
[10:19:07.525] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[10:19:07.540] |I| [load_self]: Loaded module segment 0 @ [0x0009E000 - 0x000EEF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[10:19:07.540] |I| [load_self]: Loaded module segment 1 @ [0x000EF000 - 0x000EF2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[10:19:07.540] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[10:19:07.541] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xda7dc
[10:19:07.541] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xd9f10
[10:19:07.541] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[10:19:07.546] |I| [load_self]: Loaded module segment 0 @ [0x000F0000 - 0x000FFF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[10:19:07.547] |I| [load_self]: Loaded module segment 1 @ [0x00100000 - 0x00100008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[10:19:07.547] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[10:19:07.547] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xfe710
[10:19:07.548] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xfe300
[10:19:07.548] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[10:19:07.661] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[10:19:07.662] |I| [load_self]: Loaded module segment 0 @ [0x00101000 - 0x0031B480 / 0x81000000] (size: 0x0021A480) of module app0:eboot.bin
[10:19:07.662] |I| [load_self]: Loaded module segment 1 @ [0x0031C000 - 0x023557B0 / 0x8121B000] (size: 0x020397B0) of module app0:eboot.bin
[10:19:07.663] |I| [load_self]: Linking SELF app0:eboot.bin...
[10:19:07.663] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x2c1484
[10:19:07.663] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x31fdd4
[10:19:07.663] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x2ea828
[10:19:07.664] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[10:19:07.685] |D| [run_app]: Running module_start of library: SceLibc at address 0x5805
[10:19:07.724] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[10:19:07.725] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[10:19:07.725] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[10:19:07.736] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[10:19:07.739] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x58001
[10:19:07.757] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[10:19:07.758] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[10:19:07.760] |D| [run_app]: Running module_start of library: SceUlt at address 0x8c771
[10:19:07.778] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[10:19:07.779] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[10:19:07.794] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[10:19:07.884] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[10:19:07.922] |E| [call_import]: Import function for NID 0xd7f0f610 not found (thread name: PCSG00448, thread ID: 7)
[10:19:07.925] |W| [stubbed_impl]: Stubbed _sceKernelWaitSignal import called. (sceKernelWaitSignal)
[10:19:07.937] |I| [load_module]: Loading module ID: 0x13
[10:19:07.938] |I| [load_self]: sys/external/libsystemgesture.suprx: Skipping special segment 0x6fffff01...
[10:19:07.939] |I| [load_self]: Loaded module segment 0 @ [0x05DAB000 - 0x05DAE08C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
