[04:22:43.797] |I| [config::init_config]: backend-renderer: OpenGL
[04:22:43.799] |I| [config::init_config]: hardware-flip: enabled
[04:22:43.800] |I| [config::init_config]: lle-modules: libpgf,libpvf,libsas,libatrac
[04:22:43.800] |I| [config::init_config]: log-level: 0
[04:22:43.805] |I| [SDL_main]: Vita3K v0.1 1395-76189aa5
[04:22:44.792] |I| [renderer::gl::create]: Swap interval = -1
[04:22:44.804] |I| [renderer::gl::create]: GPU = Radeon (TM) 520
[04:22:44.805] |I| [renderer::gl::create]: GL_VERSION = 4.5.13587 Core Profile Context 20.4.1 26.20.15029.20013
[04:22:44.805] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[04:22:44.805] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[04:22:44.806] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[04:22:45.347] |I| [gui::init_icons]: Default icon found for title TESTEEEEE, TESTEEEEE.
[04:22:59.382] |I| [load_app_impl]: Title: METAGAL
[04:22:59.383] |I| [load_app_impl]: Serial: PCSH10097
[04:22:59.384] |I| [load_app_impl]: Version: 01.00
[04:22:59.385] |I| [load_app_impl]: Category: gd
[04:22:59.466] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:22:59.466] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x0005291C] (size: 0x0005191C) of module app0:sce_module/libc.suprx
[04:22:59.467] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000558A0] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[04:22:59.467] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[04:22:59.467] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4838C
[04:22:59.468] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D550
[04:22:59.469] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x416B0, setting to stub value 0xDEADBEEF
[04:22:59.469] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x43244, setting to stub value 0xDEADBEEF
[04:22:59.469] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[04:22:59.538] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:22:59.538] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x00084CBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[04:22:59.540] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A255] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[04:22:59.541] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[04:22:59.542] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[04:22:59.542] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[04:22:59.543] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[04:22:59.556] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:22:59.556] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9BC] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[04:22:59.559] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814] (size: 0x00000814) of module app0:sce_module/libult.suprx
[04:22:59.562] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[04:22:59.563] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2E8
[04:22:59.564] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A870
[04:22:59.565] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9B0BC, setting to stub value 0xDEADBEEF
[04:22:59.567] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[04:23:00.115] |C| [load_self]: Unknown segment type 0x6FFFFF01
[04:23:00.116] |I| [load_self]: Loaded module segment 0 @ [0x000A1000 - 0x00925568] (size: 0x00884568) of module app0:eboot.bin
[04:23:00.117] |I| [load_self]: Loaded module segment 1 @ [0x00926000 - 0x00D30A68] (size: 0x0040AA68) of module app0:eboot.bin
[04:23:00.119] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[04:23:00.120] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x805FDC
[04:23:00.121] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x94F4EC
[04:23:00.121] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8625E8
[04:23:00.122] |I| [load_app_impl]: Main executable rgpluginsgm_psvita (eboot.bin) loaded
[04:23:00.178] |D| [run_app]: Running module_start of library: SceLibc at address 0x1871
[04:23:00.186] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[04:23:00.187] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[04:23:00.188] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[04:23:00.196] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[04:23:00.198] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x58001
[04:23:00.206] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[04:23:00.206] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[04:23:00.207] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[04:23:00.209] |D| [run_app]: Running module_start of library: SceUlt at address 0x8E771
[04:23:00.217] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[04:23:00.218] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[04:23:00.362] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[04:23:00.419] |W| [unimplemented_impl]: Unimplemented sceNetCtlInit import called.
[04:23:00.425] |W| [unimplemented_impl]: Unimplemented sceSslInit import called.
[04:23:00.425] |W| [unimplemented_impl]: Unimplemented sceHttpInit import called.
[04:23:00.429] |T| [write_file]: *** TTY: libnetctl event: XXX
