[18:29:25.089] |I| [config::init]: input-vpk-path: games\PCSG00903_NewGameTheChallengeStage.zip
[18:29:25.090] |I| [config::init]: log-level: 0
[18:29:25.091] |I| [config::init]: log-imports: false
[18:29:25.091] |I| [config::init]: log-exports: false
[18:29:25.091] |I| [config::init]: log-active-shaders: false
[18:29:25.091] |I| [config::init]: log-uniforms: false
[18:29:25.092] |I| [SDL_main]: Vita3K v0.1 805-4279f96
[18:29:25.568] |I| [init]: Swap interval = -1
[18:29:47.677] |I| [install_vpk]: PCSG00903 already installed, launching application...
[18:29:47.678] |I| [load_app_impl]: Title: NEW GAME! -THE CHALLENGE STAGE!-
[18:29:47.678] |I| [load_app_impl]: Serial: PCSG00903
[18:29:47.678] |I| [load_app_impl]: Category: gd
[18:29:47.750] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[18:29:47.751] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x48314
[18:29:47.752] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D4DC
[18:29:47.752] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x4163C, setting to stub value 0xDEADBEEF
[18:29:47.753] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x431D0, setting to stub value 0xDEADBEEF
[18:29:47.753] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[18:29:47.771] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[18:29:47.772] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84BC8
[18:29:47.772] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7BF08
[18:29:47.773] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x7C9D4, setting to stub value 0xDEADBEEF
[18:29:47.773] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[18:29:47.820] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[18:29:47.820] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9E2E8
[18:29:47.821] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9B870
[18:29:47.821] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x9BDF8, setting to stub value 0xDEADBEEF
[18:29:47.821] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x9C0BC, setting to stub value 0xDEADBEEF
[18:29:47.822] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[18:29:47.938] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[18:29:47.938] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x21B158
[18:29:47.939] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2500A4
[18:29:47.939] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x236ADC
[18:29:47.939] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x21CBB4, setting to stub value 0xDEADBEEF
[18:29:47.939] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.940] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.940] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.940] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.940] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.940] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.941] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.941] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.941] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.941] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
[18:29:47.942] |W| [relocate]: [FORMAT1_VAR_IMPORT] patch segment 8 not found. Skipping relocation. symbol_seg 0 at 0xA3000, s: 0x52130 
