[08:12:22.402] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[08:12:22.412] |I| [config::init_config]: backend-renderer: OpenGL
[08:12:22.412] |I| [config::init_config]: log-level: 0
[08:12:22.453] |I| [SDL_main]: Vita3K v0.1.8 3171-a8275855
[08:12:22.453] |I| [SDL_main]: Number of logical CPU cores: 4
[08:12:22.453] |I| [SDL_main]: Available ram memory: 16312 MiB
[08:12:23.020] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[08:12:23.021] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[08:12:23.021] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[08:12:23.021] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[08:12:23.021] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[08:12:25.246] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[08:12:45.939] |I| [gui::set_vsync_state]: V-Sync state: true
[08:12:45.966] |I| [load_app_impl]: cpu-backend: Dynarmic
[08:12:45.967] |I| [load_app_impl]: CPU Optimisation state: true
[08:12:45.967] |I| [load_app_impl]: ngs state: true
[08:12:45.967] |I| [load_app_impl]: Resolution multiplier: 1
[08:12:45.967] |I| [load_app_impl]: modules mode: Automatic
[08:12:45.967] |I| [load_app_impl]: Title: ニル・アドミラリの天秤 クロユリ炎陽譚
[08:12:45.968] |I| [load_app_impl]: Serial: PCSG01014
[08:12:45.968] |I| [load_app_impl]: Version: 1.00
[08:12:45.968] |I| [load_app_impl]: Category: gd
[08:12:46.370] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[08:12:46.370] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[08:12:46.370] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[08:12:46.371] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[08:12:46.371] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[08:12:46.371] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[08:12:46.372] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[08:12:46.437] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[08:12:46.437] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[08:12:46.438] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[08:12:46.438] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[08:12:46.438] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[08:12:46.439] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[08:12:46.439] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[08:12:46.460] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[08:12:46.461] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[08:12:46.461] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[08:12:46.461] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[08:12:46.462] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[08:12:46.462] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[08:12:46.462] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[08:12:46.477] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[08:12:46.478] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[08:12:46.478] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[08:12:46.479] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[08:12:46.479] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[08:12:46.480] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[08:12:46.485] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[08:12:46.486] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[08:12:46.486] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[08:12:46.486] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x102710
[08:12:46.487] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x102300
[08:12:46.487] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[08:12:46.714] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[08:12:46.714] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x0032C1F8 / 0x81000000] (size: 0x002271F8) of module app0:eboot.bin
[08:12:46.715] |I| [load_self]: Loaded module segment 1 @ [0x0032D000 - 0x010AC2C8 / 0x81228000] (size: 0x00D7F2C8) of module app0:eboot.bin
[08:12:46.715] |I| [load_self]: Linking SELF app0:eboot.bin...
[08:12:46.715] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x2cf150
[08:12:46.715] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x4abc90
[08:12:46.716] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x2f9294
[08:12:46.716] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[08:12:46.742] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[08:12:46.800] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[08:12:46.801] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[08:12:46.802] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[08:12:46.814] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[08:12:46.817] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5a001
[08:12:46.841] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[08:12:46.842] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[08:12:46.844] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[08:12:46.867] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[08:12:46.868] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[08:12:46.887] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[08:12:46.994] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[08:12:47.031] |E| [call_import]: Import function for NID 0xd7f0f610 not found (thread name: PCSG01014, thread ID: 7)
[08:12:47.034] |W| [stubbed_impl]: Stubbed _sceKernelWaitSignal import called. (sceKernelWaitSignal)
[08:12:47.050] |I| [load_module]: Loading module ID: 0x13
[08:12:47.052] |I| [load_self]: sys/external/libsystemgesture.suprx: Skipping special segment 0x6fffff01...
[08:12:47.052] |I| [load_self]: Loaded module segment 0 @ [0x04B02000 - 0x04B0508C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[08:12:47.053] |I| [load_self]: Loaded module segment 1 @ [0x032FD000 - 0x032FDBF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[08:12:47.053] |I| [load_self]: Linking SELF sys/external/libsystemgesture.suprx...
[08:12:47.053] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4b05074
[08:12:47.054] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x4b04bd4
[08:12:47.054] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[08:12:47.054] |D| [load_module]: Running module_start of module: SceSystemGesture
[08:12:47.055] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") module_start returned 0x0
[08:12:47.056] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x6078a08b sceSystemGestureInitializePrimitiveTouchRecognizer at 0x2cea60
[08:12:47.057] |W| [stubbed_impl]: Stubbed sceTouchGetPixelDensity2 import called. (Return constant values (22.0))
[08:12:47.058] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0xc3367370 sceSystemGestureCreateTouchRecognizer at 0x2cea90
[08:12:47.061] |W| [unimplemented_impl]: Unimplemented sceMotionStartSampling import called.
[08:12:47.062] |W| [unimplemented_impl]: Unimplemented sceMotionReset import called.
[08:12:47.062] |W| [unimplemented_impl]: Unimplemented sceMotionMagnetometerOn import called.
[08:12:47.090] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[08:12:47.125] |W| [stubbed_impl]: Stubbed sceGxmGetRenderTargetMemSize import called. (2MiB emuenv mem)
[08:12:47.152] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[08:12:47.170] |W| [unimplemented_impl]: Unimplemented sceGxmSetWClampEnable import called.
[08:12:47.171] |W| [unimplemented_impl]: Unimplemented sceGxmSetWClampValue import called.
[08:12:47.172] |W| [unimplemented_impl]: Unimplemented sceGxmSetWBufferEnable import called.
[08:12:47.173] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetOverlayImage import called.
[08:12:47.173] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetParam import called.
