[10:21:11.144] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[10:21:11.157] |I| [config::init_config]: backend-renderer: Vulkan
[10:21:11.157] |I| [config::init_config]: log-level: 0
[10:21:11.197] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[10:21:11.197] |I| [SDL_main]: Number of logical CPU cores: 4
[10:21:11.198] |I| [SDL_main]: Available ram memory: 16312 MiB
[10:21:11.623] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[10:21:11.624] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[10:21:11.661] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[10:21:12.954] |W| [compat::load_compat_app_db]: Title ID i Enyouta is invalid. Please check GitHub issue 1527 and verify it!
[10:21:15.364] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[10:21:32.621] |I| [load_app_impl]: cpu-backend: Dynarmic
[10:21:32.622] |I| [load_app_impl]: CPU Optimisation state: true
[10:21:32.622] |I| [load_app_impl]: ngs state: true
[10:21:32.622] |I| [load_app_impl]: Resolution multiplier: 1
[10:21:32.622] |I| [load_app_impl]: modules mode: Automatic
[10:21:32.622] |I| [load_app_impl]: Title: ニル・アドミラリの天秤 帝都幻惑綺譚
[10:21:32.622] |I| [load_app_impl]: Serial: PCSG00766
[10:21:32.623] |I| [load_app_impl]: Version: 1.00
[10:21:32.623] |I| [load_app_impl]: Category: gd
[10:21:32.695] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[10:21:32.696] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[10:21:32.697] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[10:21:32.698] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[10:21:32.699] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[10:21:32.700] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
