[07:05:10.276] |I| [config::init_config]: backend-renderer: OpenGL
[07:05:10.281] |I| [config::init_config]: log-level: 0
[07:05:10.481] |I| [SDL_main]: Vita3K v0.1.5 2715-d23a32ce
[07:05:10.482] |I| [SDL_main]: Number of logical CPU cores: 2
[07:05:10.482] |I| [SDL_main]: Available ram memory: 3959 mo
[07:05:11.117] |I| [renderer::gl::create]: GPU = Intel(R) HD Graphics 500
[07:05:11.118] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 - Build 30.0.101.1960
[07:05:11.118] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 - Build 30.0.101.1960
[07:05:11.119] |I| [renderer::gl::create]: Your GPU supports direct access to last fragment color. Your performance with programmable blending games will be optimized.
[07:05:17.426] |I| [gui::set_vsync_state]: V-Sync state: false
[07:05:17.522] |I| [load_app_impl]: cpu-backend: Dynarmic
[07:05:17.530] |I| [load_app_impl]: CPU Optimisation state: true
[07:05:17.540] |I| [load_app_impl]: ngs state: true
[07:05:17.540] |I| [load_app_impl]: Resolution multiplier: 1
[07:05:17.541] |I| [load_app_impl]: modules mode: Auto & Manual
[07:05:17.543] |I| [load_app_impl]: lle-modules: libhttp
[07:05:17.544] |I| [load_app_impl]: Title: POLARA
[07:05:17.544] |I| [load_app_impl]: Serial: PCSG00672
[07:05:17.544] |I| [load_app_impl]: Version: 1.00
[07:05:17.544] |I| [load_app_impl]: Category: gd
[07:05:17.597] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:05:17.605] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00058814 / 0x81000000] (size: 0x00051814) of module app0:sce_module/libc.suprx
[07:05:17.617] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[07:05:17.618] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[07:05:17.620] |D| [load_var_exports]:  NID 0x936C8A78 (SYSLYB) at 0x4E284
[07:05:17.620] |D| [load_var_exports]:  NID 0x6C2224BA (NID_MODULE_INFO) at 0x4344C
[07:05:17.621] |W| [load_var_imports]:  NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x475AC, setting to stub value 0xDEADBEEF
[07:05:17.630] |W| [load_var_imports]:  NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49140, setting to stub value 0xDEADBEEF
[07:05:17.647] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[07:05:17.673] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:05:17.680] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[07:05:17.683] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[07:05:17.688] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[07:05:17.690] |D| [load_var_exports]:  NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[07:05:17.694] |D| [load_var_exports]:  NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[07:05:17.695] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[07:05:17.712] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:05:17.717] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49A4 / 0x81000000] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[07:05:17.728] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[07:05:17.731] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[07:05:17.733] |D| [load_var_exports]:  NID 0x936C8A78 (SYSLYB) at 0xA32D0
[07:05:17.736] |D| [load_var_exports]:  NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0858
[07:05:17.740] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[07:05:17.792] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[07:05:17.804] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[07:05:17.813] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
