[15:48:55.186] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[15:48:55.510] |I| [config::init_config]: backend-renderer: Vulkan
[15:48:55.510] |I| [config::init_config]: log-level: 0
[15:48:55.547] |I| [SDL_main]: Vita3K v0.1.8 3173-42d6b4ef
[15:48:55.547] |I| [SDL_main]: Number of logical CPU cores: 4
[15:48:55.547] |I| [SDL_main]: Available ram memory: 16312 MiB
[15:48:55.963] |I| [renderer::vulkan::VKState::create]: Vulkan device: AMD Radeon HD 8500M
[15:48:55.964] |I| [renderer::vulkan::VKState::create]: Driver version: 2.0.116
[15:48:55.995] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[15:48:57.521] |W| [compat::load_compat_app_db]: App with Title ID PCSG00605 has an issue but no status label. Please check GitHub issue 1584 and request a status label be added.
[15:48:57.521] |W| [compat::load_compat_app_db]: App with Title ID PCSG00485 has an issue but no status label. Please check GitHub issue 1583 and request a status label be added.
[15:48:57.521] |W| [compat::load_compat_app_db]: App with Title ID PCSE00620 has an issue but no status label. Please check GitHub issue 1582 and request a status label be added.
[15:48:57.522] |W| [compat::load_compat_app_db]: App with Title ID PCSG00930 has an issue but no status label. Please check GitHub issue 1581 and request a status label be added.
[15:48:57.522] |W| [compat::load_compat_app_db]: App with Title ID PCSE00460 has an issue but no status label. Please check GitHub issue 1580 and request a status label be added.
[15:48:57.524] |W| [compat::load_compat_app_db]: App with Title ID PCSE00406 has an issue but no status label. Please check GitHub issue 1579 and request a status label be added.
[15:48:57.526] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[15:48:57.531] |W| [compat::load_compat_app_db]: App with Title ID PCSA00138 has an issue but no status label. Please check GitHub issue 1577 and request a status label be added.
[15:48:57.533] |W| [compat::load_compat_app_db]: App with Title ID PCSE00092 has an issue but no status label. Please check GitHub issue 1576 and request a status label be added.
[15:48:57.536] |W| [compat::load_compat_app_db]: App with Title ID PCSE00268 has an issue but no status label. Please check GitHub issue 1575 and request a status label be added.
[15:48:57.941] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[15:51:33.367] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:51:33.368] |I| [load_app_impl]: CPU Optimisation state: true
[15:51:33.368] |I| [load_app_impl]: ngs state: true
[15:51:33.368] |I| [load_app_impl]: Resolution multiplier: 1
[15:51:33.368] |I| [load_app_impl]: modules mode: Automatic
[15:51:33.368] |I| [load_app_impl]: Title: 灰鷹幻境
[15:51:33.368] |I| [load_app_impl]: Serial: PCSH10091
[15:51:33.368] |I| [load_app_impl]: Version: 1.00
[15:51:33.369] |I| [load_app_impl]: Category: gd
[15:51:33.391] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[15:51:33.392] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000568A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[15:51:33.392] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x000598A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:51:33.392] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[15:51:33.393] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c314
[15:51:33.393] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x414dc
[15:51:33.393] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:51:33.405] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[15:51:33.406] |I| [load_self]: Loaded module segment 0 @ [0x0005A000 - 0x00086CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[15:51:33.406] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[15:51:33.406] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[15:51:33.406] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x86bc8
[15:51:33.406] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7df08
[15:51:33.407] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[15:51:33.695] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[15:51:33.696] |I| [load_self]: Loaded module segment 0 @ [0x0008D000 - 0x000A09BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[15:51:33.697] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A1814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[15:51:33.697] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[15:51:33.698] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x9f2e8
[15:51:33.698] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x9c870
[15:51:33.699] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[15:51:33.731] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x000F2F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[15:51:33.732] |I| [load_self]: Loaded module segment 1 @ [0x000F3000 - 0x000F32F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[15:51:33.732] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[15:51:33.733] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xde7dc
[15:51:33.734] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xddf10
[15:51:33.734] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[15:51:33.742] |I| [load_self]: Loaded module segment 0 @ [0x000F4000 - 0x00103F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[15:51:33.743] |I| [load_self]: Loaded module segment 1 @ [0x00104000 - 0x00104008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[15:51:33.743] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
