[20:43:37.190] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[20:43:37.530] |I| [config::init_config]: backend-renderer: OpenGL
[20:43:37.532] |I| [config::init_config]: log-level: 0
[20:43:37.588] |I| [SDL_main]: Vita3K v0.1.8 3203-2101d1ea
[20:43:37.589] |I| [SDL_main]: Number of logical CPU cores: 4
[20:43:37.589] |I| [SDL_main]: Available ram memory: 16312 MiB
[20:43:38.195] |I| [renderer::gl::create]: GPU = AMD Radeon HD 8500M
[20:43:38.195] |I| [renderer::gl::create]: GL_VERSION = 4.6.13587 Core Profile Context 0
[20:43:38.196] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60
[20:43:38.196] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[20:43:38.196] |W| [renderer::gl::create]: Consider upgrading to a GPU that has shader interlock.
[20:43:39.495] |W| [compat::load_compat_app_db]: App with Title ID PCSG01238 has an issue but no status label. Please check GitHub issue 1633 and request a status label be added.
[20:43:39.496] |W| [compat::load_compat_app_db]: App with Title ID PCSH00236 has an issue but no status label. Please check GitHub issue 1632 and request a status label be added.
[20:43:39.497] |W| [compat::load_compat_app_db]: App with Title ID PCSG00652 has an issue but no status label. Please check GitHub issue 1631 and request a status label be added.
[20:43:39.497] |W| [compat::load_compat_app_db]: App with Title ID PCSG00384 has an issue but no status label. Please check GitHub issue 1628 and request a status label be added.
[20:43:39.498] |W| [compat::load_compat_app_db]: App with Title ID PCSA00127 has an issue but no status label. Please check GitHub issue 1578 and request a status label be added.
[20:43:39.866] |I| [compat::update_compat_app_db]: Applications compatibility database is outdated, attempting to download latest updated at: 06-13-2023 12:42:34
[20:43:42.080] |W| [compat::load_compat_app_db]: App with Title ID PCSE01012 has an issue but no status label. Please check GitHub issue 1634 and request a status label be added.
[20:43:42.081] |W| [compat::load_compat_app_db]: App with Title ID PCSG01238 has an issue but no status label. Please check GitHub issue 1633 and request a status label be added.
[20:43:42.081] |W| [compat::load_compat_app_db]: App with Title ID PCSH00236 has an issue but no status label. Please check GitHub issue 1632 and request a status label be added.
[20:43:42.082] |W| [compat::load_compat_app_db]: App with Title ID PCSG00652 has an issue but no status label. Please check GitHub issue 1631 and request a status label be added.
