[02:25:11.049] |I| [config::init_config]: backend-renderer: OpenGL
[02:25:11.050] |I| [config::init_config]: log-level: 0
[02:25:11.102] |I| [SDL_main]: Vita3K v0.1.4 2365-6a71f50d
[02:25:11.199] |I| [renderer::gl::create]: Swap interval = -1
[02:25:11.202] |I| [renderer::gl::create]: GPU = GeForce GTX 1080/PCIe/SSE2
[02:25:11.202] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 460.89
[02:25:11.202] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[02:25:11.203] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[02:25:29.850] |I| [load_app_impl]: cpu-backend: Dynarmic
[02:25:29.850] |I| [load_app_impl]: CPU Optimisation state: true
[02:25:29.850] |I| [load_app_impl]: at9 audio decoder state: true
[02:25:29.850] |I| [load_app_impl]: ngs experimental state: true
[02:25:29.850] |I| [load_app_impl]: video player state: true
[02:25:29.850] |I| [load_app_impl]: modules mode: Automatic
[02:25:29.851] |I| [load_app_impl]: Title: Putty Squad
[02:25:29.851] |I| [load_app_impl]: Serial: PCSE00389
[02:25:29.851] |I| [load_app_impl]: Version: 1.00
[02:25:29.851] |I| [load_app_impl]: Category: gd
[02:25:29.864] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:25:29.865] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000543BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[02:25:29.865] |I| [load_self]: Loaded module segment 1 @ [0x00055000 - 0x000576F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[02:25:29.865] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[02:25:29.866] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4A164
[02:25:29.866] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x400FC
