|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:32:53.389] |I| [config::init_config]: input-installed-path: PCSF00482
[10:32:53.390] |I| [config::init_config]: backend-renderer: OpenGL
[10:32:53.391] |I| [config::init_config]: log-level: 0
[10:32:53.391] |I| [config::init_config]: log-uniforms: enabled
[10:32:53.486] |I| [SDL_main]: Vita3K v0.1.6 3039-92524b65
[10:32:53.487] |I| [SDL_main]: Number of logical CPU cores: 4
[10:32:53.487] |I| [SDL_main]: Available ram memory: 32702 MiB
[10:32:53.754] |I| [renderer::gl::create]: GPU = NVIDIA GeForce GTX 1050 Ti/PCIe/SSE2
[10:32:53.755] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 526.47
[10:32:53.755] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[10:32:53.760] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[10:32:54.122] |W| [compat::load_compat_app_db]: App with title ID PCSE00250 has an issue but no status label. Please check GitHub issue 1252 and request a status label to be added.
[10:32:54.195] |I| [gui::set_vsync_state]: V-Sync state: true
[10:32:54.210] |I| [load_app_impl]: cpu-backend: Dynarmic
[10:32:54.210] |I| [load_app_impl]: CPU Optimisation state: true
[10:32:54.211] |I| [load_app_impl]: ngs state: true
[10:32:54.211] |I| [load_app_impl]: Resolution multiplier: 1
[10:32:54.266] |I| [load_app_impl]: 1 Controllers Connected
[10:32:54.266] |I| [load_app_impl]: Controller 0: PS3 Controller
[10:32:54.267] |I| [load_app_impl]: modules mode: Automatic
[10:32:54.267] |I| [load_app_impl]: Title: The Ratchet & Clank Trilogy
[10:32:54.268] |I| [load_app_impl]: Serial: PCSF00482
[10:32:54.269] |I| [load_app_impl]: Version: 1.00
[10:32:54.269] |I| [load_app_impl]: Category: gd
[10:32:54.286] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[10:32:54.286] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000523BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[10:32:54.288] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000556F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[10:32:54.290] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[10:32:54.291] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x48164
[10:32:54.291] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3E0FC
[10:32:54.292] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[10:32:54.301] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[10:32:54.302] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x0008112C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[10:32:54.303] |I| [load_self]: Loaded module segment 1 @ [0x00082000 - 0x0008723D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[10:32:54.304] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[10:32:54.304] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x81034
[10:32:54.305] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78548
[10:32:54.306] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[10:32:54.312] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[10:32:54.313] |I| [load_self]: Loaded module segment 0 @ [0x00088000 - 0x0009B84C / 0x81000000] (size: 0x0001384C) of module app0:sce_module/libult.suprx
[10:32:54.314] |I| [load_self]: Loaded module segment 1 @ [0x0009C000 - 0x0009C814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[10:32:54.315] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[10:32:54.316] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9A1A8
[10:32:54.316] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x97738
[10:32:54.317] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[10:32:54.329] |I| [load_self]: Loaded module segment 0 @ [0x0009D000 - 0x000EDF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[10:32:54.330] |I| [load_self]: Loaded module segment 1 @ [0x000EE000 - 0x000EE2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[10:32:54.331] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[10:32:54.331] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xD97DC
[10:32:54.332] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD8F10
[10:32:54.332] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[10:32:54.337] |I| [load_self]: Loaded module segment 0 @ [0x000EF000 - 0x000FEF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[10:32:54.337] |I| [load_self]: Loaded module segment 1 @ [0x000FF000 - 0x000FF008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[10:32:54.339] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[10:32:54.339] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xFD710
[10:32:54.340] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xFD300
[10:32:54.341] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[10:32:54.572] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[10:32:54.594] |I| [load_self]: app0:rc1.self: Skipping special segment 0x6FFFFF01...
[10:32:54.594] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x81604DAC / 0x81000000] (size: 0x00604DAC) of module app0:rc1.self
[10:32:54.595] |I| [load_self]: Loaded module segment 1 @ [0x81605000 - 0x8209CB6C / 0x81605000] (size: 0x00A97B6C) of module app0:rc1.self
