[15:12:12.424] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[15:12:12.471] |I| [config::init_config]: backend-renderer: OpenGL
[15:12:12.471] |I| [config::init_config]: log-level: 0
[15:12:12.593] |I| [SDL_main]: Vita3K v0.1.6 2852-45f62ea9
[15:12:12.594] |I| [SDL_main]: Number of logical CPU cores: 16
[15:12:12.594] |I| [SDL_main]: Available ram memory: 15785 MiB
[15:12:14.560] |I| [renderer::gl::create]: GPU = NVIDIA GeForce GTX 1660 Ti/PCIe/SSE2
[15:12:14.561] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 517.48
[15:12:14.561] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[15:12:14.562] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[15:12:23.160] |I| [gui::set_vsync_state]: V-Sync state: true
[15:12:23.170] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:12:23.170] |I| [load_app_impl]: CPU Optimisation state: true
[15:12:23.170] |I| [load_app_impl]: ngs state: true
[15:12:23.170] |I| [load_app_impl]: Resolution multiplier: 1
[15:12:23.170] |I| [load_app_impl]: modules mode: Automatic
[15:12:23.170] |I| [load_app_impl]: Title: Re:銈笺儹銇嬨倝濮嬨倎銈嬬暟涓栫晫鐢熸椿 - DEATH OR KISS -
[15:12:23.171] |I| [load_app_impl]: Serial: PCSG00933
[15:12:23.171] |I| [load_app_impl]: Version: 1.00
[15:12:23.171] |I| [load_app_impl]: Category: gd
[15:12:23.202] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[15:12:23.202] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000558A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[15:12:23.203] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:12:23.203] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[15:12:23.203] |D| [load_var_exports]:  NID 0x936C8A78 (SYSLYB) at 0x4B314
[15:12:23.203] |D| [load_var_exports]:  NID 0x6C2224BA (NID_MODULE_INFO) at 0x404DC
[15:12:23.204] |W| [load_var_imports]:  NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x4463C, setting to stub value 0xDEADBEEF
[15:12:23.205] |W| [load_var_imports]:  NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x461D0, setting to stub value 0xDEADBEEF
[15:12:23.206] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:12:23.218] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[15:12:23.218] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00087CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[15:12:23.219] |I| [load_self]: Loaded module segment 1 @ [0x00088000 - 0x0008D255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
