T| [log_import_call]: [LLE] TID: 6   FUNC: 0xd941b90 sceSystemGestureResetTouchRecognizer at 0x800e7f28
[14:55:06.943] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x3cdfd2a3 mspace_free at 0x800e8a28
[14:55:07.145] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x8e5a06c5 abs at 0x800e8b18
[14:55:21.011] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Saving pipeline cache...
[14:55:21.012] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Pipeline cache saved
[14:55:43.543] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x3aad41b0 srand at 0x800e8a18
[14:55:43.627] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/op.usm
[14:55:43.628] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/op.usm (ux0:/app/PCSG00933/USRDIR/op.usm), fd: 0x39
[14:55:43.756] |E| [export_sceNgsVoiceResume::<lambda_2>::operator ()]: sceNgsVoiceResume returned SCE_NGS_ERROR_INVALID_STATE (0x804a0010)
[14:55:49.356] |T| [close_file]: sceIoClose: Closing file fd: 0x39
[14:55:49.376] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x5b9bb802 free at 0x800e8a68
[14:55:49.910] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xc0883865 rand at 0x800e8ba8
[14:56:24.057] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/op.usm
[14:56:24.057] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/op.usm (ux0:/app/PCSG00933/USRDIR/op.usm), fd: 0x3a
[14:56:28.657] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Saving pipeline cache...
[14:56:28.658] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Pipeline cache saved
[14:56:17.966] |I| [config::init_config]: backend-renderer: Vulkan
[14:56:17.967] |I| [config::init_config]: log-level: 0
[14:56:18.087] |I| [SDL_main]: Vita3K v0.2.0 3594-d49480f8
[14:56:18.088] |I| [SDL_main]: OS: Microsoft Windows 11  (build 22631)
[14:56:18.088] |I| [SDL_main]: CPU: 12th Gen Intel(R) Core(TM) i7-12700H | 20 Threads | 2.688 GHz
[14:56:18.088] |I| [SDL_main]: Available ram memory: 16088 MiB
[14:56:18.090] |I| [app::init]: Base path: D:\Edge\windows\
[14:56:18.090] |I| [app::init]: User pref path: C:\Users\RIMW\AppData\Roaming\Vita3K\Vita3K\
[14:56:18.312] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 3060 Laptop GPU
[14:56:18.312] |I| [renderer::vulkan::VKState::create]: Driver version: 545.92.0.0
[14:56:18.313] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[14:56:18.548] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[14:56:19.217] |I| [compat::update_app_compat_db]: Applications compatibility database is up to date.
