[14:33:56.539] |I| [SDL_main]:  Vita3K v0.1 597-5b97fe1
[14:33:56.834] |I| [init]:  Swap interval = -1
[14:33:59.105] |I| [install_vpk]:  PCSE00850 already installed, launching application...
[14:33:59.106] |I| [load_app_impl]:  Title: Risk of Rain
[14:33:59.107] |I| [load_app_impl]:  Serial: PCSE00850
[14:33:59.107] |I| [load_app_impl]:  Category: gd
[14:33:59.185] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libc.suprx
[14:33:59.186] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x48314
[14:33:59.187] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D4DC
[14:33:59.187] |E| [load_var_imports]:  	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x431D0: 0x140
[14:33:59.188] |I| [load_app_impl]:  Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[14:33:59.210] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libfios2.suprx
[14:33:59.211] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x82BC8
[14:33:59.212] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x79F08
[14:33:59.212] |I| [load_app_impl]:  Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[14:33:59.240] |I| [load_self]:  Loading symbols for SELF: app0:sce_module/libult.suprx
[14:33:59.240] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x9B2E8
[14:33:59.241] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98870
[14:33:59.241] |E| [load_var_imports]:  	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x990BC: 0x1040
[14:33:59.242] |I| [load_app_impl]:  Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[14:33:59.692] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[14:33:59.693] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2AB2D4
[14:33:59.693] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x9EBD88
[14:33:59.694] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x302ACC
[14:33:59.694] |I| [load_app_impl]:  Main executable RiskOfRain_Vita (eboot.bin) loaded
[14:33:59.699] |D| [run_app]:  Running module_start of library: SceLibc
[14:33:59.746] |T| [open_file]:  sceKernelGetStdin: Opening file tty0: (tty0:)
[14:33:59.747] |T| [open_file]:  sceKernelGetStdout: Opening file tty0: (tty0:)
[14:33:59.748] |T| [open_file]:  sceKernelGetStderr: Opening file tty0: (tty0:)
[14:33:59.755] |I| [run_app]:  Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[14:33:59.756] |D| [run_app]:  Running module_start of library: SceLibFios2
[14:33:59.761] |W| [stubbed_impl]:  Stubbed sceKernelGetProcessId import called. (pid: 0)
[14:33:59.762] |W| [unimplemented_impl]:  Unimplemented sceFiosOverlayGetList02 import called.
[14:33:59.763] |I| [run_app]:  Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[14:33:59.763] |D| [run_app]:  Running module_start of library: SceUlt
[14:33:59.767] |E| [call_import]:  Import function for NID 0x50F2F2AA not found (thread ID: 36)
[14:33:59.768] |I| [run_app]:  Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[14:33:59.770] |T| [open_file]:  sceKernelLoadStartModule: Opening file app0:mai_moe/mai.suprx (ux0:/app/PCSE00850/mai_moe/mai.suprx)
[14:33:59.783] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_END
[14:33:59.784] |T| [seek_file]:  sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[14:33:59.784] |T| [read_file]:  sceKernelLoadStartModule: Reading file: fd: 0x3, size: 87866
[14:33:59.805] |I| [load_self]:  Loading symbols for SELF: app0:mai_moe/mai.suprx
[14:33:59.806] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x8C237E4
[14:33:59.806] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x8C23840
[14:33:59.806] |T| [close_file]:  sceKernelLoadStartModule: Closing file: fd: 0x3
[14:33:59.831] |W| [stubbed_impl]:  Stubbed sceKernelDelayThread import called. (bad accuracy)
[14:33:59.831] |T| [stat_file]:  sceIoGetstat: Statting file app0:mai_moe/load_type.mai (ux0:/app/PCSE00850/mai_moe/load_type.mai)
[14:33:59.832] |I| [export_sceIoOpen]:  Opening file: app0:mai_moe/load_type.mai
[14:33:59.832] |T| [open_file]:  sceIoOpen: Opening file app0:mai_moe/load_type.mai (ux0:/app/PCSE00850/mai_moe/load_type.mai)
[14:33:59.833] |T| [stat_file]:  sceIoGetstat: Statting file app0:mai_moe/load_type.mai (ux0:/app/PCSE00850/mai_moe/load_type.mai)
[14:33:59.834] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x4 at offset: 0x0, whence: SCE_SEEK_SET
[14:33:59.834] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 1
[14:33:59.834] |T| [close_file]:  sceIoClose: Closing file: fd: 0x4
