[11:55:52.896] |C| [SDL_main]: PLEASE. DO NOT RUN VITA3K AS ADMIN OR WITH ADMIN PRIVILEGES.
[11:55:52.912] |I| [config::init_config]: backend-renderer: Vulkan
[11:55:52.912] |I| [config::init_config]: log-level: 0
[11:55:52.983] |I| [SDL_main]: Vita3K v0.1.8 3157-4280bea5
[11:55:52.983] |I| [SDL_main]: Number of logical CPU cores: 4
[11:55:52.984] |I| [SDL_main]: Available ram memory: 8190 MiB
[11:55:53.372] |I| [renderer::vulkan::VKState::create]: Vulkan device: GeForce GTX 680
[11:55:53.373] |I| [renderer::vulkan::VKState::create]: Driver version: 445.75.0.0
[11:55:53.593] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[11:55:54.472] |W| [compat::load_compat_app_db]: App with Title ID PCSE00963 has an issue but no status label. Please check GitHub issue 1466 and request a status label be added.
[11:55:54.584] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[11:56:02.348] |I| [load_app_impl]: cpu-backend: Dynarmic
[11:56:02.348] |I| [load_app_impl]: CPU Optimisation state: true
[11:56:02.348] |I| [load_app_impl]: ngs state: true
[11:56:02.349] |I| [load_app_impl]: Resolution multiplier: 1
[11:56:02.361] |I| [load_app_impl]: 1 Controllers Connected
[11:56:02.361] |I| [load_app_impl]: Controller 0: Xbox 360 Controller
[11:56:02.361] |I| [load_app_impl]: modules mode: Automatic
[11:56:02.362] |I| [load_app_impl]: Title: Sine Mora
[11:56:02.362] |I| [load_app_impl]: Serial: PCSE00090
[11:56:02.363] |I| [load_app_impl]: Version: 1.00
[11:56:02.363] |I| [load_app_impl]: Category: gd
[11:56:02.391] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[11:56:02.392] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000417DC / 0x81000000] (size: 0x0003C7DC) of module app0:sce_module/libc.suprx
[11:56:02.393] |I| [load_self]: Loaded module segment 1 @ [0x00042000 - 0x00044374 / 0x8103D000] (size: 0x00002374) of module app0:sce_module/libc.suprx
[11:56:02.393] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[11:56:02.394] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x33220
[11:56:02.395] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[11:56:02.413] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[11:56:02.414] |I| [load_self]: Loaded module segment 0 @ [0x00045000 - 0x000671B0 / 0x81000000] (size: 0x000221B0) of module app0:sce_module/libfios2.suprx
[11:56:02.415] |I| [load_self]: Loaded module segment 1 @ [0x00068000 - 0x0006D1B8 / 0x81023000] (size: 0x000051B8) of module app0:sce_module/libfios2.suprx
[11:56:02.416] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[11:56:02.416] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x60cb0
[11:56:02.416] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[11:56:02.428] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6fffff01...
[11:56:02.429] |I| [load_self]: Loaded module segment 0 @ [0x0006E000 - 0x0008206C / 0x81000000] (size: 0x0001406C) of module app0:sce_module/libult.suprx
[11:56:02.430] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x00083814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[11:56:02.431] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[11:56:02.431] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x7eb68
[11:56:02.432] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[11:56:02.515] |I| [load_self]: Loaded module segment 0 @ [0x00084000 - 0x000D4F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[11:56:02.516] |I| [load_self]: Loaded module segment 1 @ [0x000D5000 - 0x000D52F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[11:56:02.517] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[11:56:02.518] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xc07dc
[11:56:02.518] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xbff10
[11:56:02.519] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[11:56:02.588] |I| [load_self]: Loaded module segment 0 @ [0x000D6000 - 0x000E5F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[11:56:02.589] |I| [load_self]: Loaded module segment 1 @ [0x000E6000 - 0x000E6008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[11:56:02.590] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[11:56:02.590] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xe4710
[11:56:02.591] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xe4300
[11:56:02.592] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[11:56:02.804] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[11:56:02.805] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x812AAE1C / 0x81000000] (size: 0x002AAE1C) of module app0:eboot.bin
[11:56:02.806] |I| [load_self]: Loaded module segment 1 @ [0x812AB000 - 0x8364FF38 / 0x812AB000] (size: 0x023A4F38) of module app0:eboot.bin
[11:56:02.807] |I| [load_self]: Linking SELF app0:eboot.bin...
[11:56:02.807] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x81261ff4
[11:56:02.808] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x812ab0b4
[11:56:02.809] |I| [load_app_impl]: Main executable SineMora_vita_final (eboot.bin) loaded
[11:56:02.875] |D| [run_app]: Running module_start of library: SceLibc at address 0x55e5
[11:56:02.907] |I| [export_sceIoOpen]: Opening file: tty0:
[11:56:02.908] |T| [open_file]: sceIoOpen: Opening terminal tty0:
[11:56:02.908] |I| [export_sceIoOpen]: Opening file: tty0:
[11:56:02.909] |T| [open_file]: sceIoOpen: Opening terminal tty0:
[11:56:02.909] |I| [export_sceIoOpen]: Opening file: tty1:
[11:56:02.910] |T| [open_file]: sceIoOpen: Opening terminal tty1:
[11:56:02.919] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[11:56:02.922] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x45001
[11:56:02.948] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[11:56:02.949] |W| [unimplemented_impl]: Unimplemented _sceFiosKernelOverlayGetList import called.
[11:56:02.950] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[11:56:02.953] |D| [run_app]: Running module_start of library: SceUlt at address 0x71b71
[11:56:02.978] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[11:56:03.431] |I| [load_module]: Loading module ID: 0x4
