[21:48:45.184] |I| [load_app_impl]: cpu-backend: Dynarmic
[21:48:45.184] |I| [load_app_impl]: CPU Optimisation state: true
[21:48:45.184] |I| [load_app_impl]: ngs state: true
[21:48:45.184] |I| [load_app_impl]: Resolution multiplier: 2
[21:48:45.186] |I| [load_app_impl]: 1 Controllers Connected
[21:48:45.187] |I| [load_app_impl]: Controller 0: Controller (Gamepad F310)
[21:48:45.187] |I| [load_app_impl]: modules mode: Automatic
[21:48:45.187] |I| [load_app_impl]: Title: STAR OCEAN Second Evolution
[21:48:45.187] |I| [load_app_impl]: Serial: PCSG00714
[21:48:45.187] |I| [load_app_impl]: Version: 1.00
[21:48:45.187] |I| [load_app_impl]: Category: gd
[21:48:45.196] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:48:45.196] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[21:48:45.196] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[21:48:45.196] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[21:48:45.197] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[21:48:45.197] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[21:48:45.197] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[21:48:45.197] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[21:48:45.197] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[21:48:45.203] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:48:45.203] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[21:48:45.204] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[21:48:45.204] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[21:48:45.204] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[21:48:45.204] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[21:48:45.205] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[21:48:45.208] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:48:45.208] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49A4 / 0x81000000] (size: 0x000139A4) of module app0:sce_module/libult.suprx
[21:48:45.209] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[21:48:45.209] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[21:48:45.210] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32D0
[21:48:45.210] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0858
[21:48:45.210] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[21:48:45.217] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[21:48:45.217] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[21:48:45.220] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[21:48:45.220] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[21:48:45.221] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[21:48:45.221] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[21:48:45.223] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[21:48:45.224] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[21:48:45.224] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[21:48:45.224] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[21:48:45.225] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[21:48:45.225] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[21:48:45.387] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:48:45.387] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x0069B8B0 / 0x81000000] (size: 0x005928B0) of module app0:eboot.bin
[21:48:45.388] |I| [load_self]: Loaded module segment 1 @ [0x0069C000 - 0x0119F5B4 / 0x81593000] (size: 0x00B035B4) of module app0:eboot.bin
[21:48:45.388] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[21:48:45.389] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4DB5F4
[21:48:45.389] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x6B96E4
[21:48:45.390] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x609ABC
[21:48:45.390] |I| [load_app_impl]: Main executable SO2PSP2 (eboot.bin) loaded
[21:48:45.392] |I| [renderer::gl::compile_shader]: frag shader compiled: 9ddb9ecc6642e269dd11ddcd89c092f029655a9bd95ea52aad547a3f82bb0019
[21:48:45.392] |I| [renderer::gl::compile_shader]: vert shader compiled: a6369530df4913a7a2be4192cc740d375f97ebf36502f2f67aecc009232062e2
[21:48:45.393] |I| [renderer::gl::pre_compile_program]: Program Compiled 1/9
[21:48:45.397] |I| [renderer::gl::compile_shader]: frag shader compiled: 935223b2d5731d046b7b5d029b7a48a700367acf2276a4770840ce8954509909
[21:48:45.398] |I| [renderer::gl::compile_shader]: vert shader compiled: de05b0f7cd24855f8daee56bc5f65b7a52b81a92ecf803cc6d07002a25f53ad2
[21:48:45.399] |I| [renderer::gl::pre_compile_program]: Program Compiled 2/9
[21:48:45.400] |I| [renderer::gl::compile_shader]: frag shader compiled: 71d6987b648fbedfd9fbfef41d9277a9cf03eeeeeea988b42b39977e22bbd511
[21:48:45.400] |I| [renderer::gl::compile_shader]: vert shader compiled: b129f1f2ccee3ba3ef37655c66a8d386f6031f2cd50ad94c296a6bcd733f1e6b
[21:48:45.401] |I| [renderer::gl::pre_compile_program]: Program Compiled 3/9
[21:48:45.402] |I| [renderer::gl::compile_shader]: frag shader compiled: fdf301a24d8ecd1ac10c0f05d945a03ff4433fc2b407082d12a092bef6a5a73a
