[01:56:37.979] |I| [config::init_config]: backend-renderer: OpenGL
[01:56:37.981] |I| [config::init_config]: hardware-flip: true
[01:56:37.981] |I| [config::init_config]: log-level: 0
[01:56:37.981] |I| [config::init_config]: log-imports: false
[01:56:37.981] |I| [config::init_config]: log-exports: false
[01:56:37.981] |I| [config::init_config]: log-active-shaders: false
[01:56:37.981] |I| [config::init_config]: log-uniforms: false
[01:56:37.983] |I| [SDL_main]: Vita3K v0.1 1293-164267bb
[01:56:38.451] |I| [renderer::gl::create]: Swap interval = -1
[01:56:38.453] |I| [renderer::gl::create]: GPU = GeForce GTX 1050 Ti/PCIe/SSE2
[01:56:38.453] |I| [renderer::gl::create]: GL_VERSION = 4.5.0 NVIDIA 436.48
[01:56:38.453] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.50 NVIDIA
[01:56:38.454] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[01:56:38.558] |I| [gui::init_icons]: Default icon found for title ACTI00000, Vita Activator.
[01:56:38.567] |I| [gui::init_icons]: Default icon found for title BIRD00000, flappybird.
[01:56:38.570] |I| [gui::init_icons]: Default icon found for title BUBBLE000, bubbleride.
[01:56:38.571] |I| [gui::init_icons]: Default icon found for title bubbles, bubbles.
[01:56:38.581] |I| [gui::init_icons]: Default icon found for title dumper_e, イースVIII -Lacrimosa of DANA-.
[01:56:38.589] |I| [gui::init_icons]: Default icon found for title git, git.
[01:56:38.597] |I| [gui::init_icons]: Default icon found for title mai_moe, mai_moe.
[01:56:38.598] |I| [gui::init_icons]: Default icon found for title mai_vv, mai_vv.
[01:56:38.680] |I| [gui::init_icons]: Default icon found for title PSPEMUXXX, PSPEMUXXX.
[01:56:38.684] |I| [gui::init_icons]: Default icon found for title resources, resources.
[01:56:38.689] |I| [gui::init_icons]: Default icon found for title sce_module, sce_module.
[01:56:38.690] |I| [gui::init_icons]: Default icon found for title sce_sys, sce_sys.
[01:56:38.692] |I| [gui::init_icons]: Default icon found for title SHDW00001, advremap.
[01:56:38.693] |I| [gui::init_icons]: Default icon found for title SKOG00001, Snes9xVITA.
[01:56:38.701] |I| [gui::init_icons]: Default icon found for title system, system.
[01:56:38.706] |I| [gui::init_icons]: Default icon found for title VDEC00001, French American Games Decrypter.
[01:56:38.714] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[01:56:38.721] |I| [gui::init_icons]: Default icon found for title XYZZ00001, button-swapper.
[01:56:42.239] |I| [load_app_impl]: Title: Stealth Inc 2: A Game of Clones
[01:56:42.239] |I| [load_app_impl]: Serial: PCSE00575
[01:56:42.239] |I| [load_app_impl]: Version: 01.00
[01:56:42.240] |I| [load_app_impl]: Category: gd
[01:56:42.251] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[01:56:42.251] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x46744
[01:56:42.251] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3C4F8
[01:56:42.252] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x40520, setting to stub value 0xDEADBEEF
[01:56:42.253] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x420A4, setting to stub value 0xDEADBEEF
[01:56:42.253] |I| [load_app_impl]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[01:56:42.260] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[01:56:42.260] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x81244
[01:56:42.261] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78878
[01:56:42.261] |I| [load_app_impl]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[01:56:42.265] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[01:56:42.265] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9A2D0
[01:56:42.265] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x97858
[01:56:42.266] |W| [load_var_imports]: 	NID NOT FOUND 0x936A5F31 (_pLibPerfCaptureFlagPtr) at 0x980A4, setting to stub value 0xDEADBEEF
[01:56:42.267] |I| [load_app_impl]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[01:56:42.307] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[01:56:42.307] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x196A20
[01:56:42.308] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1E5074
[01:56:42.308] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x1B863C
[01:56:42.309] |I| [load_app_impl]: Main executable game (eboot.bin) loaded
[01:56:42.314] |D| [run_app]: Running module_start of library: SceLibc
[01:56:42.320] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[01:56:42.320] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[01:56:42.321] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[01:56:42.326] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[01:56:42.327] |D| [run_app]: Running module_start of library: SceLibFios2
[01:56:42.332] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[01:56:42.332] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[01:56:42.333] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[01:56:42.334] |D| [run_app]: Running module_start of library: SceUlt
[01:56:42.338] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[01:56:42.338] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[01:56:42.340] |T| [open_file]: sceKernelLoadStartModule: Opening file app0:mai_moe/mai.suprx (ux0:/app/PCSE00575/mai_moe/mai.suprx), fd: 0x3
[01:56:42.341] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_END
[01:56:42.341] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[01:56:42.342] |T| [read_file]: sceKernelLoadStartModule: Reading 87866 bytes of fd 0x3
[01:56:42.343] |I| [load_self]: Loading symbols for SELF: app0:mai_moe/mai.suprx
[01:56:42.344] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9BD7E4
[01:56:42.344] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x9BD840
[01:56:42.345] |T| [close_file]: sceKernelLoadStartModule: Closing file fd: 0x3
[01:56:42.356] |T| [stat_file]: sceIoGetstat: Statting file: app0:mai_moe/load_type.mai (ux0:/app/PCSE00575/mai_moe/load_type.mai)
[01:56:42.357] |I| [export_sceIoOpen]: Opening file: app0:mai_moe/load_type.mai
[01:56:42.357] |T| [open_file]: sceIoOpen: Opening file app0:mai_moe/load_type.mai (ux0:/app/PCSE00575/mai_moe/load_type.mai), fd: 0x4
[01:56:42.358] |T| [stat_file]: sceIoGetstat: Statting file: app0:mai_moe/load_type.mai (ux0:/app/PCSE00575/mai_moe/load_type.mai)
[01:56:42.359] |T| [seek_file]: sceIoLseek: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[01:56:42.359] |T| [read_file]: sceIoRead: Reading 1 bytes of fd 0x4
[01:56:42.359] |T| [close_file]: sceIoClose: Closing file fd: 0x4
[01:56:42.365] |I| [export_sceKernelLoadStartModule]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[01:56:42.367] |T| [open_file]: sceKernelLoadStartModule: Opening file app0:sce_module/libfios2_m.suprx (ux0:/app/PCSE00575/sce_module/libfios2_m.suprx), fd: 0x5
[01:56:42.368] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_END
[01:56:42.368] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[01:56:42.369] |T| [read_file]: sceKernelLoadStartModule: Reading 257648 bytes of fd 0x5
[01:56:42.369] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2_m.suprx
[01:56:42.369] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA6B244
[01:56:42.370] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA62878
[01:56:42.371] |T| [close_file]: sceKernelLoadStartModule: Closing file fd: 0x5
[01:56:42.377] |I| [export_sceKernelLoadStartModule]: Module mceLibFios2 (at "app0:sce_module/libfios2_m.suprx") module_start returned 0x0
[01:56:42.380] |T| [open_dir]: sceIoDopen: Opening dir ux0:plugins (ux0:/plugins), fd: 0x6
[01:56:42.380] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x6
[01:56:42.456] |I| [export_sceKernelLoadStartModule]: Module output/testprx.elf (at "app0:mai_moe/mai.suprx") module_start returned 0x0
[01:56:42.522] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[01:56:42.558] |W| [unimplemented_impl]: Unimplemented sceGxmColorSurfaceSetGammaMode import called.
[01:56:42.592] |W| [unimplemented_impl]: Unimplemented sceNetCtlInit import called.
[01:56:42.593] |W| [unimplemented_impl]: Unimplemented sceSslInit import called.
[01:56:42.593] |W| [unimplemented_impl]: Unimplemented sceHttpInit import called.
[01:56:42.594] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR07887_00/TROPHY.TRP (ux0:/app/PCSE00575/sce_sys/trophy/NPWR07887_00/TROPHY.TRP), fd: 0x7
[01:56:42.595] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR07887_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR07887_00/TROPUSR.DAT), fd: 0x8
[01:56:42.595] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x7
[01:56:42.596] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x7, offset: 0x10, whence: SCE_SEEK_SET
[01:56:42.596] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x7
[01:56:42.596] |T| [read_file]: parse_trophy_file: Reading 4 bytes of fd 0x7
[01:56:42.597] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x7, offset: 0x40, whence: SCE_SEEK_SET
