[18:25:53.880] |I| [config::init_config]: backend-renderer: Vulkan
[18:25:53.883] |I| [config::init_config]: log-level: 0
[18:25:54.025] |I| [SDL_main]: Vita3K v0.1.8 3217-00b872fe
[18:25:54.026] |I| [SDL_main]: Number of logical CPU cores: 2
[18:25:54.026] |I| [SDL_main]: Available ram memory: 3959 MiB
[18:25:54.229] |I| [renderer::vulkan::VKState::create]: Enabling vulkan validation layers (has a performance impact but allows better error messages)
[18:25:54.802] |I| [renderer::vulkan::VKState::create]: Vulkan device: Intel(R) HD Graphics 500
[18:25:54.803] |I| [renderer::vulkan::VKState::create]: Driver version: 101.2111
[18:25:54.805] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[18:25:54.851] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Fifo
[18:25:56.520] |W| [compat::load_compat_app_db]: App with Title ID PCSE00640 has an issue but no status label. Please check GitHub issue 1678 and request a status label be added.
[18:25:56.556] |W| [compat::load_compat_app_db]: App with Title ID PCSA00158 has an issue but no status label. Please check GitHub issue 1659 and request a status label be added.
[18:25:56.556] |W| [compat::load_compat_app_db]: App with Title ID PCSA00133 has an issue but no status label. Please check GitHub issue 1649 and request a status label be added.
[18:25:57.073] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[18:26:23.276] |I| [load_app_impl]: cpu-backend: Dynarmic
[18:26:23.277] |I| [load_app_impl]: CPU Optimisation state: true
[18:26:23.277] |I| [load_app_impl]: ngs state: true
[18:26:23.277] |I| [load_app_impl]: Resolution multiplier: 1
[18:26:23.278] |I| [load_app_impl]: modules mode: Auto & Manual
[18:26:23.278] |I| [load_app_impl]: Title: TIME TRAVELERS
[18:26:23.278] |I| [load_app_impl]: Serial: PCSG00062
[18:26:23.278] |I| [load_app_impl]: Version: 1.00
[18:26:23.278] |I| [load_app_impl]: Category: gd
[18:26:23.318] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[18:26:23.319] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000417DC / 0x81000000] (size: 0x0003C7DC) of module app0:sce_module/libc.suprx
[18:26:23.320] |I| [load_self]: Loaded module segment 1 @ [0x00042000 - 0x00044374 / 0x8103D000] (size: 0x00002374) of module app0:sce_module/libc.suprx
[18:26:23.324] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[18:26:23.326] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x33220
[18:26:23.327] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
