[14:24:13.321] |I| [config::init_config]: backend-renderer: OpenGL
[14:24:13.323] |I| [config::init_config]: log-level: 0
[14:24:13.524] |I| [SDL_main]: Vita3K v0.1.6 2841-0c75bbb5
[14:24:13.524] |I| [SDL_main]: Number of logical CPU cores: 8
[14:24:13.525] |I| [SDL_main]: Available ram memory: 16215 MiB
[14:24:14.262] |I| [renderer::gl::create]: GPU = NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[14:24:14.263] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 NVIDIA 516.94
[14:24:14.263] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 NVIDIA
[14:24:14.264] |I| [renderer::gl::create]: Your GPU supports shader interlock, some games that use programmable blending will have better performance.
[14:24:29.614] |I| [gui::set_vsync_state]: V-Sync state: true
[14:24:29.629] |I| [load_app_impl]: cpu-backend: Dynarmic
[14:24:29.629] |I| [load_app_impl]: CPU Optimisation state: true
[14:24:29.630] |I| [load_app_impl]: ngs state: true
[14:24:29.630] |I| [load_app_impl]: Resolution multiplier: 1
[14:24:29.630] |I| [load_app_impl]: modules mode: Auto & Manual
[14:24:29.630] |I| [load_app_impl]: lle-modules: libhttp
[14:24:29.630] |I| [load_app_impl]: Title: WORMS REVOLUTION EXTREME
[14:24:29.631] |I| [load_app_impl]: Serial: PCSE00286
[14:24:29.631] |I| [load_app_impl]: Version: 1.00
[14:24:29.631] |I| [load_app_impl]: Category: gd
[14:24:29.657] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[14:24:29.657] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x0004E4B0 / 0x81000000] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[14:24:29.658] |I| [load_self]: Loaded module segment 1 @ [0x0004F000 - 0x000516F4 / 0x8104B000] (size: 0x000026F4) of module app0:sce_module/libc.suprx
[14:24:29.658] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[14:24:29.659] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3AF30
[14:24:29.659] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x3EDF0, setting to stub value 0xDEADBEEF
[14:24:29.661] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x404A4, setting to stub value 0xDEADBEEF
[14:24:29.664] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[14:24:29.679] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[14:24:29.679] |I| [load_self]: Loaded module segment 0 @ [0x00054000 - 0x0007822C / 0x81000000] (size: 0x0002422C) of module app0:sce_module/libfios2.suprx
[14:24:29.683] |I| [load_self]: Loaded module segment 1 @ [0x00079000 - 0x0007E1A4 / 0x81025000] (size: 0x000051A4) of module app0:sce_module/libfios2.suprx
[14:24:29.685] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[14:24:29.686] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x70B70
[14:24:29.689] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[14:24:29.702] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[14:24:29.702] |I| [load_self]: Loaded module segment 0 @ [0x0007F000 - 0x00093144 / 0x81000000] (size: 0x00014144) of module app0:sce_module/libult.suprx
[14:24:29.706] |I| [load_self]: Loaded module segment 1 @ [0x00094000 - 0x00094814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[14:24:29.708] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[14:24:29.710] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x8F1CC
[14:24:29.711] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[14:24:29.725] |I| [load_self]: Loaded module segment 0 @ [0x00095000 - 0x000E5F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[14:24:29.727] |I| [load_self]: Loaded module segment 1 @ [0x000E6000 - 0x000E62F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[14:24:29.730] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[14:24:29.731] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xD17DC
[14:24:29.732] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD0F10
[14:24:29.735] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[14:24:29.740] |I| [load_self]: Loaded module segment 0 @ [0x000E7000 - 0x000F6F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[14:24:29.742] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F7008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[14:24:29.744] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[14:24:29.745] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xF5710
[14:24:29.747] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xF5300
[14:24:29.748] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[14:24:29.958] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6FFFFF01...
[14:24:29.958] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x815E6E60 / 0x81000000] (size: 0x005E6E60) of module app0:eboot.bin
[14:24:29.962] |I| [load_self]: Loaded module segment 1 @ [0x815E7000 - 0x81940AD0 / 0x815E7000] (size: 0x00359AD0) of module app0:eboot.bin
[14:24:29.964] |I| [load_self]: Linking SELF app0:eboot.bin...
[14:24:29.966] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x814BB9E0
[14:24:29.967] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x815EF978
[14:24:29.968] |I| [load_app_impl]: Main executable Worms_final_SCEA (eboot.bin) loaded
[14:24:29.991] |D| [run_app]: Running module_start of library: SceLibc at address 0x47F1
[14:24:30.019] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[14:24:30.020] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[14:24:30.023] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[14:24:30.034] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[14:24:30.040] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x54001
[14:24:30.065] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[14:24:30.066] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[14:24:30.074] |D| [run_app]: Running module_start of library: SceUlt at address 0x8284D
[14:24:30.097] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[14:24:30.098] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[14:24:30.837] |W| [unimplemented_impl]: Unimplemented sceKernelGetOpenPsId import called.
[14:24:30.838] |I| [load_module]: Loading module ID: 0x4
[14:24:30.847] |I| [load_self]: sys/external/libhttp.suprx: Skipping special segment 0x6FFFFF01...
[14:24:30.848] |I| [load_self]: Loaded module segment 0 @ [0x0016A000 - 0x00187150 / 0x81000000] (size: 0x0001D150) of module sys/external/libhttp.suprx
[14:24:30.852] |I| [load_self]: Loaded module segment 1 @ [0x0013A000 - 0x0013A640 / 0x8101E000] (size: 0x00000640) of module sys/external/libhttp.suprx
[14:24:30.855] |I| [load_self]: Linking SELF sys/external/libhttp.suprx...
[14:24:30.857] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x185E68
[14:24:30.859] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x182CA0
[14:24:30.860] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") loaded
[14:24:30.861] |D| [load_module]: Running module_start of module: SceLibHttp
[14:24:30.863] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") module_start returned 0x0
[14:24:30.882] |I| [load_self]: Loaded module segment 0 @ [0x00188000 - 0x001EEEA4 / 0x81000000] (size: 0x00066EA4) of module sys/external/libssl.suprx
[14:24:30.882] |I| [load_self]: Loaded module segment 1 @ [0x00152000 - 0x00157188 / 0x81067000] (size: 0x00005188) of module sys/external/libssl.suprx
[14:24:30.887] |I| [load_self]: Linking SELF sys/external/libssl.suprx...
[14:24:30.890] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x1DA9B0
[14:24:30.891] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1D4C70
[14:24:30.892] |I| [load_module]: Module SceLibSsl (at "sys/external/libssl.suprx") loaded
[14:24:30.936] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[14:24:30.937] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[14:24:31.094] |I| [export_sceIoOpen]: Opening file: app0:/data.psarc
[14:24:31.095] |T| [open_file]: sceIoOpen: Opening file app0:/data.psarc (ux0:/app/PCSE00286/data.psarc), fd: 0x3
[14:24:31.123] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[14:24:31.133] |I| [export_sceIoOpen]: Opening file: app0:/data.psarc
[14:24:31.134] |T| [open_file]: sceIoOpen: Opening file app0:/data.psarc (ux0:/app/PCSE00286/data.psarc), fd: 0x4
[14:24:31.252] |T| [write_file]: *** TTY: Fios file open error: mount/Default.cfg  code -2138963963 
[14:24:31.318] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[14:24:31.721] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[14:24:31.737] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[14:24:31.746] |T| [write_file]: *** TTY:  Load shader 
[14:24:31.749] |T| [write_file]: *** TTY:  Load shader 
[14:24:31.752] |T| [write_file]: *** TTY:  Load shader 
[14:24:31.753] |T| [write_file]: *** TTY:  Load shader 
[14:24:31.798] |T| [write_file]: *** TTY: Fios file open error: mount/BuildInfo.txt  code -2138963963 
[14:24:31.993] |W| [unimplemented_impl]: Unimplemented sceScreenShotDisable import called.
[14:24:32.208] |I| [renderer::load_shader_generic]: Generating frag shader a8ab46809c2190206d17aa34cd8cd2809c355da7b5379106fae27ffb6361b81a
[14:24:32.212] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (half4) clearColour
[14:24:32.213] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 2
[14:24:32.268] |I| [renderer::load_shader_generic]: Generating vert shader 36b47fde0fbd5b15d9ba905159ff51d5b455e877052f2e43805d986e7b8f3a4d
[14:24:32.270] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) position
[14:24:32.271] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 4
[14:24:32.335] |E| [renderer::gl::compile_program]: Fragment info
-------------
0(30) : warning C7050: "pa[0].zw" might be used before being initialized


[14:24:32.383] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.385] |I| [renderer::load_shader_generic]: Generating frag shader faf4bce32815251715de63c575f6899c2cb56b43b42b9b9fa85e6fb89bc8d712
[14:24:32.388] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) clearColour
[14:24:32.388] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 2
[14:24:32.405] |I| [renderer::load_shader_generic]: Generating vert shader ed27f841214cb5ee7e6db9abbe999595eb778b3469a5ccd5c23f3f9d9b61ebc1
[14:24:32.408] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) position
[14:24:32.408] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 4
[14:24:32.445] |E| [renderer::gl::compile_program]: Fragment info
-------------
0(30) : warning C7050: "pa[0].zw" might be used before being initialized


[14:24:32.447] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.449] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.451] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.452] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.455] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.456] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.458] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.463] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.463] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.465] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.466] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.468] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.469] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.472] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.473] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.476] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.477] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.478] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.480] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.481] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.483] |E| [renderer::gl::color::translate_internal_format]: Unknown base format 0x800000
[14:24:32.503] |W| [unimplemented_impl]: Unimplemented sceCommonDialogUpdate import called.
[14:24:32.520] |W| [stubbed_impl]: Stubbed sceNetCtlInit import called. (Stub)
[14:24:32.520] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x3C733316 sceSslInit at 0x814BA464
[14:24:32.528] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x214926D9 sceHttpInit at 0x814BA474
[14:24:32.534] |W| [unimplemented_impl]: Unimplemented sceNpBasicInit import called.
[14:24:32.535] |W| [unimplemented_impl]: Unimplemented sceNpBasicRegisterHandler import called.
[14:24:32.538] |W| [unimplemented_impl]: Unimplemented sceCommonDialogSetConfigParam import called.
