[16:21:48.898] |I| [config::init_config]: backend-renderer: OpenGL
[16:21:48.905] |I| [config::init_config]: log-level: 0
[16:21:49.046] |I| [SDL_main]: Vita3K v0.1.5 2636-cddf1066
[16:21:49.047] |I| [SDL_main]: Number of logical CPU cores: 2
[16:21:49.047] |I| [SDL_main]: Available ram memory: 3959 mo
[16:21:49.707] |I| [renderer::gl::create]: Swap interval = 1
[16:21:49.709] |I| [renderer::gl::create]: GPU = Intel(R) HD Graphics 500
[16:21:49.710] |I| [renderer::gl::create]: GL_VERSION = 4.6.0 - Build 30.0.101.1960
[16:21:49.710] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.60 - Build 30.0.101.1960
[16:21:49.711] |I| [renderer::gl::create]: Your GPU supports direct access to last fragment color. Your performance with programmable blending games will be optimized.
[16:21:57.535] |I| [load_app_impl]: cpu-backend: Dynarmic
[16:21:57.538] |I| [load_app_impl]: CPU Optimisation state: true
[16:21:57.539] |I| [load_app_impl]: ngs state: true
[16:21:57.540] |I| [load_app_impl]: Resolution multiplier: 1
[16:21:57.541] |I| [load_app_impl]: modules mode: Automatic
[16:21:57.542] |I| [load_app_impl]: Title: escapeVektor
[16:21:57.543] |I| [load_app_impl]: Serial: PCSE00095
[16:21:57.543] |I| [load_app_impl]: Version: 1.00
[16:21:57.544] |I| [load_app_impl]: Category: gd
[16:21:57.663] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:21:57.664] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00042C2C / 0x81000000] (size: 0x0003BC2C) of module app0:sce_module/libc.suprx
[16:21:57.665] |I| [load_self]: Loaded module segment 1 @ [0x00043000 - 0x00045380 / 0x8103C000] (size: 0x00002380) of module app0:sce_module/libc.suprx
[16:21:57.667] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[16:21:57.669] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x34540
[16:21:57.671] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x37D88, setting to stub value 0xDEADBEEF
[16:21:57.673] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[16:21:57.710] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:21:57.711] |I| [load_self]: Loaded module segment 0 @ [0x00047000 - 0x00068370 / 0x81000000] (size: 0x00021370) of module app0:sce_module/libfios2.suprx
[16:21:57.714] |I| [load_self]: Loaded module segment 1 @ [0x00069000 - 0x0006E1B8 / 0x81022000] (size: 0x000051B8) of module app0:sce_module/libfios2.suprx
[16:21:57.717] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[16:21:57.722] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x61D38
[16:21:57.723] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[16:21:57.765] |C| [load_self]: Unknown segment type 0x6FFFFF01
[16:21:57.767] |I| [load_self]: Loaded module segment 0 @ [0x0006F000 - 0x00082474 / 0x81000000] (size: 0x00013474) of module app0:sce_module/libult.suprx
[16:21:57.771] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x00083814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[16:21:57.774] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[16:21:57.776] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7E714
[16:21:57.779] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[16:21:57.841] |I| [load_self]: Loaded module segment 0 @ [0x00084000 - 0x000D4F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[16:21:57.844] |I| [load_self]: Loaded module segment 1 @ [0x000D5000 - 0x000D52F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[16:21:57.849] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[16:21:57.851] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xC07DC
[16:21:57.852] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xBFF10
[16:21:57.858] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0xD4EE0, setting to stub value 0xDEADBEEF
[16:21:57.865] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[16:21:57.908] |I| [load_self]: Loaded module segment 0 @ [0x000D7000 - 0x000E6F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
