[01:36:15.737] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[01:36:16.149] |I| [init]:  Swap interval = -1
[01:36:18.304] |I| [load_app_impl]:  Title: App DB Tool
[01:36:18.305] |I| [load_app_impl]:  Serial: ADBT00001
[01:36:18.305] |I| [load_app_impl]:  Category: gd
[01:36:18.305] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[01:36:18.305] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[01:36:18.305] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[01:36:18.324] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[01:36:18.325] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9EEB0
[01:36:18.325] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x9EF0C
[01:36:18.325] |I| [load_app_impl]:  Main executable appdbtool (eboot.bin) loaded
[01:36:18.344] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:36:18.345] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:36:18.345] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:36:18.345] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:36:18.345] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:36:18.345] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:36:18.346] |T| [stat_file]:  sceIoGetstat: Statting file ux0:/data/appdbtool/dbg (ux0:/data/appdbtool/dbg)
[01:36:18.346] |W| [io_error_impl]:  stat_file (sceIoGetstat) returned 0xFFFFFFFF
[01:36:18.391] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[01:36:18.391] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[01:36:18.405] |I| [load_module]:  Loading module ID: 0xE
[01:36:18.406] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[01:36:18.407] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x2EFDA64
[01:36:18.407] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2EFD810
[01:36:18.407] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x2EFDC50, setting to stub value 0xDEADBEEF
[01:36:18.407] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[01:36:18.410] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[01:36:18.411] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[01:36:18.411] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[01:36:18.411] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[01:36:18.412] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
[01:36:18.414] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[01:36:18.414] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[01:36:18.415] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[01:36:18.416] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[01:36:18.416] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[01:36:18.416] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 848
[01:36:18.417] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x1CC0, whence: SCE_SEEK_SET
[01:36:18.417] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 1020
[01:36:18.418] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 114632
[01:36:18.419] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 23224
[01:36:18.666] |W| [stubbed_impl]:  Stubbed sceKernelDelayThread import called. (bad accuracy)
[01:36:20.671] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x258B4, whence: SCE_SEEK_SET
[01:36:20.672] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:36:20.675] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 96
[01:36:20.680] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x258B4, whence: SCE_SEEK_SET
[01:36:20.680] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:36:20.684] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 96
[01:36:20.693] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x23B3C, whence: SCE_SEEK_SET
[01:36:20.694] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:36:20.697] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 4
[01:36:20.702] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x23B3C, whence: SCE_SEEK_SET
[01:36:20.702] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:36:20.705] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 4
[01:36:20.709] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x240F4, whence: SCE_SEEK_SET
[01:36:20.710] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:36:20.711] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 26
[01:36:20.714] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x240F4, whence: SCE_SEEK_SET
[01:36:20.714] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:36:20.715] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 26
[01:36:20.719] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x24AA4, whence: SCE_SEEK_SET
[01:36:20.719] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:36:20.720] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 74
[01:36:20.723] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x24AA4, whence: SCE_SEEK_SET
[01:36:20.723] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:36:20.724] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 74
[01:36:20.728] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25C84, whence: SCE_SEEK_SET
[01:36:20.728] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:36:20.730] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 119
[01:36:20.732] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25C84, whence: SCE_SEEK_SET
