[01:53:42.862] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[01:53:43.293] |I| [init]:  Swap interval = -1
[01:53:48.945] |I| [load_app_impl]:  Title: Switch SD2Vita
[01:53:48.946] |I| [load_app_impl]:  Serial: SWITCHSDV
[01:53:48.946] |I| [load_app_impl]:  Category: gd
[01:53:48.946] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[01:53:48.947] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[01:53:48.947] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[01:53:48.959] |W| [relocate_entry]:  Unhandled relocation code 102.
[01:53:48.960] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[01:53:48.960] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x87040
[01:53:48.960] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x8709C
[01:53:48.960] |I| [load_app_impl]:  Main executable switch_sd2vita (eboot.bin) loaded
[01:53:48.989] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:53:48.990] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:53:48.991] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:53:48.991] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:53:48.991] |I| [export_sceIoOpen]:  Opening file: tty0:
[01:53:48.991] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[01:53:49.039] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[01:53:49.039] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[01:53:49.061] |I| [load_module]:  Loading module ID: 0xE
[01:53:49.063] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[01:53:49.063] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x30C5A64
[01:53:49.063] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x30C5810
[01:53:49.063] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x30C5C50, setting to stub value 0xDEADBEEF
[01:53:49.063] |I| [load_module]:  Module SceLibPgf (at "sys/external/libpgf.suprx") loaded
[01:53:49.071] |I| [export_sceIoOpen]:  Opening file: sa0:data/font/pgf/jpn0.pgf
[01:53:49.071] |T| [open_file]:  sceIoOpen: Opening file sa0:data/font/pgf/jpn0.pgf (sa0:data/font/pgf/jpn0.pgf)
[01:53:49.072] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[01:53:49.072] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 12
[01:53:49.073] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 380
[01:53:49.076] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[01:53:49.076] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x188, whence: SCE_SEEK_SET
[01:53:49.077] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[01:53:49.078] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[01:53:49.078] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 2040
[01:53:49.078] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 848
[01:53:49.079] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x1CC0, whence: SCE_SEEK_SET
[01:53:49.079] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 1020
[01:53:49.081] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 114632
[01:53:49.081] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 23224
[01:53:49.085] |T| [stat_file]:  sceIoGetstat: Statting file ur0:tai/config.txt (ur0:tai/config.txt)
[01:53:49.085] |E| [stat_file]:  Unimplemented device ur0:tai/config.txt used
[01:53:49.085] |W| [io_error_impl]:  stat_file (sceIoGetstat) returned 0xFFFFFFFF
[01:53:49.085] |T| [create_dir]:  sceIoMkdir: Removing dir ux0:patch/SWITCHSDV/ (ux0:patch/SWITCHSDV/)
[01:53:49.085] |T| [create_dir]:  sceIoMkdir: Removing dir ux0:patch/SWITCHSDV/sce_sys/ (ux0:patch/SWITCHSDV/sce_sys/)
[01:53:49.085] |T| [create_dir]:  sceIoMkdir: Removing dir ux0:patch/SWITCHSDV/sce_sys/changeinfo (ux0:patch/SWITCHSDV/sce_sys/changeinfo)
[01:53:49.086] |I| [export_sceIoOpen]:  Opening file: ux0:app/SWITCHSDV/sce_sys/changeinfo.xml
[01:53:49.086] |T| [open_file]:  sceIoOpen: Opening file ux0:app/SWITCHSDV/sce_sys/changeinfo.xml (ux0:app/SWITCHSDV/sce_sys/changeinfo.xml)
[01:53:49.087] |I| [export_sceIoOpen]:  Opening file: ux0:patch/SWITCHSDV/sce_sys/changeinfo/changeinfo.xml
[01:53:49.087] |T| [open_file]:  sceIoOpen: Opening file ux0:patch/SWITCHSDV/sce_sys/changeinfo/changeinfo.xml (ux0:patch/SWITCHSDV/sce_sys/changeinfo/changeinfo.xml)
[01:53:49.088] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 65536
[01:53:49.088] |T| [write_file]:  sceIoWrite: Writing file: fd: 0x5, size: 583
[01:53:49.088] |T| [read_file]:  sceIoRead: Reading file: fd: 0x4, size: 65536
[01:53:49.088] |T| [stat_file]:  sceIoGetstatByFd: Statting file ux0:app/SWITCHSDV/sce_sys/changeinfo.xml (ux0:app/SWITCHSDV/sce_sys/changeinfo.xml)
[01:53:49.090] |W| [unimplemented_impl]:  Unimplemented sceIoChstatByFd import called.
[01:53:49.090] |T| [close_file]:  sceIoClose: Closing file: fd: 0x5
[01:53:49.091] |T| [close_file]:  sceIoClose: Closing file: fd: 0x4
[01:53:49.092] |T| [stat_file]:  sceIoGetstat: Statting file ux0:tai/gamesd_uma0.skprx (ux0:tai/gamesd_uma0.skprx)
[01:53:49.092] |W| [io_error_impl]:  stat_file (sceIoGetstat) returned 0xFFFFFFFF
[01:53:49.092] |T| [stat_file]:  sceIoGetstat: Statting file ux0:tai/config.txt (ux0:tai/config.txt)
[01:53:49.092] |W| [io_error_impl]:  stat_file (sceIoGetstat) returned 0xFFFFFFFF
[01:53:49.098] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25984, whence: SCE_SEEK_SET
[01:53:49.098] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:53:49.100] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 109
[01:53:49.102] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x25984, whence: SCE_SEEK_SET
[01:53:49.102] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:53:49.104] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 109
[01:53:49.109] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26EE0, whence: SCE_SEEK_SET
[01:53:49.109] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:53:49.111] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 95
[01:53:49.114] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26EE0, whence: SCE_SEEK_SET
[01:53:49.114] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:53:49.116] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 95
[01:53:49.120] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26690, whence: SCE_SEEK_SET
[01:53:49.120] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 8
[01:53:49.122] |T| [read_file]:  sceIoRead: Reading file: fd: 0x3, size: 35
[01:53:49.124] |T| [seek_file]:  sceIoLseek: Seeking file: fd: 0x3 at offset: 0x26690, whence: SCE_SEEK_SET
